,ID,proposition1,proposition2,label,prep_needed,contradiction type
67,QT30_067,xxx is why today Nicola Sturgeon said it would be 40 million going to the businesses,"Kate Forbes was waiting for the chancellor to outline any further support she could give, the chancellor has said Scotland will get 700 million more",1.0,0.0,lexical
69,QT30_069,"people in many circumstances are or are not getting cuts off their rent, their bills, their food",we’re still asking people in many circumstances to make a cut to their wages,1.0,1.0,structural
70,QT30_070,"all the businesses in the supply chain won’t get funding, the businesses impacted won’t get funding",in the rest of the UK if you’re obliged by law to close you’ll get a grant,1.0,0.0,negation
71,QT30_071,the UK and Scotland is what we should have,what’s gone completely wrong in the last two or three years is that we’ve got a Scottish government who generally are adversarial and negative about a whole range of things that might happen with the UK and Scotland working together,1.0,1.0,lexical
75,QT30_075,Jeremy Corbyn allowed the space for anti-Semites to come into the Labout party and the leadership did absolutely nothing about it,anti-semitism in Labour is not one person’s fault,1.0,1.0,structural
77,QT30_077,Donald Trump made it impossible to advocate on behalf of Republican policies and what he was doing,you could see Anthony Scaramucci on countless shows trying to advocate on behalf of Republican policies and what President Donald Trump was doing,1.0,1.0,lexical
78,QT30_078,Anthony Scaramucci wouldn’t have been supporting Donald Trump for two years if he was a bitter employee,"Anthony Scaramucci's liberal friends would say to him that Donald Trump is the same guy that he was at 2015 so he’s doing the exact same things here in 2020 so why did you change, you must be a bitter employee",1.0,1.0,structural
80,QT30_080,Donald Trump was really just representing himself,Anthony Scaramucci thought Donald Trump was going to represent desperational working class families in Washington,1.0,1.0,lexical
81,QT30_081,"the other thing that Anthony Scaramucci did, because of his charisma, his intelligence, is that he normalised Donald Trump, and that’s the problem","the last two years Anthony Scaramucci has been incredible in terms of coming clean on TV in front of people, he published a book, he is behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again",1.0,1.0,lexical
82,QT30_082,"republicans have had opportunities through impeachment and others to, as it were, remove him",it seems that some Republicans are getting buyer’s remorse and regretting that Donald Trump is their representative in the presidential race,1.0,0.0,lexical
86,QT30_086,"that time is used to get on top of test, trace and isolate",what we have to do now is to make sure that we not only have that circuit breaker,1.0,0.0,WK
90,QT30_090,the NHS relies on subcontractors to do the job of rolling it out,the arguments are given that the NHS will do the roll-out,1.0,1.0,lexical
91,QT30_091,"to say the NHS will do it, well, the NHS can only do it if they get the support to do their job",the arguments are given that the NHS will be able to manage the roll-out,1.0,0.0,lexical
92,QT30_092,Matt Hancock knows he's not giving an answer,Matt Hancock would like to follow the clinical advice,1.0,1.0,structural
93,QT30_093,Matt Hancock is not saying everybody's participation in vaccination will be straightforward,everybody's participation in vaccination is doable,1.0,1.0,lexical
97,QT30_097,logistics isn’t falling into the tech problem where we’re trying to get everybody to download apps,Tom Kerridge can understand Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this,1.0,0.0,negation
100,QT30_100,we haven’t seen the deal,Boris Johnson will get the deal in July,1.0,1.0,negation
101,QT30_101,we’re borrowing £400 billion this year -- in a single year,"we can offer more help, we want to see that",1.0,0.0,lexical
102,QT30_102,people say letting the younger generation shielding the elderly is impossible,the younger generation can't shield the elderly because there are multi-generational households,0.0,1.0,NA
104,QT30_104,the problem is your prime minister bandied around random numbers 48 hours earlier,"this morning, when you were challenged on that question about disappointment you said you wouldn’t bandy around random numbers",1.0,1.0,structural
105,QT30_105,"sorry, the AstraZeneca one is 70 percent protection","the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned",1.0,0.0,factive
107,QT30_107,instead we spent on Eat Out to Help Out,we should have spent the money making sure kids and the vulnerable in society had more,1.0,0.0,lexical
110,QT30_110,"no, schools are not safe after all",schools are absolutely safe,1.0,0.0,negation
115,QT30_115,there is other evidence that suggests from December cases are going down,the imperial College study is scary in that it doesn’t tell us whether or not the cases are going down from December,1.0,0.0,structural
118,QT30_118,as a five-party coalition there will be bumps along the way,Arlene Foster thinks we are working together in the executive,1.0,0.0,lexical
119,QT30_119,unfortunately that is what happened now and we’re dealing with the worst time that we’ve been through the whole way through the pandemic,"at the onset of the pandemic, when we were predicting what could be the worst scenario and explaining that to the public, and the public would rightly feel this is not going to happen again",1.0,0.0,structural
120,QT30_120,Anand Menon would hate it if because of thinking about the future we lost sight of the present and didn’t take the opportunity to make that protocol work as effectively as it can,it is legitimate to think about the future,1.0,0.0,structural
122,QT30_122,"instead we've had almost a year's worth now of open/close, start/stop, lockdown and various restrictions","this should have been at the outset, close the borders, stop the virus coming in and contain it",1.0,0.0,lexical
123,QT30_123,"on a number of occasions the UK has not followed that advice, the border being one example",the scientists they have been saying since the beginning of the pandemic there are clear strategies to follow to limit the impact it has,1.0,0.0,lexical
126,QT30_126,we can have debates about timing and when the best time to hold a second referendum would be,the question of a second referendum is not about timing,1.0,1.0,structural
134,QT30_134,"we could say we'll send hospitality back first, but we won't send schools back",our distinction is we think schools should go back first,1.0,0.0,structural
136,QT30_136,we need more than just the practicalities of life,in many ways it is a luxury to go to a restaurant or a on an aeroplane,1.0,1.0,lexical
137,QT30_137,it is not out the question because the government is doing this,we had a vaccines minister saying it is out the question,1.0,0.0,negation
139,QT30_139,Grant Shapp's reasoning as to why it was difficult to get enough PPE doesn't answer the question,Audience Member 13 is sympathetic to Grant Shapp's reasoning as to why it was difficult to get enough PPE,1.0,1.0,lexical
141,QT30_141,"we're talking about Sara Everard's murder in a clinical, policy-driven way about an appalling human event",we all have to remember as we move forward that it is nothing compared to what Sara Everard's family are feeling this morning,1.0,1.0,lexical
144,QT30_144,there's not a magic money tree out there,we deserve greater than a 1 percent pay rise,1.0,0.0,lexical
145,QT30_145,giving more money is difficult,we'd love to be giving more money,1.0,0.0,lexical
147,QT30_147,so many people have sacrificed and we don't want to risk what we've gained in terms of driving the level of the virus right down,"we all want to get back to the position where we can have all the liberties back, the freedoms that we lost",1.0,0.0,structural
149,QT30_149,it's not totally clear what our contract says,our contract also says that we have to use reasonable or best endeavours to secure that vaccine for our market,1.0,1.0,structural
150,QT30_150,there's this presentation that is just topsy-turvy that somehow England's greedily sitting on all these vaccines,"AstraZeneca is a cheap vaccine, and the UK has actually invested huge amounts of money in helping vaccine rollout round the world",1.0,1.0,lexical
153,QT30_153,"there has always been a little bit of the idea that those young people for the purposes of everything else, they're treated as not being adults",Claire Fox work with teenagers so I know how smart they can be,1.0,1.0,lexical
158,QT30_158,rather than a parliament distracted by another independence referendum,"we need a parliament that is focused only on our recovery, only on rebuilding after the last 12 months that we've all been through",1.0,1.0,structural
164,QT30_164,we've actually come together as a country like never before to confront COVID,we've been separated from our families like never before,1.0,0.0,antonymy
165,QT30_165,Lorna Slater really wants to spend five years of that nine years arguing about Scottish independence,we've got nine years to confront the climate emergency at the very heart of Lorna Slater's policies,1.0,1.0,lexical
169,QT30_169,"being out of the EU is also one of the routes that we can have back to prosperity, a more equal and just country",we're being dragged out of the EU against our will,1.0,1.0,lexical
171,QT30_171,Alan Unknown thinks we need further investment in the oil and gas industry as a country,the subsea sector now hear that the Green Party would like the sector to be ceasing production in the next ten years,1.0,1.0,lexical
174,QT30_174,eventually we'll have to stop taking hydrocarbons out of the ground,there are things we can do to address the effects of taking those hydrocarbons out of the ground,1.0,1.0,structural
175,QT30_175,this is a problem that Lorna Slater has with the SNP approach of setting targets and putting their hopes in things like carbon capture,we need to actually be practical about our obligations under the Paris Agreement,1.0,0.0,lexical
176,QT30_176,the Scottish Greens have not officially hitched their wagon,the Scottish Greens have hitched their wagon,1.0,1.0,negation
177,QT30_177,the Scottish Greens are supporters of the SNP in government,the Scottish Greens have not officially hitched their wagon,1.0,1.0,lexical
179,QT30_179,the investment into renewables is not happening,we've got to invest seriously and genuinely in those renewable jobs of the future,1.0,1.0,negation
181,QT30_181,we're not going to build the physical buildings and those rapid diagnosis centres in the time of weeks or months,what we need is rapid diagnosis centres,1.0,0.0,structural
184,QT30_184,"Lisa Nandy has heard very little, particularly from the Brexit Party, about how they solve some of the problems for people in this country",Lisa Nandy has heard lots of talk about deconstruction,1.0,0.0,structural
186,QT30_186,then Michelle Dewberry ran secondly as a Brexit Party candidate,Michelle Dewberry does not represent the Brexit Party,1.0,1.0,negation
187,QT30_187,"Michelle Dewberry is not involved with the Brexit Party, which is now called Reform",then Michelle Dewberry ran secondly as a Brexit Party candidate,1.0,1.0,negation
189,QT30_189,"Michelle Dewberry is not sitting here, absolutely not, as a representative of any political party at all",then Michelle Dewberry ran secondly as a Brexit Party candidate,1.0,1.0,negation
192,QT30_192,this is the first time this past election Rose Unknown had to seriously sit down and think about whether she would vote Labour,Rose Unknown has voted Labour all her life,1.0,1.0,structural
193,QT30_193,Rose Unknown doesn't think Labour is the natural division between a Tory government,Labour is the natural division between a Tory government now,1.0,1.0,structural
194,QT30_194,Rose Unknown doesn't feel the same way anymore about voting for the Labour Party,Rose Unknown could be proud to vote for the social justice that the Labour Party was founded on,1.0,1.0,structural
195,QT30_195,the Labour Party isn't good and doesn't provide hope and inspiration for the people at the moment,Martin Unknown wants there to be a Labour Party that is good,1.0,1.0,structural
196,QT30_196,the Labour Party isn't good and doesn't provide hope and inspiration for the people at the moment,Martin Unknown wants there to be a Labour Party that provides hope and inspiration for people,1.0,1.0,lexical
197,QT30_197,"the time for the referendum is not now, everyone knows that's obvious",we have to vote now,1.0,1.0,structural
198,QT30_198,48 per cent in the Brexit referendum is a mandate to nothing,48 per cent is a mandate for a referendum,1.0,1.0,negation
199,QT30_199,there is a mandate from those people for independence,"in these elections people could happily vote for the SNP if they were pro remaining in the United Kingdom, safe in the knowledge that they would be voting for an SNP government with a much broader agenda and a broader set of elections",1.0,0.0,structural
204,QT30_204,Michelle Dewberry is only joking about getting a partner who annoys you,get a partner who annoys you as much as Michelle Dewberry's partner annoys her,1.0,1.0,structural
205,QT30_205,current UK government seems to want to reduce the voting franchise,"over the last few decades, if not centuries, we've seen successive governments try to expand the voting franchise",1.0,1.0,antonymy
207,QT30_207,"when the situation changed in England, hey presto, they extended the furlough",the extension of the furlough was refused,1.0,1.0,lexical
209,QT30_209,it's only essential travel,you can go and visit friends and family,1.0,0.0,lexical
210,QT30_210,we should regard holidays as essential travel,you can go and visit friends and family,1.0,0.0,lexical
213,QT30_213,the evidence doesn't bear out in any way the positivity rate in Pakistan being three times that of India,the Health Secretary is claiming it's because the positivity rate in Pakistan was three times that of India,1.0,1.0,factive
214,QT30_214,Devi Sridhar cannot travel to India,Devi Sridhar wants to travel to India today,1.0,1.0,structural
215,QT30_215,we've yet to see a spade in the ground,"we've had in seven years, by the way, 60 different rail projects announced for the North of England by this government",1.0,0.0,factive
216,QT30_216,you've still got concessions being run by private companies,there is that increased measure of public input in the Great British Railways,1.0,0.0,factive
217,QT30_217,"in this case, in the railways, privatisation just hasn't worked",privatisation is a positive thing,1.0,1.0,negation
219,QT30_219,an Indian variant of concern should have been expected,there may not have been an Indian variant of concern,1.0,1.0,structural
220,QT30_220,if it's the water that comes out of your tap or indeed the train from Crewe to Euston you don't have that choice to choose whatever you like,"when you walk down the high street, and unfortunately there are many frozen pea purveyors and as a consumer you can go pretty much where you like",1.0,0.0,negation
222,QT30_222,when you add on the transportation costs actually our calculations are that it won't be so cheap at the end of it,it's very cheap to produce,1.0,0.0,negation
225,QT30_225,"consumers will make choice based on what's right for them, about sustainable eating locally","trade deals and finding ways to create markets, the pan transpacific market that was being developed, you will see more of that",1.0,0.0,factive
226,QT30_226,when you travel across the world most people are pretty similar in terms of what they want out of their lives,we get caught up on religion and beliefs and skin colour and our differences,1.0,0.0,lexical
227,QT30_227,doctor and journalists are supposed to be protected groups,doctors as well as journalists have been under attack,1.0,1.0,antonymy
231,QT30_231,the government are offering £50 per student,Kevin Collins asked for £700 per student,1.0,1.0,lexical
233,QT30_233,"when Kevin Collins makes those calculations, he doesn't include the national Academy that the government set up",Kevin Collins has done a fantastic job,1.0,1.0,factive
234,QT30_234,Kevin Collins's calculation doesn't include all the funding that we put in to the laptops,Kevin Collins has done a fantastic job,1.0,1.0,factive
236,QT30_236,we're still in the middle of a raging global pandemic,we all want our lives and livelihoods back,1.0,0.0,lexical
238,QT30_238,we don't know who to trust,Jenni Murray is sure Anthony Costello is right and very well informed,1.0,1.0,negation
239,QT30_239,our own advice wasn't good enough in a public health emergency,we were told to take our own advice,1.0,1.0,structural
240,QT30_240,we have to find a way to let business operate,we should listen to all the scientific advice,1.0,0.0,lexical
241,QT30_241,Heather McGregor would like to see us work out a way to live with it on a longer term basis,Heather McGregor would like to see restrictions lifted sooner,1.0,0.0,antonymy
243,QT30_243,only 1 percent of people coming into the country are hotel-isolating to this day,the Labour Party said months ago everybody who comes into the country should be hotel-isolated,1.0,1.0,factive
244,QT30_244,Naomi Osaka should have anticipated that people would be interested in her story,Tony Unknown feels very sorry for Naomi Osaka,1.0,1.0,lexical
246,QT30_246,it is also important that landlords can take control where it is necessary to do so,we didn't want anyone to be thrown out of their houses during this period,1.0,0.0,lexical
248,QT30_248,the ending of the eviction ban is premature,AUDIENCE MEMBER has every sympathy with landlords,1.0,0.0,lexical
251,QT30_251,"people are still on furlough, people still aren't back in work",the conservative there mentioned things will get back to normal,1.0,1.0,negation
252,QT30_252,a woman renting a house or a flat with two children being terrified that at any minute she is going to be evicted because she can't pay her rent is criminal,a woman renting a house or a flat with two children being terrified that at any minute she is going to be evicted,1.0,1.0,structural
253,QT30_253,we have a food bank that is absolutely flooded out with people who simply cannot afford to buy food for their children,Jenni Murray lives in a quite well-off part of London and she is okay,1.0,0.0,lexical
254,QT30_254,"in the situation Rosemary Squire's daughter lives in, the people who support her to live should be vaccinated as part of their job",it is very difficult to compel anyone to do anything,1.0,0.0,structural
255,QT30_255,"there's something wrong where we tell people unless they pump their body full of a chemical, they are out of their job",AudienceMember 20210624QT12 is not vaccine hesitant,1.0,1.0,WK
260,QT30_260,Covid19 is just not going to go away,we seem to think that just because we're fed up with COVID it has to go away now,1.0,1.0,structural
261,QT30_261,we've all got used to the fact that we're learning about the Covid19 vaccine,"let's understand that the Covid19 situation is new, is constantly changing",1.0,0.0,lexical
262,QT30_262,we sold out our fishermen,Brexit was about taking back control,1.0,0.0,factive
263,QT30_263,we are just about to sell out our farmers,Brexit was about taking back control,1.0,0.0,factive
264,QT30_264,the government said farmers being undercut would never happen,for those farmers which are going to be undercut,1.0,1.0,negation
265,QT30_265,farmers being undercut is now happening,the government said farmers being undercut would never happen,1.0,1.0,negation
268,QT30_268,"it is going to be a tiny, tiny proportion of food that's going to be coming for Australia",the largest farm in Australia is something like the size of the state of Israel,1.0,0.0,WK
269,QT30_269,Boris Johnson leaves his Health Secretary in charge to our response to a global pandemic,Boris Johnson believes his Health Secretary to be incompetent,1.0,1.0,WK
273,QT30_273,now that we know a virus of some sort does come up every so often,you could say nobody knew it was coming and so the government were on the back foot,1.0,1.0,negation
274,QT30_274,Boris Johnson has to lead by example,the problem is Boris Johnson thinks he can still act like a journalist,1.0,1.0,lexical
275,QT30_275,people do look to politicians for leadership,politicians aren't anybody special,1.0,1.0,negation
276,QT30_276,"no, politicians cannot act like a journalist or a businessman",Boris Johnson or any other politicians feel they can act like a journalist or act like a businessman or something like that,1.0,1.0,negation
278,QT30_278,breaking the link between the cases and the hospitalisation and the hospitals is a dramatically suppressed link,breaking the link between the cases and the hospitalisation and the hospitals is not a broken link,1.0,1.0,negation
282,QT30_282,Benjamin Zephaniah means it worked because we had to do it to make it work for Zoom,teaching on Zoom was absolutely terrible,1.0,1.0,antonymy
283,QT30_283,we don't know factually what got us here,normal got us here,1.0,0.0,negation
284,QT30_284,a Labour defeat would just be kind of representative of the decline,"no, the final nail in the coffin for the Labour party is a long way off",1.0,1.0,lexical
286,QT30_286,clothes are not relevant to politics,"when Jeremy Corban is interviewed he's asked about his clothes, ties, glasses",1.0,1.0,structural
294,QT30_294,Michelle O'Neill is no longer astonished in terms of the British government who have tried to run roughshod over the Good Friday Agreement,the protocol crucially protects the Good Friday Agreement,1.0,1.0,antonymy
295,QT30_295,Jeremy King does not want to force anybody to have a vaccine,Jeremy King would love to see the passports used,1.0,1.0,WK
299,QT30_299,those efforts that Nadhim Zahawi described haven't been visible to us,those efforts that Nadhim Zahawi described are happening,1.0,1.0,lexical
301,QT30_301,the government should be spending the money on children as well,the government are choosing to spend the money on bricks,1.0,1.0,factive
302,QT30_302,Jenni Murray watches athletics quite a lot,Jenni Murray doesn't watch a lot of sport,1.0,1.0,negation
303,QT30_303,"if you're a very poor woman with children, living alone, with no resources, and no knowledge of how to argue these things and where to find help",there are always ways of getting around that kind of thing,1.0,1.0,lexical
305,QT30_305,"in the pandemic situation we shouldn't act as complete amateurs, with no modelling, sticking our oar in to say what we think should happen without any idea whether that's an idea at the expense of people potentially dying",all that we can do in the pandemic situation is try our best to use the best knowledge that we have from the most knowledgeable people and make some sort of estimate about it,1.0,0.0,lexical
307,QT30_307,Andy Burnham doesn't think we are back to normal,the message coming out from the government will be we are back to normal,1.0,0.0,factive
308,QT30_308,workers are not working with tools in factories any more,it is the idea that the workers are going to put down the tools in the factory,1.0,0.0,structural
311,QT30_311,James Allcock does not earn too much,James Allcock has to give the money back now because he earns too much,1.0,1.0,factive
312,QT30_312,"while the packages from the chancellor are better than nothing, they’re not enough",all the packages from the chancellor are fine,1.0,0.0,negation
314,QT30_314,there seems to be an attempt here to do change the game when you are playing the game,you cannot change the game when you are playing the game,1.0,1.0,negation
316,QT30_316,the idea that you would look again at the process under a live case is just unacceptable,there may be an argument to say look again at this process,1.0,1.0,negation
317,QT30_317,there is a case that Boris Johnson was thinking about his own skin,Caroline Lucas wanted to say to Tim Stanley about this being a case of Boris Johnson showing decency,1.0,1.0,factive
320,QT30_320,Tim Stanley finds a reason not to be in the room,Tim Stanley is five minutes from where things are happening,1.0,1.0,WK
322,QT30_322,at the moment we have a government to whom they feel the law doesn't apply to them,our democratic system has a series of checks and balances,1.0,0.0,lexical
323,QT30_323,That's not true,he's a nice man therefore it doesn't count,1.0,0.0,negation
324,QT30_324,it is in the general public's mind that Boris Johnson was persuaded to get Owen Paterson off,it might not be true that Boris Johnson was persuaded to get Owen Paterson off,1.0,1.0,negation
329,QT30_329,in the short term there is a cost,in the long run green technology will be great,1.0,0.0,lexical
332,QT30_332,"when it gets to these fundamental issues of dignity and respect, equity, compassion, that really are at the roots of making humanity function it is not acceptable to take the safe route or the easy way out or to keep silent",the people that are in positions of power and find it difficult to speak up tend to take the safe route or the easy way out or to keep silent,1.0,0.0,negation
333,QT30_333,we're getting to the electric vehicles being at the same cost as the combustion engine in 2024/25,"in 2014, the International Energy Agency was saying the electric vehicles would be at the same cost as the combustion engine by 2050",1.0,1.0,numeric
334,QT30_334,AudienceMember 20211111QT19 doesn't want to suffer right now with juice anxiety,AudienceMember 20211111QT19 would love an electric car,1.0,0.0,WK
335,QT30_335,we couldn't all afford to run out tomorrow and buy an electric car,we could all run out tomorrow and buy an electric car,1.0,1.0,negation
340,QT30_340,Tim Stanley is not astonished the language is being used,there's no possible explanation for that language,1.0,1.0,negation
347,QT30_347,Fiona Bruce knows Paul Polman talked a lot about corporate responsibility,Paul Polman is not head of Unilever anymore,1.0,1.0,WK
348,QT30_348,the emerging markets are asking for an annual review,we agreed on a review of the commitments now every two years,1.0,0.0,numeric
350,QT30_350,the biggest difference is made by getting the vaccine,"we do have an example to demonstrate that taking sensible small steps, like wearing masks in crowded places, can have a big difference",1.0,0.0,structural
351,QT30_351,"education workers are frontline, kind of",some of the education staff still aren't vaccinated because of our age,1.0,1.0,WK
356,QT30_356,Heather McGregor is not allowed to sit in a room with 60 people at the moment at work,Heather McGregor is sitting here in a room with 60 people in a university lecture theatre,1.0,1.0,WK
358,QT30_358,wearing a mask is not particularly onerous,the UK Government against something as basic as wearing masks,1.0,1.0,lexical
359,QT30_359,wearing a mask is not the most pleasant of things,wearing a mask is not particularly onerous,1.0,1.0,antonymy
362,QT30_362,frankly the answer being that women need to think about how they change their behaviour is wrong,the answer to women having to worry about their safety is women thinking about how they change their behaviour,1.0,1.0,structural
363,QT30_363,instead the money that UK government has promised to the Acorn Project is going to projects in England,we were sincerely hoping that the UK government would invest in the Acorn Project the billion pounds that had been promised,1.0,1.0,structural
365,QT30_365,the online stuff is not cutting it,"the online stuff, universities are trying really hard",1.0,0.0,negation
366,QT30_366,the Conservative Government in London is not investing £16 billion in the transition fund to move us into this new renewables in the North East,it's the Conservative Government in London that is investing £16 billion in the transition fund to move us into this new renewables future,1.0,1.0,negation
367,QT30_367,the Conservative Government in London that is investing £16 billion in the transition fund to move us into this new renewables future in the North East of Scotland,the Conservative Government in London is not investing £16 billion in the transition fund to move us into this new renewables in the North East,1.0,1.0,negation
368,QT30_368,"the Scottish Cluster, in the Acorn project, is a reserve cluster","in terms of carbon capture and storage in the Scottish Cluster, in the Acorn project, of course it was disappointing that it didn't achieve tier one status",1.0,1.0,WK
369,QT30_369,the Scottish National Party Government in Edinburgh is not investing and does not care about the North East of Scotland,the Conservative Party is investing and does care about the North East of Scotland,1.0,1.0,negation
371,QT30_371,"we've actually only created 21,400 green jobs in Scotland with the powers that we already have","the Scottish Government promised that we would have 130,000 green jobs by 2020",1.0,0.0,numeric
373,QT30_373,the UK government has ignored animal agriculture,"animal agriculture is the second biggest cause of climate change, before transport",1.0,1.0,WK
374,QT30_374,Scottish Government is continuing ignoring animal agriculture,"animal agriculture is the second biggest cause of climate change, before transport",1.0,1.0,WK
376,QT30_376,nobody can check all these figures,"in true Tory fashion Andrew Bowie starts hitting us with all this thing about we've invested £132 billion, £125 billion",1.0,0.0,lexical
380,QT30_380,the tax hike is to pay for the hole they have left in the National Health Service budget,we got a tax hike on working people to pay not for social care,1.0,1.0,negation
382,QT30_382,the people who need it most are not getting money from the Government,"the Government announced as they arrived in Manchester, £0.5 billion for those people who need it most",1.0,1.0,negation
383,QT30_383,"when you listen to what Boris Johnson said, he said nothing",Boris Johnson was able to excite everyone with his slogans,1.0,1.0,lexical
386,QT30_386,AudienceMember 20211014QT18 doesn't think Boris Johnsons' speech was the right thing,there is or isn't anyone who thought Boris Johnsons speech was the right thing,1.0,1.0,structural
