ID	locution1	locution2	proposition1	proposition2	locution1_corrected	locution2_corrected	proposition1_corrected	proposition2_corrected	label	prop_needed
QT30_020	we have a chance through democracy, to break free, and progress	we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else	we have a chance through democracy, to break free, and progress	we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else					non-contradiction	 False
QT30_021	there didnâ€™t seem to be that sense of order	we all owe it to each other to respect the rule of law	in Bristol there didnâ€™t seem to be that sense of order	we all owe it to each other to respect the rule of law	there didn't seem to be that sense of order	we all owe it to each other to respect the rule of law	in Bristol there didn't seem to be that sense of order	we all owe it to each other to respect the rule of law	contradiction	 False
QT30_022	This is not true	a force for good only in the world	the British Empire being a force for good in the world is not true	the British Empire was a force for good only in the world					contradiction	True
QT30_023	history is a construction	it is the history of this country	history is a construction	statues are the history of this country					contradiction	True
QT30_024	the two highest hotbeds of the disease	Until Sunday you could come from Iran or Brazil, the two highest hotbeds of the disease, with impunity	Iran and Brazil are the two highest hotbeds of the disease	until Sunday you could come from Iran or Brazil with impunity					contradiction	True
QT30_025	we’re not	we should have been leading the way in reopening	we’re not leading the way in reopening	we should have been leading the way in reopening					Non-Contradiction	False
QT30_026	as I expect you know	you talked about this report from Stanford 0.1 to 0.2 per centâ€¦	the report from Stanford 0.1 to 0.2 per cent was not peer reviewed	Rocco Forte talked about this report from Stanford 0.1 to 0.2 per cent		you talked about this report from Stanford 0.1 to 0.2 per cent			non-contradiction	True
QT30_027	it’s somehow a widespread problem with late test results	test results in Wales, over 90 per cent of the people get their test results within 48 hours	it’s somehow a widespread problem in Wales with late test results	test results in Wales, over 90 per cent of the people get their test results within 48 hours					Contradiction	False
QT30_028	simply doesn't match the facts	it's somehow a widespread problem with late test results	Wales having a peoblem with late test results simply doesn't match the facts	it's somehow a widespread problem in Wales with late test results	simply doesn't match the facts	it's somehow a widespread problem with late test results	Wales having a problem with late test results simply doesn't match the facts	it's somehow a widespread problem in Wales with late test results	contradiction	True
QT30_029	rather than wait for lack of leadership, and not condemning what the Prime Minister’s aid did or the other ingredients within the whole recipe of protecting people	we needed to learn much quicker from Korea, and other countries who have dealt with it	rather than wait for lack of leadership, and not condemning what the Prime Minister’s aid did or the other ingredients within the whole recipe of protecting people	we needed to learn much quicker from Korea, and other countries who have dealt with it					Contradiction	False
QT30_030	he wasn't	he was shaking hands with the staff	Boris Johnson wasn't shaking hands with coronavirus patients in a hospital	Boris Johnson was shaking hands with the staff	he wasn't		Boris Johnson wasn't shaking hands with coronavirus patients in a hospital		non-contradiction	True
QT30_031	now the indirect effect of the lockdown, nobody can quantify	the lockdown being implemented when it was implemented was the correct time	nobody can quantify the indirect effect of the lockdown	the lockdown being implemented when it was implemented was the correct time					contradiction	False
QT30_032	I am just wondering if we're doing both	Now, obviously the Government, they are dealing with two priorities	Kofie Unknown is just wondering if we're doing both priorities: protecting the economy and saving lives	now, obviously the Government is dealing with two priorities					Contradiction	False
QT30_033	have actually shown themselves to be very compassionate, responsible and stoic	this next generation coming through have really defined this snowflake stereotype that's been applied to them too many times	this next generation have actually shown themselves to be very compassionate, responsible and stoic	this next generation coming through have really defined this snowflake stereotype that's been applied to them too many times					contradiction	False
QT30_034	as opposed to the nit-picking and the point-arguing that we have seen on Twitter, very strangely, from this Government in particular	your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point	as opposed to the nit-picking and the point-arguing that we have seen on Twitter, very strangely, from this Government in particular	your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point					contradiction	False
QT30_035	there could be a case for more target funding	it's not necessarily even about spending more money	there could be a case for more target funding	the apprenticeship levy is not necessarily even about spending more money					non-contradiction	 False
QT30_036	participation rates among those from more disadvantaged backgrounds has fallen by a third	Since it was introduced in 2017, it was meant to get more young people, particularly from disadvantaged backgrounds, into apprenticeships to give them better life chances	participation rates in apprenticeship program among those from more disadvantaged backgrounds have fallen by a third	Since apprenticeship levy was introduced in 2017, it was meant to get more young people, particularly from disadvantaged backgrounds, into apprenticeships to give them better life chances					Contradiction	False
QT30_037	But you don't accept the risk for people like key workers	what Suresh said about people accepting the risk is not the full story	you don't accept the risk for people like key workers	what Suresh said about people accepting the risk is not the full story					non-contradiction	 False
QT30_038	not necessarily this Government	talked about commitments that it's going to make	commitments regarding housing concerns across this generation may not necessarily come from this Government	the Government has talked about commitments that it's going to make regarding housing concerns across this generation					contradiction	True
QT30_039	an hour before the announcement was made, those aged 16 to 18 were taken out of it	in the announcements last week with regard to the tutoring that school children will now get	an hour before the announcement was made, those aged 16 to 18 were taken out of the announcement	in the announcements last week with regard to the tutoring that school children will now get					Contradiction	False
QT30_040	"I come to the point that I made at the beginning, and I agree with Theo, to do and fulfil those demands 
what we need to be doing is making sure the economy is restarted in a proportionate and a sensible 
way"	I welcome the demand being put on the Government in terms of investment in the youth and social housing and things such as that	"Shuresh comes to the point that she made at the beginning, and she agrees with Theo, to do and fulfil those 
demands what we need to be doing is making sure the economy is restarted in a proportionate and a sensible 
way"	Suresh welcomes the demand being put on the Government in terms of investment in the youth and social housing and things such as that					contradiction	 True
QT30_041	they should be applauded for the furlough scheme they have done	there's been a lot of unfair criticism to the Government on -- by some of the panelists here and some of the other viewers	the Government should be applauded for the furlough scheme they have done	there's been a lot of unfair criticism to the Government on -- by some of the panelists here and some of the other viewers					Contradiction	False
QT30_042	The Labour Party should have built more houses and so should this Government build considerably more houses that people can actually afford to live in	"for that entire period, they had stopped councils being able to borrow
money in order to build council housing"	"the Labour Party should have built more houses and so should this Government build considerably more 
houses that people can actually afford to live in"	"for that entire period, from 2012 to 2018, the Government has stopped councils being able to borrow money in
order to build council housing"					contradiction	 True
QT30_043	We have learnt that we can be at productive when we are at home, if not more productive	you couldn't work at home, you wouldn't be getting enough done	we have learnt that we can be at productive when we are at home, if not more productive	with flexibility you couldn't work at home, you wouldn't be getting enough done					Self-Contradiction	False
QT30_044	Planning is still an impediment to the pace at which we want to move	we need to build build build	planning laws are still an impediment to the pace at which we want to move	we need to build, build, build					non-contradiction	 False
QT30_045	it’s absolutely horrifying that we can’t provide more	it’s absolutely delightful to see them all	it’s absolutely horrifying that we can’t provide more for the returning year tens and twelves	it’s absolutely delightful to see all the year tens and twelves back					Contradiction	True
QT30_046	clearly we’ve got to do that when it’s safe	"We know the detrimental impact it’s having on their wellbeing as well as on 
their educational development"	clearly we have got to get children back to school when it is safe	we know the detrimental impact it is having on childrens´ wellbeing as well as on childrens´ educational development					non-contradiction	 False
QT30_047	there has been a total failure to deliver on the promises	We need safety to be achieved through having a functioning test and trace system, and low levels of transmission	there has been a total failure to deliver on the promises	we need safety to be achieved through having a functioning test and trace system, and low levels of transmission					non-contradiction	False
QT30_048	"itâ€™s a huge effort and it takes a lot of work to get children back to school safely with the social distancing 
requirements"	we could sort this out pretty quickly actually	"getting children back to school is a huge effort and it takes a lot of work to get children 
back to school safely with the social distancing requirements"	we could sort out children going back to school pretty quickly actually	"it's a huge effort and it takes a lot of work to get children back to school 
safely with the social distancing requirements"	we could sort this out pretty quickly actually	"getting children back to school is a huge effort and it takes a 
lot of work to get children back to school safely with the 
social distancing requirements"	we could sort out children going back to school pretty quickly actually	contradiction	 False
QT30_049	Great idea; begs the question where are the teachers	We can open hotels, we can put up marquees and that way we can get more kids back into school	great idea; begs the question where are the teachers	we can open hotels, we can put up marquees and that way we can get more kids back into school					contradiction	False
QT30_050	when we look back on this, 10,000 deaths is too many	They have done better in terms of their death toll	when we look back on this, 10,000 deaths is too many	Germany has done better in terms of their death toll					Non-contradiction	True
QT30_051	we really could be in a terrible situation	try and find a solution in the next two or three months	we really could be in a terrible situation in the next two or three months	the country needs to try and find a solution in the next two or three months					non-contradiction	 True
QT30_052	"we haven’t had for almost a month now the figures of how many people have actually been tested on a 
daily basis"	we’ve got the capacity	"the UK hasn't had for almost a month now the figures of how many people have actually been tested on a 
daily basis"	the UK has got the capacity for COVID19 testing					non-contradition	 True
QT30_053	people feel moved to go out and protest	we’ve got a public health emergency and nobody wants to see crowds out on the street	people feel moved to go out and protest	we’ve got a public health emergency and nobody wants to see crowds out on the street					Contradiction	False
QT30_054	that’s not what happened, Germany as an example	otherwise every country in the world would’ve done the same thing	that’s not what happened, Germany as an example	otherwise every country in the world would’ve done the same thing					non-contradiction	 False
QT30_055	I know these figures will now be distorted because of the situation with the coronavirus	I’m very proud of the fact that I’m part of a government that has made some real differences	these figures will now be distorted because of the situation with the coronavirus	James Clevlery is very proud of the fact that he is part of a government that has made some real differences					Contradiction	False
QT30_056	they do themselves no favours when they riot in London	The Black Lives Matter movement is excellent	the Black Lives Matter movement does themselves no favours when they riot in London	the Black Lives Matter movement is excellent					contradiction	False
QT30_057	it was from a minority of people	there was violence	it was from a minority of people	there was violence					non-contradiction	False
QT30_058	there were huge amounts of peaceful protests on the streets as well	there was violence	there were huge amounts of peaceful protests on the streets as well	there was violence					non-contradictio	False
QT30_059	it’s the people that get it wrong	The government have done a lot to try and make sure that we have racial equality	it’s the people that get racial equality wrong	the government has done a lot to try and make sure that we have racial equality					non-contradiction	 False
QT30_060	we must never deny the progress that we’ve made	we should always aspire to move further and faster	we must never deny the progress that we’ve made	we should always aspire to move further and faster					Non-Contradiction	False
QT30_061	that’s just wrong, it’s wrong	Otherwise, unsurprisingly, young people…young black people in Britain will think that there has been no progress	for young black people in Britain to think that there has been no progress is just wrong	otherwise, unsurprisingly, young people…young black people in Britain will think that there has been no progress					contradiction	 True
QT30_062	"originally the government was suggesting face coverings were not necessary and might give a false 
cents of confidence"	Face covering matter	"originally the government was suggesting face coverings were not necessary and might give a false cents of 
confidence"	Face covering matter	originally the government was suggesting face coverings were not necessary and might give a false sense of confidence	Face coverings matter	originally the government was suggesting face coverings were not necessary and might give a false sense of confidence	Face coverings matter	contradiction	 False
QT30_063	they suggested when it came to enclosed spaces such as public transport, face coverings are faced	"originally the government was suggesting face coverings were not 
necessary and might give a false cents of confidence"	the government suggested when it came to enclosed spaces such as public transport, face coverings are faced	originally the government was suggesting face coverings were not necessary and might give a false cents of confidence	"they suggested when it came to enclosed spaces such as public 
transport, face coverings are faced"	"originally the government was suggesting face coverings were not necessary and 
might give a false sense of confidence"	"the government suggested when it came to enclosed spaces 
such as public transport, face coverings are faced"	"originally the government was suggesting face coverings were not 
necessary and might give a false sense of confidence"	contradiction	 False
QT30_064	a lot of people are still not doing it	people should wear face coverings on public transport	a lot of people are still not wearing masks on public transports	people should wear face coverings on public transport					contradiction	False
QT30_065	They had to wait 10 days to find out they're getting 40 million pounds	quick action for the businesses affected	affected businesses had to wait 10 days to find out they're getting 40 million pounds	it is really important that there is quick action for the businesses affected	They had to wait 10 days to find out they're getting 40 million pounds		affected businesses had to wait 10 days to find out they're getting 40 million pounds		contradiction	True
QT30_066	the simpler the message, the harsher it is	Clarity of messaging is critically important	the simpler the message, the harsher it is	clarity of messaging is critically important					Non-Contradiction	False
QT30_067	Why today did Nicola Sturgeon say it would be 40 million going to the businesses	you were waiting for the chancellor to outline any further support you could give, the chancellor has said Scotland will get 700 million more	xxx is why today Nicola Sturgeon said it would be 40 million going to the businesses	Kate Forbes was waiting for the chancellor to outline any further support she could give, the chancellor has said Scotland will get 700 million more					Self-Contradiction	False
QT30_068	not primary issues	we’re talking about not unimportant issues	we are not talking about primary issues	we are talking about not unimportant issues					Non-Contradiction	False
QT30_069	Are they getting cuts off their rent, their bills, their food	we're still asking people in many circumstances to make a cut to their wages	people in many circumstances are or are not getting cuts off their rent, their bills, their food	we're still asking people in many circumstances to make a cut to their wages		we're still asking people in many circumstances to make a cut to their wages		we're still asking people in many circumstances to make a cut to their wages	contradiction	False
QT30_070	all the businesses in the supply chain won't get funding, the businesses impacted won't get funding	in the rest of the UK if you're obliged by law to close you'll get a grant	all the businesses in the supply chain won't get funding, the businesses impacted won't get funding	in the rest of the UK if you're obliged by law to close you'll get a grant	all the businesses in the supply chain won't get funding, the businesses impacted won't get funding	in the rest of the UK if you're obliged by law to close you'll get a grant	all the businesses in the supply chain won't get funding, the businesses impacted won't get funding	in the rest of the UK if you're obliged by law to close you'll get a grant	contradiction	False
QT30_071	That’s what we should have	"What’s gone completely wrong in the last two or three years is that we’ve
got a Scottish government who generally are adversarial and negative about 
a whole range of things that might happen with the UK and Scotland working 
together"	the UK and Scotland is what we should have	"what’s gone completely wrong in the last two or three years is that we’ve got a Scottish government who generally are adversarial and negative about 
a whole range of things that might happen with the UK and Scotland working together"					contradiction	 True
QT30_072	there are going to be questions emerging	That’s why right now from the Scottish government perspective of my day is spent in dealing with the virus and dealing with the economic fall-out of the virus	there are going to be questions emerging	right now from the Scottish government's perspective, Kate Forbes' day is spent in dealing with the virus and dealing with the economic fall-out of the virus					Non-contradiction	False
QT30_073	But for this party to be caught up in something like this makes me sick.	I will always vote for the Labour party because I think it's the best coalition of the left for this country	for this party to be caught up in something like this makes Bonnie Greer sicks	Bonnie Greer will always vote for the Labour party because she think it's the best coalition of the left for this country		I will always vote for the Labour party because I think it's the best coalition of the left for this country		Bonnie Greer will always vote for the Labour party because she think it's the best coalition of the left for this country	non-contradiction	False
QT30_074	what’s important here is that we see action	"It’s all very well the Labour party saying sorry, and Keir Starmer did give an 
apology on the day he was elected"	what’s important here is that we see action from the Labour party on anti-semitism	it’s all very well the Labour party saying sorry for anti-semitism, and Keir Starmer did give an apology on the day he was elected					non-contradiction	 False
QT30_075	Jeremy Corbyn allowed the space for anti-Semites to come into the party and the leadership did absolutely nothing about it	It's not one person's fault	Jeremy Corbyn allowed the space for anti-Semites to come into the Labout party and the leadership did absolutely nothing about it	anti-semitism in Labour is not one person's fault		It's not one person's fault		anti-semitism in Labour is not one person's fault	contradiction	False
QT30_076	there are systemic and institutional biases	you're not doing it intentionally	there are systemic and institutional biases	you're not doing it intentionally		you're not doing it intentionally		you're not doing it intentionally	non-contradiction	False
QT30_077	he made it impossible	You could see me on countless shows trying to advocate on behalf of Republican policies and what the President was doing	Donald Trump made it impossible to advocate on behalf of Republican policies and what he was doing	you could see Anthony Scaramucci on countless shows trying to advocate on behalf of Republican policies and what President Donald Trump was doing					contradiction	 True
QT30_078	I wouldn't have been supporting him for two years if I was a bitter employee	my liberal friends would say to me well, you know, he's the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee	Anthony Scaramucci wouldn't have been supporting Donald Trump for two years if he was a bitter employee	Anthony Scaramucci's liberal friends would say to him that Donald Trump is the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee	I wouldn't have been supporting him for two years if I was a bitter employee	my liberal friends would say to me well, you know, he's the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee	Anthony Scaramucci wouldn't have been supporting Donald Trump for two years if he was a bitter employee	Anthony Scaramucci's liberal friends would say to him that Donald Trump is the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee	contradiction	False
QT30_079	it was an aspirational working class family where we were in the middle class	I grew up in a working class family, my dad was an hourly worker	it was an aspirational working class family where we were in the middle class	Anthony Scaramucci grew up in a working class family, his dad was an hourly worker					Contradiction	False
QT30_080	he was really just representing himself	Mr Trump I thought was going to represent them in Washington	Donald Trump was really just representing himself	Anthony Scaramucci thought Donald Trump was going to represent desperational working class families in Washington					Contradiction	False
QT30_081	the other thing that you did, because of your charisma, your intelligence, you normalised Donald Trump, and that's the problem	The last two years you have been incredible in terms of coming clean on TV in front of people, you published a book, you're behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again	the other thing that Anthony Scaramucci did, because of his charisma, his intelligence, is that he normalised Donald Trump, and that's the problem	the last two years Anthony Scaramucci has been incredible in terms of coming clean on TV in front of people, he published a book, he is behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again	the other thing that you did, because of your charisma, your intelligence, you normalised Donald Trump, and that's the problem	The last two years you have been incredible in terms of coming clean on TV in front of people, you published a book, you're behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again	the other thing that Anthony Scaramucci did, because of his charisma, his intelligence, is that he normalised Donald Trump, and that's the problem		non-contradiction	False
QT30_082	they've had opportunities through impeachment and others to, as it were, remove him	it seems that some Republicans are getting buyer's remorse and regretting that Donald Trump is their representative in the presidential race	republicans have had opportunities through impeachment and others to, as it were, remove him	it seems that some Republicans are getting buyer's remorse and regretting that Donald Trump is their representative in the presidential race	they've had opportunities through impeachment and others to, as it were, remove him	it seems that some Republicans are getting buyer's remorse and regretting that Donald Trump is their representative in the presidential race		it seems that some Republicans are getting buyer's remorse and regretting that Donald Trump is their representative in the presidential race	contradiction	False
QT30_083	this is totally different this time	there’s a least of the two evils, if you will	this is totally different this time	there’s a least of the two evils, if you will					Non-Contradiction	True
QT30_084	Even that’s not going to solve the problem	It’s the only time I can remember in my lifetime though where the whole world is cooperating on a vaccine	even global vaccine co-operation is not going to solve the problem	this is the only time Marie van der Zyl can remember in her lifetime though where the whole world is cooperating on a vaccine					non-contradictiom	 False
QT30_085	two miles at the side of me is Nottinghamshire who've gone into tier three from Friday	I live in West Lindsey which at the minute is relatively low in tier one	two miles at the side of Female Aud3 is Nottinghamshire who've gone into tier three from Friday	Female Aud3 lives in West Lindsey which at the minute is relatively low in tier one	two miles at the side of me is Nottinghamshire who've gone into tier three from Friday		two miles at the side of Female Aud3 is Nottinghamshire who've gone into tier three from Friday		non-contradiction	False
QT30_086	that time is used to get on top of test, trace and isolate	what we have to do now is to make sure that we not only have that circuit breaker	that time is used to get on top of test, trace and isolate	what we have to do now is to make sure that we not only have that circuit breaker					non-contradiction	False
QT30_087	significantly less than we neat need	we heard there are going to be vaccines before the end of the year	we heard there are going to be vaccines before the end of the year	we heard there are going to be vaccines before the end of the year	significantly less than we need		significantly less than we need		non-contradiction	False
QT30_088	that is a big hurdle it still hasn’t gone over	if -- it passes the safety data	safety testing is a big hurdle the Pfizer vaccine still has not gone over	if the Pfizer vaccine passes the safety data					contradiction	 True
QT30_089	"you’re being asked can you do it given that these freezers, you know -70, are necessary to get this 
distributed"	We need people to believe and to take the vaccine	"Matt Hancock is being asked if he can distribute the vaccine given that these freezers are necessary to get it 
distributed"	to end the coronavirus epidemic we need people to believe and to take the vaccine					non-contradiction	 False
QT30_090	The NHS relies on subcontractors to do the job of rolling it out	the NHS will do it	the NHS relies on subcontractors to do the job of rolling it out	the arguments are given that the NHS will do the roll-out					contradiction  	 False
QT30_091	to say the NHS will do it, well, the NHS can only do it if they get the support to do their job	the arguments are given that the NHS will be able to manage the roll-out	to say the NHS will do it, well, the NHS can only do it if they get the support to do their job	the arguments are given that the NHS will be able to manage the roll-out					contradiction	False
QT30_092	I know I'm not giving an answer	I would like to follow the clinical advice	Matt Hancock knows he's not giving an answer	Matt Hancock would like to follow the clinical advice	I know I'm not giving an answer				contradiction	False
QT30_093	I'm not saying it will be straightforward	I'm not saying it is easy	Matt Hancock is not saying everybody's participation in vaccination will be straightforward	everybody's participation in vaccination is doable	I'm not saying it will be straightforward	I'm not saying it is easy			contradiction	True
QT30_094	businesses may look to do that in the future	As a government we've not got plans to introduce a passport or anything like that, of that nature	businesses may look to introduce an immunity passport in the future	the UK government have not got plans to introduce an immunity passport or anything like that, of that nature		As a government we've not got plans to introduce a passport or anything like that, of that nature			non-contradiction	True
QT30_095	but this isn't going to happen overnight.	We have a plan, we're going to do this, we're going to do it together	this isn't going to happen overnight	we have a plan, we are going to do this, we are going to do it together	but this isn't going to happen overnight.	We have a plan, we're going to do this, we're going to do it together	this isn't going to happen overnight		non-contradiction	False
QT30_096	but there's a long way to go	Hope and help is here	there is a long way to go	hope and help is here	but there's a long way to go				non-contradiction	False
QT30_097	logistics isn’t falling into the tech problem where we’re trying to get everybody to download apps	Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this	logistics isn’t falling into the tech problem where we’re trying to get everybody to download apps	Tom Kerridge can understand Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this					-	False
QT30_098	it is more about getting close to people and resolving it	"Colleenâ€™s point of view are we going to fall into the same trap where it 
comes to rolling out the logistics of this"	logistics is more about getting close to people and resolving it	"Tom Kerridge can understand Colleenâ€™s point of view are we going to fall into the same trap where it comes to rolling 
out the logistics of this"	it is more about getting close to people and resolving it	"Colleen's point of view are we going to fall into the same trap where it
comes to rolling out the logistics of this"	"logistics is more about getting close to people
and resolving it"	"Tom Kerridge can understand Colleen's point of view are we going 
to fall into the same trap where it comes to rolling out the logistics 
of this"	non-contradiction	 False
QT30_099	it is also a worldwide achievement	It is a fantastic achievement	COVID-19 vaccine is also a worldwide achievement	COVID-19 vaccine is a fantastic achievement					Non-Contradiction	False
QT30_100	We haven’t seen it	I will get the deal in July	we haven’t seen the deal	Boris Johnson will get the deal in July					Contradiction	False
QT30_101	we're borrowing Â£400 billion this year -- in a single year	We can offer more help, we want to see that	we're borrowing Â£400 billion this year -- in a single year	we can offer more help, we want to see that	we're borrowing £400 billion this year -- in a single year		we're borrowing £400 billion this year -- in a single year		contradiction	False
QT30_102	People say that's impossible because there are multi-generational households	because there are multi-generational households	people say letting the younger generation shielding the elderly is impossible	the younger generation can't shield the elderly because there are multi-generational householdsÂ 	People say that's impossible because there are multi-generational households			the younger generation can't shield the elderly because there are multi-generational households	non-contradiction	False
QT30_103	"I think youâ€™ll find, Nadhim, there is a willingness across the population and across businesses to do whatever you 
need, whatever is required to accelerate and deliver this vaccine"	We heard before the show that good people are involved	"there is a willingness across the population and across businesses to do whatever you need, whatever is
 required to accelerate and deliver this vaccine"	we heard before the show that good people are involved with the vaccine roll-out	"I think you'll find, Nadhim, there is a willingness across the population 
and across businesses to do whatever you need, whatever is required
to accelerate and deliver this vaccine"	We heard before the show that good people are involved	"there is a willingness across the population and across 
businesses to do whatever you need, whatever is required 
to accelerate and deliver this vaccine"	"we heard before the show that good people are involved with the 
vaccine roll-out"	non-contradiction	 False
QT30_104	The problem is your prime minister did that 48 hours earlier	This morning, when you were challenged on that question you said you wouldn’t bandy around random numbers	the problem is your prime minister bandied around random numbers 48 hours earlier	this morning, when you were challenged on that question about disappointment you said you wouldn’t bandy around random numbers					Self-Contradiction	False
QT30_105	sorry, the AstraZeneca one is 70 percent	the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned	sorry, the AstraZeneca one is 70 percent protection	the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned					contradiction	False
QT30_106	We're not getting any of the balancing act right at all	1,104 people died today and schools are shut	we are not getting any of the balancing act right at all	1,104 people died today and schools are shut	We're not getting any of the balancing act right at all				contradiction	False
QT30_107	instead we spent on Eat Out to Help Out	We should have spent the money making sure kids and the vulnerable in society had more	instead we spent on Eat Out to Help Out	we should have spent the money making sure kids and the vulnerable in society had more					Non-Contradiction	False
QT30_108	I, as a doctor, think that is a reprehensible position	There seems to be an increasing, very vocal minority in Britain at the moment who seems to think that somehow if a human being in British society is above a certain age or has medical comorbidities	Rachel Clarke,as a doctor, thinks that is a reprehensible position	there seems to be an increasing, very vocal minority in Britain at the moment who seems to think that somehow if a human being in British society is above a certain age or has medical comorbidities					-	True
