ID	locution1	locution2	proposition1	proposition2	label	prep_needed	locution1_corrected	locution2_corrected	proposition1_corrected	proposition2_corrected
QT30_164	we've actually come together as a country like never before to confront COVID	we've been separated from our families like never before	we've actually come together as a country like never before to confront COVID	we've been separated from our families like never before	non-contradiction	false				
US2016_37	I would go against them if she releases her e-mails	"When the audit 's complete , I 'll do it"	TRUMP would go against TRUMP_LAWYERS if CLINTON releases CLINTON's e-mails	"When the audit 's complete , TRUMP 'll do it"	non-contradiction	false				
QT50_113	in some areas the tide is turning somewha	not only have they been able to resist it	in some areas the tide is turning somewhat	not only have the Ukrainians been able to resist the Russian invasion	non-contradiction	true				
QT50_409	The Government's ambition is that you should see your GP within two weeks	I met a woman who's been waiting for an appointment at a bowel clinic for 18 months	the Government's ambition is that you should see your GP within two weeks	David Lammy met a woman who's been waiting for an appointment at a bowel clinic for 18 months	contradiction	false	The Government's ambition is that you should see your GP within two weeks	I met a woman who's been waiting for an appointment at a bowel clinic for 18 months	the Government's ambition is that you should see your GP within two weeks	David Lammy met a woman who's been waiting for an appointment at a bowel clinic for 18 months
QT30_404	we don't want you after that	if we're trying to employ people to come from abroad	we don't want seasonal workers after 2 months	we're trying to employ people to come from abroad	contradiction	true				
QT50_498	"This is the key thing, is actually most politicians I think are trying to do the right thing"	we may not agree on many policies	the key thing is that actually most politicians are trying to do the right thing	we may not agree on many policies	non-contradiction	false				
QT50_666	It's the rest of the world where they're going up	"When we talk about we, sure, China, the rest of the world, I mean the rich world's carbon emissions have been going down pretty much over the last couple of decades"	it's the rest of the world where they're going up	"when we talk about we, sure, China, the rest of the world, the rich world's carbon emissions have been going down pretty much over the last couple of decades"	non-contradiction	false				
QT50_51	That's why it was not appropriate to lockdown at the point they did	we were roughly 2 to 3 weeks behind countries like Italy and France	it was not appropriate to lockdown at the point Italy and France did	we were roughly 2 to 3 weeks behind countries like Italy and France	contradiction	false				
QT50_582	"It just doesn't feel like the caring and compassionate response I would want from, you know, the country I live in at the moment"	"some of the policies that I think have been announced this week around stopping illegal immigrants from opening bank accounts, and housing people potentially in disused army barracks, going forward"	"stopping illegal immigrants from opening bank accounts, and housing people potentially in disused army barracks just doesn't feel like the caring and compassionate response AudienceMember20230112QT19 would want from the country he lives in at the moment"	"some of the policies have been announced this week around stopping illegal immigrants from opening bank accounts, and housing people potentially in disused army barracks, going forward"	contradiction	false				
QT50_3	the less severe end of disease is harder to protect against with vaccination	The more serious end of the spectrum of disease seems to be reasonably well controlled by vaccination	the less severe end of disease is harder to protect against with vaccination	the more serious end of the spectrum of disease seems to be reasonably well controlled by vaccination	non-contradiction	false				
QT50_512	you don't always follow them	You're talking about the independent pay bodies like they're gospel	Jacob Rees-Mogg does not always follow the independent pay bodies	Jacob Rees-Mogg is talking about the independent pay bodies like they are gospel	contradiction	true				
QT50_549	"that not happening, is genuine to show that the NHS is at breaking point"	"Coming to save us, in our desperate state of need"	"that the NHS coming to save us is not happening, is genuine to show that the NHS is at breaking point"	"the NHS is coming to save us, in our desperate state of need"	contradiction	true				
QT50_568	You don't know	You're making it sound like a lifestyle	Ella Whelan doesn't know whether Isla Barrow is actually trans	Ella Whelan is making trans-reality sound like a lifestyle	non-contradiction	false				
QT50_164	there seems to be a real problem with the whole concept of non-dom status	I'm not talking about Rishi Sunak's wife	there seems to be a real problem with the whole concept of non-dom status	Justin Welby is not talking about Rishi Sunak's wife	non-contradiction	false				
QT30_95	but this isn't going to happen overnight.	"We have a plan, we're going to do this, we're going to do it together"	this isn't going to happen overnight	"we have a plan, we are going to do this, we are going to do it together"	non-contradiction	false	but this isn't going to happen overnight.	"We have a plan, we're going to do this, we're going to do it together"	this isn't going to happen overnight	
QT50_320	We don't have an over-heated economy	you get an over-heated economy	we don't have an over-heated economy	you get an over-heated economy	contradiction	false				
QT50_185	Do they really need eight subsidised bars	they work late	politicians do not really need eight subsidised bars	politicians work late	non-contradiction	false				
QT50_491	"Record means nothing, significant means nothing"	"you sit there with records, significant funds"	"record means nothing, significant means nothing"	"the current government sits there with records, significant funds"	contradiction	false				
QT50_241	it doesn't seem to apply to the government	The rules should apply to everyone equally	it doesn't seem to apply to the government	the rules should apply to everyone equally	contradiction	false				
QT50_277	I would love tax cuts as much as the next person	there are too many of them offering tax cuts which are unfunded	Olivia Utley would love tax cuts as much as the next person	there are too many of the candidates in the leadership race offering tax cuts which are unfunded	contradiction	false				
QT30_87	significantly less than we neat need	we heard there are going to be vaccines before the end of the year	we heard there are going to be vaccines before the end of the year	we heard there are going to be vaccines before the end of the year	non-contradiction	false	significantly less than we need		significantly less than we need	
QT50_577	I don't think that's a an acceptable way for the Secretary of State to behave	we would have acted in good faith	drop the Gender Recognition Reform bill or the Westminster Government see the Scottish Government in court	the Scottish Government would have acted in good faith	non-contradiction	false			that is not an acceptable way for the Secretary of State to behave	
QT30_444	I don't think it's fair to say that any rational person thinks that we should just adopt their policies overnight	we might applaud their end goal	Kate Andrews does not think it's fair to say that any rational person thinks that we should just adopt their policies overnight	we might applaud the protestors' end goal	contradiction	true				
QT50_478	That target still hasn't been met	it was 100 billion	the target of 100 billion that the developed countries pledged to less developed countries to help them cope with climate change still hasn't been met	the developed countries pledged 100 billion to less developed countries to help them cope with climate change	contradiction	true	That target still hasn't been met		the target of 100 billion that the developed countries pledged to less developed countries to help them cope with climate change still hasn't been met	
QT30_38	not necessarily this Government	talked about commitments that it's going to make	commitments regarding housing concerns across this generation may not necessarily come from this Government	the Government has talked about commitments that it's going to make regarding housing concerns across this generation	contradiction	true				
QT30_521	it's not been done	it was made a priority to look after women and gendered violence	looking after women and gendered violence has not been done	it was made a priority to look after women and gendered violence	contradiction	false				
QT50_539	that is completely irrelevant if the people there are leaving	we're increasing this number or increasing that number	increasing new hires is completely irrelevant if the people there are leaving	on Question Time most weeks the government representatives claim to be increasing this number or increasing that number	contradiction	false				
US2016_53	Now you say they're too harsh	You defended President Obama's immigration policies	now CLINTON says Obama's immigration policies are too harsh	CLINTON defended President Obama's immigration policies	contradiction	false				
QT30_86	"that time is used to get on top of test, trace and isolate"	what we have to do now is to make sure that we not only have that circuit breaker	"that time is used to get on top of test, trace and isolate"	what we have to do now is to make sure that we not only have that circuit breaker	non-contradiction	false				
QT30_338	is it because the process needs review	Was it because of Mr Paterson	the cause for the goverment deciding that the process of politicians being paid by companies needed review was or wasn't the fact that the process needs reviewing	the cause for the goverment deciding that the process of politicians being paid by companies needed review was or wasn't the fact that Owen Paterson was getting payments from companies	non-contradiction	false				
QT30_142	people have no idea what's going on here	"in my native land, you can talk about anybody"	people have no idea what's going on here	"in Bonnie Greer's native land, you can talk about anybody"	non-contradiction	false				
QT50_618	"not with, frankly, some left-wing campaigning lawyers"	I'm more than happy to side with the security services on that issue	David Davies does not side with some left-wing campaigning lawyers on the issue of whether Shamima Begum is a threat to UK security or not	David Davies is more than happy to side with the security services on the issue of whether Shamima Begum is a threat to UK security or not	non-contradiction	false		I'm more than happy to side with the security services on that issue		
US2016_8	probably shouldn't have jumped to conclusions	It's quite scary to imagine that everyone on that stage but Bernie is a Billionaire	CrumpledForeskin probably shouldn't have jumped to conclusions	it's quite scary to imagine that everyone on that stage but Bernie is a Billionaire	non-contradiction	false				
QT50_378	is probably ill-advised at best	She is very careful about what she says	"using the word ""detest"" is probably ill-advised at best"	Nicola Sturgeon is very careful about what she says	contradiction	true				
QT50_424	we thought we had it with national insurance	This has been the cast iron guaranteed commitment	we thought we had it with National Insurance	social care being sorted has been the government's cast iron guaranteed commitment	non-contradiction	false				
QT30_387	yet this is what you're hearing	The largest group voted Conservative here	yet what you're hearing is that they did not think that Boris Johnsons speech was the right thing	the largest group voted Conservative here	contradiction	true				
QT30_188	"I'm not sitting here, absolutely not, as a representative of any political party at all"	I ran firstly as an independent	"Michelle Dewberry is not sitting here, absolutely not, as a representative of any political party at all"	Michelle Dewberry ran firstly as an independent	non-contradiction	false				
QT50_260	we need to do more as a society to help young people feel that getting a food on the property ladder is a realisable dream they can fulfil	We have done everything we can to help them	we need to do more as a society to help young people feel that getting a foot on the property ladder is a realisable dream they can fulfil	Stephen Kerr and his wife have done everything they can to help their four children try and get on the property ladder	contradiction	false				
QT50_524	they should have thought of that when they started the inflation in the first place	"the Government going on about inflation and saying, we want to stop inflation"	the Government should have thought of the dangers of inflation when they started the inflation in the first place	"the Government going on about inflation and saying, we want to stop inflation"	non-contradiction	false				
QT50_244	"there are wryer issues within what you would, other government departments and with senior civil servants"	the questions about Boris Johnson	there are other issues within other government departments and with senior civil servants	the question is about Boris Johnson	non-contradiction	false				
QT50_616	It's not true that there are no planes leaving Cardiff airport	it's quite lazy just to dismiss policies as untrue	it's not true that there are no planes leaving Cardiff airport	it's quite lazy just to dismiss policies as untrue	contradiction	false	It's not true that there are no planes leaving Cardiff airport	it's quite lazy just to dismiss policies as untrue	it's not true that there are no planes leaving Cardiff airport	it's quite lazy just to dismiss policies as untrue
QT30_558	when it comes to reality they might cover up and not pretend that they've done anything wrong	the government are trying to make it seem that they're trying to do the best job possible	when it comes to reality they might cover up and not pretend that they've done anything wrong	the government are trying to make it seem that they're trying to do the best job possible	non-contradiction	false	when it comes to reality they might cover up and not pretend that they've done anything wrong	the government are trying to make it seem that they're trying to do the best job possible	when it comes to reality they might cover up and not pretend that they've done anything wrong	the government are trying to make it seem that they're trying to do the best job possible
QT30_280	"actually, we fired him"	the case is closed	"actually, we fired Matt Hancock"	the case is closed	non-contradiction	false				
QT50_504	rather than care for patients	We've spent the debate talking about healthcare while we were talking about pay for nurses	we've not spent the debate talking about care for patients	we've spent the debate talking about healthcare while we were talking about pay for nurses	non-contradiction	false		We've spent the debate talking about healthcare while we were talking about pay for nurses		we've spent the debate talking about healthcare while we were talking about pay for nurses
QT30_197	"The time for this is not now, everyone knows that's obvious"	I do believe that there isâ€¦that you have to now	"the time for the referendum is not now, everyone knows that's obvious"	we have to vote now	contradiction	true		"I do believe that there is, that you have to now"		
QT30_85	two miles at the side of me is Nottinghamshire who've gone into tier three from Friday	I live in West Lindsey which at the minute is relatively low in tier one	two miles at the side of Female Aud3 is Nottinghamshire who've gone into tier three from Friday	Female Aud3 lives in West Lindsey which at the minute is relatively low in tier one	non-contradiction	false	two miles at the side of me is Nottinghamshire who've gone into tier three from Friday		two miles at the side of Female Aud3 is Nottinghamshire who've gone into tier three from Friday	
QT30_407	it isn't encouraging conversation on what's going on now	"We are looking at the society of Victoria, which is important"	it isn't encouraging conversation on what's going on now	"we are looking at the society of Victoria, which is important"	non-contradiction	false				
QT50_4	All we are getting is Peppa Pig and spin	spin when people's lives are at stake	all we are getting is Peppa Pig and spin	we can't just spin when people's lives are at stake	contradiction	true				
QT50_676	How can you help her now	Right to buy was quite some time ago	Andrew Murrison can help AudienceMember 20230427QT16 get on the property ladder by doing xxx now	right to buy was quite some time ago	non-contradiction	false				
QT50_613	There must be a radical rethinking about how government and how the structure of the UK operates	it's always more of the same	there must be a radical rethinking about how government and how the structure of the UK operates	the way in which the government and. the structure of UK operates is always more of the same	non-contradiction	false		it's always more of the same		
QT30_485	It isn't really a shock to me	"Yes, that is a shock"	Labour losing Hartlepool isn't really a shock to John Bercow	"yes, Labour losing Hartlepool is a shock"	contradiction	false				
QT50_292	public sector workers are expecting to get a pay cut	We were promised a high wage high skill economy	public sector workers are expecting to get a pay cut	we were promised a high wage high skill economy	contradiction	false				
QT30_423	"No, that is a thing which we're improving"	we now can't get any tests until December in the south of England	"no, test availability is a thing which we're improving"	we now can't get any tests until December in the south of England	contradiction	true				
QT50_561	We have no interest in taking money away from anyone else	I do appreciate the money has to come from somewhere	teachers have no interest in taking money away from anyone else	AudienceMember 20230209QT07 does acknowledge the money has to come from somewhere	contradiction	false				
QT30_81	"the other thing that you did, because of your charisma, your intelligence, you normalised Donald Trump, and that's the problem"	"The last two years you have been incredible in terms of coming clean on TV in front of people, you published a book, you're behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again"	"the other thing that Anthony Scaramucci did, because of his charisma, his intelligence, is that he normalised Donald Trump, and that's the problem"	"the last two years Anthony Scaramucci has been incredible in terms of coming clean on TV in front of people, he published a book, he is behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again"	non-contradiction	false	"the other thing that you did, because of your charisma, your intelligence, you normalised Donald Trump, and that's the problem"	"The last two years you have been incredible in terms of coming clean on TV in front of people, you published a book, you're behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again"	"the other thing that Anthony Scaramucci did, because of his charisma, his intelligence, is that he normalised Donald Trump, and that's the problem"	
QT30_337	the proof of the pudding is in the eating	are the ones pushing the government now to the higher ambitions that we absolutely need	the proof of the pudding is in the eating	what we see now is that net zero pledges are the ones pushing the government now to the higher ambitions that we absolutely need	non-contradiction	true				
QT50_318	The reality is we don't build enough houses	Many of us want the opportunity to own our home	the reality is we don't build enough houses	many of us want the opportunity to own our home	contradiction	false				
QT50_608	the IMF forecast the UK to be the only G7 economy that's going to shrink this year	we've actually had the third highest rate of growth in the G7 since 2007	the IMF forecast the UK to be the only G7 economy that's going to shrink this year	we've actually had the third highest rate of growth in the G7 since 2007	contradiction	false	the IMF forecast the UK to be the only G7 economy that's going to shrink this year	we've actually had the third highest rate of growth in the G7 since 2007	the IMF forecast the UK to be the only G7 economy that's going to shrink this year	we've actually had the third highest rate of growth in the G7 since 2007
QT50_23	you need to worry about the local economy as well	"We have seen great developments on the sea front, with your wonderful pier, everything else"	you need to worry about the local economy as well	"we have seen great developments on the sea front, with your wonderful pier, everything else"	non-contradiction	false				
QT30_398	but it is a wider question	I know it is about Prince Andrew	but it is a wider question	AudienceMember 20211014QT42 knows the question is about Prince Andrew	non-contradiction	false				
QT30_121	"it's too slow, too late"	There's a resolution here	"the resolution is too slow, too late"	There's a resolution here	contradiction	false				
QT30_543	"I think a lot of people in Northern Ireland would feel that they are treated as an afterthought in Westminster at times and, at worst, a political football"	Huge debates about the future of Northern Ireland have been had in Westminster	"Louise Haigh thinks a lot of people in Northern Ireland would feel that they are treated as an afterthought in Westminster at times and, at worst, a political football"	huge debates about the future of Northern Ireland have been had in Westminster	non-contradiction	false				
QT30_78	I wouldn't have been supporting him for two years if I was a bitter employee	"my liberal friends would say to me well, you know, he's the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee"	Anthony Scaramucci wouldn't have been supporting Donald Trump for two years if he was a bitter employee	"Anthony Scaramucci's liberal friends would say to him that Donald Trump is the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee"	contradiction	false	I wouldn't have been supporting him for two years if I was a bitter employee	"my liberal friends would say to me well, you know, he's the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee"	Anthony Scaramucci wouldn't have been supporting Donald Trump for two years if he was a bitter employee	"Anthony Scaramucci's liberal friends would say to him that Donald Trump is the same guy that he was at 2015 so he's doing the exact same things here in 2020 so why did you change, you must be a bitter employee"
QT50_115	we still are seeing really low numbers of refugees being allowed into this country	We've got a minister saying that we're going to help Ukraine as much as possible	we still are seeing really low numbers of refugees being allowed into the UK	we've got a minister saying that we're going to help Ukraine as much as possible	contradiction	false				
QT50_345	it is also right we look at the positive impacts of the growth plan	it hasn't gone as planned	it is also right we look at the positive impacts of the growth plan	the growth plan hasn't gone as planned	non-contradiction	false				
QT30_132	"the reality is you have to weigh up the extent to which people have sacrificed, staying inside"	You call it decision by committee	"the reality is you have to weigh up the extent to which people have sacrificed, staying inside"	Jeremy King calls xxx a decision by committee	non-contradiction	false				
QT50_247	his office deserves some respect	I won't pretend that I'm a fan of Douglas Ross	Douglas Ross' office deserves some respect	Iain Anderson won't pretend that he's a fan of Douglas Ross	non-contradiction	false				
QT30_214	I cannot	I want to travel to India today	Devi Sridhar cannot travel to India	Devi Sridhar wants to travel to India today	contradiction	false				
QT30_228	but the evidence isn't as clear at the moment of the evidence of the one-to-one tuition.	"if delivered not right away, may well improve life chances,"	but the evidence isn't as clear at the moment of the evidence of the one-to-one tuition	"if delivered not right away, one-to-one tuition may well improve life chances"	non-contradiction	false				
QT50_569	It is not even 0.5	"We have been audited trail of 1,000 plus negative stories a month on 0.5 percent of the population"	the number of trans women is not even 0.5 percent of the population	"we have been audited trail of 1,000 plus negative stories a month on 0.5 percent of the population"	contradiction	false				
QT30_335	we couldn't afford to do	we all tomorrow ran out and bought an electric car	we couldn't all afford to run out tomorrow and buy an electric car	we could all run out tomorrow and buy an electric car	contradiction	false				
QT30_57	it was from a minority of people	there was violence	it was from a minority of people	there was violence	non-contradiction	false				
QT30_137	it is not out the question because the government is doing this	We had a vaccines minister saying it is out the question	it is not out the question because the government is doing this	we had a vaccines minister saying it is out the question	contradiction	false				
QT50_199	at the same time her crimes are so heinous that it's hard to do so	I probably would trust the parole board	at the same time Tracey Connelly's crimes are so heinous that it's hard to trust a parole board that may let her walk free	Jack Thorne probably would trust the parole board	contradiction	true				
QT30_181	we're not going to build the physical buildings and those rapid diagnosis centres in the time of weeks or months	what we need is rapid diagnosis centres	we're not going to build the physical buildings and those rapid diagnosis centres in the time of weeks or months	what we need is rapid diagnosis centres	contradiction	false				
QT50_623	We don't know what that evidence is	The courts have weighed up the evidence	we don't know what that evidence is	the courts have weighed up the evidence whether Shamima Begum is a threat to UK security or not	non-contradiction	false	We don't know what that evidence is		we don't know what that evidence is	
QT50_611	I'm talking about the 600 jobs the Conservative Party have put at risk	I am not talking about divestment	AudienceMember 20230330QT05 is talking about the 600 jobs the Conservative Party have put at risk	AudienceMember 20230330QT05 is not talking about divestment	non-contradiction	false	I'm talking about the 600 jobs the Conservative Party have put at risk			
QT50_517	I'm not going to second-guess what conversations have been taking place in Wales	there has to be negotiations	Shabana Mahmood is not going to second-guess what conversations have been taking place in Wales	there has to be negotiations	non-contradiction	false				
QT30_319	I couldn't get a dog sitter	I was invited	Tim Stanley couldn't get a dog sitter	Tim Stanley was invited to that dinner	non-contradiction	false				
QT50_218	Wasn't it another party that brought Stormont down and Michelle O'Neil was the Health Minister at the time	everyone is quick to point to the DUP for bringing down Stormont	it was another party that brought Stormont down and Michelle O'Neil was the Health Minister at the time	everyone is quick to point to the DUP for bringing down Stormont	contradiction	true				
QT30_154	I would treat them as a special case	I'm a limited company director myself who's received no help from the government whatsoever	Alan Unknown would treat the NHS as a special case	Alan Unknown is a limited company director myself who has received no help from the government whatsoever	non-contradiction	true				
QT50_5	I think we need to know more about this	the Omicron cases tend to be on the severe end then	we need to know more about the Omicron variant	the Omicron cases tend to be on the severe end then	non-contradiction	false				
US2016_1	Sanders has just been full of platitudes with no specifics	most of what she said has been fluff and targeted rhetoric	Sanders has just been full of platitudes with no specifics	most of what Hillary Clinton said has been fluff and targeted rhetoric	non-contradiction	false				
QT30_47	there has been a total failure to deliver on the promises	"We need safety to be achieved through having a functioning test and trace system, and low levels of transmission"	there has been a total failure to deliver on the promises	"we need safety to be achieved through having a functioning test and trace system, and low levels of transmission"	non-contradiction	false				
QT50_62	If they don't show symptoms it is a different matter	they should self-isolate as well	if family member's of those contacted by track and trace don't show symptoms it is a different matter	they should self-isolate as well	contradiction	false				
QT50_630	it is not always correct as it is set out to be	the forecasts are made	the forecasts are not always correct as they are set out to be	the forecasts are made	non-contradiction	false				
QT50_315	"He didn't say anything at all during the interview, Keir Starmer"	Laura Kuenssberg interviewed Keir Starmer regarding energy bills	Keir Starmer didn't say anything at all during the interview	Laura Kuenssberg interviewed Keir Starmer regarding energy bills	non-contradiction	false				
QT50_532	I think the solution is very simple	Mr Rees-Mogg pointed out a very good solution	AudienceMember20230112QT14 thinks the solution is very simple	Mr Rees-Mogg pointed out a very good solution	non-contradiction	false				
QT50_559	we have not forgotten what Liz Truss and what your Government did to our economy	you forget	we have not forgotten what Liz Truss and what Alex Chalk's Government did to our economy	Alex Chalk forgets what Liz Truss and his government did to the British economy	contradiction	true				
QT30_376	nobody can check all these figures	"he starts hitting us with all this thing about we've invested Â£132 billion, Â£125 billion"	nobody can check all these figures	"in true Tory fashion Andrew Bowie starts hitting us with all this thing about we've invested Â£132 billion, Â£125 billion"	contradiction	false		"he starts hitting us with all this thing about we've invested £132 billion, £125 billion"		"in true Tory fashion Andrew Bowie starts hitting us with all this thing about we've invested £132 billion, £125 billion"
QT50_500	the public needs to be for it	We are doing a lot in this country	the public needs to be for what we are doing in this country	we are doing a lot in this country	non-contradiction	true				
QT50_27	We don't know that yet	"Hopefully, this is a shock to the system for a relatively short period before the gas prices come down to something that's more normal"	we don't know that the prices will become more normal yet	"hopefully, this is a shock to the system for a relatively short period before the gas prices come down to something that's more normal"	non-contradiction	true				
QT50_576	"it is important to recognise this is one of the most consulted on pieces of legislation in history, Scottish history"	we spoke about the review earlier on	"it is important to recognise the Gender Recognition Reform bill is one of the most consulted on pieces of legislation in history, Scottish history"	we spoke about whether to review around the Gender Recognition Reform bill earlier on	non-contradiction	true				
QT30_252	That is criminal	at any minute she is going to be evicted	a woman renting a house or a flat with two children being terrified that at any minute she is going to be evicted because she can't pay her rent is criminal	a woman renting a house or a flat with two children being terrified that at any minute she is going to be evicted	contradiction	true				
QT50_12	is it is only 11.5 million so far	The government said they were going to get 30 million vaccines sent abroad	so far the government have only sent million vaccines abroad	the government said they were going to get 30 million vaccines sent abroad	contradiction	false				
QT50_73	not just in this COVID time	You have to do that any time	not just in this COVID time	you have to do keep your employees safe at any time	non-contradiction	true				
QT50_336	I wouldn't say that's a particular	I'm not a marketing genius like Karan here	Anne McElvoy wouldn't say that associating Conservatives with housing problems is a good sign for them	Anne McElvoy is not a marketing genius like Karan Bilimoria	non-contradiction	true				
QT30_562	we need real trust and honesty in our politics	it's hard to trust politicians at the best of times	we need real trust and honesty in our politics	it's hard to trust politicians at the best of times	contradiction	false				
QT30_567	"to do this, is an abuse of their legal right"	they have the legal right to inspect every great British banger that travels across the Irish Sea	inspecting every British sausage that travels across the Irish Sea is an abuse of EU's legal right	EU has the legal right to inspect every great British banger that travels across the Irish Sea	contradiction	true				
QT50_656	they're granting airport expansions	"At the same time, they're saying they're doing such a wonderful job"	the Government are granting airport expansions	"At the same time, the Government are saying they're doing such a wonderful job"	non-contradiction	false				
QT50_587	when the REACH regulations first came in they were marvellous	"the REACH chemical regulations are terrible, we hate them, they should never come in."	when the REACH regulations first came in they were marvellous	"the REACH chemical regulations are terrible, we hate them, they should never come in"	contradiction	false				
QT50_159	"the International Criminal Court, all members are obliged to pick people up if they see someone who has been wanted by the International Criminal Court to stand for war crimes"	Putin clearly hasn't seen the sunlight in quite a while	all members of the International Criminal Court are obliged to pick people up if they see someone who has been wanted by the International Criminal Court to stand for war crimes	Putin clearly hasn't seen the sunlight in quite a while	non-contradiction	false				
QT50_9	it was costing businesses money in the latter stages	it was	furlough was costing businesses money in the latter stages	furlough was a really good thing	contradiction	true				
