ID	locution1	locution2	proposition1	proposition2	label	prep_needed	issues	
QT50_120	Now he may well be proved wrong	All this time he knew, well, pretty sure he thought he knew, he could go in and he could take more of the country	now Vladimir Putin may well be proved wrong	all this time Vladimir Putin knew, well, pretty sure he thought he knew, he could go in and he could take more of the country	Non-Contradiction	FALSE		
QT30_107	instead we spent on Eat Out to Help Out	We should have spent the money making sure kids and the vulnerable in society had more	instead we spent on Eat Out to Help Out	we should have spent the money making sure kids and the vulnerable in society had more	Non-Contradiction	FALSE		
QT30_385	we've got a shortage	butchers are on £15 an hour	we've got a shortage of butchers	butchers are on £15 an hour	Non-Contradiction	FALSE		
QT30_60	we must never deny the progress that we’ve made	we should always aspire to move further and faster	we must never deny the progress that we’ve made	we should always aspire to move further and faster	Non-Contradiction	FALSE		
QT50_184	a lot of people will struggle to move on	I understand the intention and the want to move on from this and focus on the issues that really matter	a lot of people will struggle to move on	Louise Haigh understands the intention and the want to move on from this and focus on the issues that really matter	Self-Contradiction	FALSE		
QT30_465	I generally trust our carers, our health system to try to judge that you know, the clinical needs and the risks with the patient care, and the family interests	This is awful	Danny Sriskandarajah generally trusts our carers, our health system to try to judge that you know, the clinical needs and the risks with the patient care, and the family interests	having people in care and not being able to see them is awful	Self-Contradiction	FALSE		
QT50_77	I feel nothing but shame for my country and what it is doing	I'm also proud to be Russian	Konstantin Kisin feels nothing but shame for Russia and what it is doing	Konstantin Kisin is proud to be Russian	Self-Contradiction	FALSE		
QT30_25	we’re not	we should have been leading the way in reopening	we’re not leading the way in reopening	we should have been leading the way in reopening	Non-Contradiction	FALSE		
QT50_645	I always think that maybe did they decide to scrap the roads and then find a reason for it	I think it’s great that Labour are thinking about the environment	Rakie Ayola always thinks that maybe did Labour decide to scrap the roads and then find a reason for it	Rakie Ayola thinks it’s great that Labour are thinking about the environment	-	TRUE	Loc1/Prop1 have weird syntax but not sure how to fix ot because of lack of context	
QT30_116	The only thing on these islands was the approach to the ports at the south of England when they were trying to get across to Europe and that was caused by Covid-19	How much of this is being hyped up in the same way that remarijuana said	the only thing on these islands was the approach to the ports at the south of England when they were trying to get across to Europe and that was caused by Covid-19	a lot of this is being hyped up in the same way that remainers said: this will happen, that will happen	Non-Contradiction	FALSE		
QT50_166	they charge it from Luxemburg or somewhere	of companies, that you can buy something here and they make the money here	companies charge it from Luxemburg or somewhere	of companies, that you can buy something here and they make the money here	-	TRUE	Syntax is confusing and lacking context so not sure	
QT30_349	once they get out of Europe, away from the media, where there are governments that can't or don't regulate or whatever it is, and those companies in those countries are behaving in a blatantly irresponsible way	some of those companies are behaving well	once they get out of Europe, away from the media, where there are governments that can't or don't regulate or whatever it is, and those companies in those countries are behaving in a blatantly irresponsible way	some of those companies are behaving well	Self-Contradiction	FALSE		
QT30_186	then I ran secondly as a Brexit Party candidate	I don't represent the Brexit Party	then Michelle Dewberry ran secondly as a Brexit Party candidate	Michelle Dewberry does not represent the Brexit Party	Self-Contradiction	FALSE		
QT30_4	one in every two people go and see a play or musical every year	we think it is an elitist thing	one in every two people go and see a play or musical every year	we think art is an elitist thing	Self-Contradiction	FALSE		
QT30_66	the simpler the message, the harsher it is	Clarity of messaging is critically important	the simpler the message, the harsher it is	clarity of messaging is critically important	Non-Contradiction	FALSE		
QT30_235	You're not taking it onboard	listen to the man's advice	Donna is not taking the advice onboard	listen to Kevin Collins' advice	Non-Contradiction	FALSE		
QT50_431	certainly when you look at the facts nurses do require some special treatment	I don’t like to pick on special cases	certainly when you look at the facts nurses do require some special treatment	Theo Paphitis doesn't like to pick on special cases	Self-Contradiction	FALSE		
QT30_261	we've all got used to the fact that we're learning about the vaccine	Let's understand that this is new, this is constantly changing	we've all got used to the fact that we're learning about the Covid19 vaccine	let's understand that the Covid19 situation is new, is constantly changing	Self-Contradiction	FALSE		
QT50_659	the situation is worse	we've had Brexit, where we're supposed to take control of our own borders	the situation is worse	we've had Brexit, where we're supposed to take control of our own borders	Self-Contradiction	FALSE		
QT50_333	None of them are now available	I was given four different offers	none of the offers given to AudienceMember 20221006QT68 are now available	AudienceMember 20221006QT68 was given four different offers	Non-Contradiction	FALSE		
QT30_434	not the way they're doing it	Most of us agree with what they're about	most of us don't agree with the way they're doing it	most of us agree with what they're about	Non-Contradiction	FALSE		
QT50_173	I think it's a cost of living emergency	people call it a cost of living crisis	I think it's a cost of living emergency	people call it a cost of living crisis	Non-Contradiction	FALSE		
QT30_299	they haven't been visible to us	those efforts that you described are happening	those efforts that Nadhim Zahawi described haven't been visible to us	those efforts that Nadhim Zahawi described are happening	Self-Contradiction	FALSE		
QT30_430	he's referencing Kermit the frog	Boris Johnson today is talking about a turning point for humanity	he's referencing Kermit the frog	Boris Johnson today is talking about a turning point for humanity	Non-Contradiction	FALSE		
QT50_598	doesn't mean you'll actually get it	it basically means, from day one, you can request the right to work from home, work part time, job share, and that kind of thing	the proposal doesn't mean you'll actually get to work from home, work part time, job share, and that kind of thing from day one	the proposal basically means, from day one, you can request the right to work from home, work part time, job share, and that kind of thing	Non-Contradiction	FALSE		
QT30_273	now that we know a virus of some sort does come up every so often	You could say nobody knew it was coming and so we were -- the government were on the back foot	now that we know a virus of some sort does come up every so often	you could say nobody knew it was coming and so the government were on the back foot	Non-Contradiction	FALSE		
QT30_356	I'm not allowed to do that at the moment, actually, at work	I'm sitting here in a room with 60 people in a university lecture theatre	Heather McGregor is not allowed to sit in a room with 60 people at the moment at work	Heather McGregor is sitting here in a room with 60 people in a university lecture theatre	Self-Contradiction	FALSE		
QT30_99	it is also a worldwide achievement	It is a fantastic achievement	COVID-19 vaccine is also a worldwide achievement	COVID-19 vaccine is a fantastic achievement	Non-Contradiction	FALSE		
US2016_28	That is not how we grow the economy	the kind of plan that Donald has put forth would be trickle-down economics all over again	That is not how we grow the economy	the kind of plan that TRUMP has put forth would be trickle-down economics all over again	Non-Contradiction	FALSE		
QT30_451	we have fewer GPs now than we had in 2015	The Conservative government has been talking…has had at least two go's at recruiting more GPs	we have fewer GPs now than we had in 2015	the Conservative government has had at least two go's at recruiting more GPs	Self-Contradiction	FALSE		
QT30_128	I have to point out that we've already been in this situation	If the SNP get a majority in May then the Tories don't have any authority to deny a second independence referendum	Angela Haggerty has to point out that the SNP have already had a majority	if the SNP get a majority in May then the Tories don't have any authority to deny a second independence referendum	Self-Contradiction	FALSE		
QT50_136	you cut the subsidies when it came to onshore wind and solar	he could say to me that, I don't know, that we weren't sufficiently in favour of nuclear early enough	Greg Hands cut the subsidies when it came to onshore wind and solar	Greg Hands could say to Emily Thornberry that we weren't sufficiently in favour of nuclear early enough	Non-Contradiction	FALSE		
QT50_635	bullying for children will continue	which probably the publishers are using as they monetise the nostalgia that is Roald Dahl for many parents actually	bullying for children will continue	which probably the publishers are using as they monetise the nostalgia that is Roald Dahl for many parents actually	Non-Contradiction	FALSE		
QT30_104	The problem is your prime minister did that 48 hours earlier	This morning, when you were challenged on that question you said you wouldn’t bandy around random numbers	the problem is your prime minister bandied around random numbers 48 hours earlier	this morning, when you were challenged on that question about disappointment you said you wouldn’t bandy around random numbers	Self-Contradiction	FALSE		
QT50_232	It's not a case of me not listening	He has his view	it's not a case of John Finucane not listening to Unknown Unknown	Unknown Unknown has his view	Non-Contradiction	FALSE		
QT50_16	They have not done that	The Liberal Democrats have asked for that to be kept at 5 percent until April	the government has not kept VAT at 5 percent	the Liberal Democrats have asked for VAT to be kept at 5 percent until April	Self-Contradiction	FALSE		
QT30_108	I, as a doctor, think that is a reprehensible position	There seems to be an increasing, very vocal minority in Britain at the moment who seems to think that somehow if a human being in British society is above a certain age or has medical comorbidities	Rachel Clarke,as a doctor, thinks that is a reprehensible position	there seems to be an increasing, very vocal minority in Britain at the moment who seems to think that somehow if a human being in British society is above a certain age or has medical comorbidities	-	TRUE	Prop2 is not complete	
QT30_453	the fire safety bill that has gone through today is the starting point	it's not helping her	the fire safety bill that has gone through today is the starting point	the fire safety bill the Government has managed to get through today is not helping AudienceMember 20210916QT12	Self-Contradiction	FALSE		
QT50_442	We’re not	people will be thinking uh, politicians, you’re all the same	not all politicians are the same	people will think that politicians are all the same	Non-Contradiction	FALSE		
QT50_223	Where was consent in Northern Ireland for Brexit	I listen carefully to Robert saying the importance of consent	there was no consent in Northern Ireland for Brexit	Naomi Long listened carefully to Robert Buckland saying the importance of consent	Self-Contradiction	FALSE		
QT30_426	actually it's the right thing to do	it might be inconvenient	what the protestors are doing on the M25 is the right thing to do	what the protestors on the M25 are doing might be inconvenient	Non-Contradiction	FALSE		
QT30_8	have behaved with arrogance and with disrespect to the public	She accepted there was a potential damage to public consent and participation	Dominic Cummings and the Conservative party have behaved with arrogance and with disrespect to the public	Katherine Calderwood accepted there was a potential damage to public consent and participation	Non-Contradiction	FALSE		
QT50_474	He’s still going ahead with fossil fuel subsidies	we had Rishi Sunak claiming that he’s going to go faster	Rishi Sunak is still going ahead with fossil fuel subsidies	we had Rishi Sunak claiming that he’s going to go faster	Non-Contradiction	FALSE		
QT30_522	I find it extraordinary	folk behave in a certain kind of way after drinks or what have you	Brian Fox finds it extraordinary	folk behave in a certain kind of way after drinks or what have you	Non-Contradiction	FALSE	"Prop2: ""folk behave in a certain kind of way after drinks or what have you"" sounds strange but don't know hot to fix it"	
QT50_313	To do an announcement like Friday without the Office of Budget Responsibility giving an independent forecast that backs it up	This should have been planned	an announcement was made on Friday without the Office of Budget Responsibility giving an independent forecast that backs it up	doing an announcement like on Friday should have been planned	Non-Contradiction	FALSE		
QT50_21	I don't believe that at all	People, particularly the Labour Party, seem to define levelling up as between north and south	Maggie Throup doesn't believe defining levelling up as between north and south at all	people, particularly the Labour Party, seem to define levelling up as between north and south	Non-Contradiction	FALSE		
QT30_169	that's also one of the routes that we can have back to prosperity, a more equal and just country	we're being dragged out of the EU against our will	being out of the EU is also one of the routes that we can have back to prosperity, a more equal and just country	we're being dragged out of the EU against our will	Self-Contradiction	FALSE		
QT50_96	at the same time help these people to build the futures	we need to be careful	at the same time help these people to build the futures	we need to be careful	Non-Contradiction	FALSE		
QT30_149	it's not totally clear	it also says that in our contract	it's not totally clear what our contract says	our contract also says that we have to use reasonable or best endeavours to secure that vaccine for our market	Self-Contradiction	FALSE		
QT30_97	logistics isn’t falling into the tech problem where we’re trying to get everybody to download apps	Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this	logistics isn’t falling into the tech problem where we’re trying to get everybody to download apps	Tom Kerridge can understand Colleen’s point of view are we going to fall into the same trap where it comes to rolling out the logistics of this	-	FALSE	Prop2 syntax is strange, not sure how to fix it because lack of context	
QT30_67	Why today did Nicola Sturgeon say it would be 40 million going to the businesses	you were waiting for the chancellor to outline any further support you could give, the chancellor has said Scotland will get 700 million more	xxx is why today Nicola Sturgeon said it would be 40 million going to the businesses	Kate Forbes was waiting for the chancellor to outline any further support she could give, the chancellor has said Scotland will get 700 million more	Self-Contradiction	FALSE		
QT50_528	Who on earth do the Tories think have broken this system	so many Tories have been talking about how the system is broken	the Tories have broken this system	so many Tories have been talking about how the system is broken	Non-Contradiction	FALSE		
QT50_637	changing them in any way and banning them I think is very very dangerous	it’s good to look back on the books and see what was bad about them and criticise them	changing books in any way and banning them is very very dangerous	it’s good to look back on the books and see what was bad about them and criticise them	Non-Contradiction	FALSE		
QT50_454	That's not what I'm going to say	people say	oh, America' is not what Isabel Hardman is going to say	people say: Oh, America	Non-Contradiction	FALSE		
QT30_120	I would hate it if because of that we lost sight of the present and didn’t take the opportunity to make that protocol work as effectively as it can	it is legitimate to think about the future	Anand Menon would hate it if because of thinking about the future we lost sight of the present and didn’t take the opportunity to make that protocol work as effectively as it can	it is legitimate to think about the future	Non-Contradiction	FALSE		
US2016_41	my strongest asset , maybe by far , is my temperament	temperament , let 's go after	TRUMP's strongest asset , maybe by far , is TRUMP's temperament	temperament , let 's go after	-	TRUE	Prop2 incoherent	
QT50_56	now they are taking five days	I was talking to a Trust Chief Executive who two weeks ago could get tested in a day	now Coronavirus tests are taking five days	Chris Hopson was talking to a National Health Service Trust Chief Executive who two weeks ago could get tested for Coronavirus in a day	Non-Contradiction	FALSE		
QT30_43	We have learnt that we can be at productive when we are at home, if not more productive	you couldn't work at home, you wouldn't be getting enough done	we have learnt that we can be at productive when we are at home, if not more productive	with flexibility you couldn't work at home, you wouldn't be getting enough done	Self-Contradiction	FALSE	"Loc1 and prop 1 ""We have learnt that we can be as productive when we are at home, if not more productive"""	
US2016_38	In the last couple of weeks , you acknowledged what most Americans have accepted for years	for five years , you perpetuated a false claim that the nation 's first black president was not a natural-born citizen	In the last couple of weeks , TRUMP acknowledged what most Americans have accepted for years : The president was born in the United States	for five years , TRUMP perpetuated a false claim that the nation 's first black president was not a natural-born citizen	Self-Contradiction	FALSE		
QT30_503	some of them will	many of those people who get the virus today, tomorrow, next week even if they don't end up in hospital	some of many of those people who get the virus will end up in hospital	many of those people who get the virus today, tomorrow, next week even if they don't end up in hospital	Non-Contradiction	FALSE	"Prop2 should be either ""many of those people who willget the virus today, tomorrow, next week won't end up in hospital"" or ""many of those people will get the virus today, tomorrow, next week even if they don't end up in hospital"""	
QT50_653	didn't used to.	I do support the Government's plan for Rwandan deportations	Fraser didn't used to support the UK governments Rwanda deportations	Fraser Nelson does support the Government's plan for Rwandan deportations	Self-Contradiction	FALSE	"Loc1 and Prop 1 should read ""didn't use to"""	
QT50_677	our Government is cutting the aid budget	Tonight 800 million will go to bed hungry around the world	our Government is cutting the aid budget	tonight 800 million will go to bed hungry around the world	Self-Contradiction	FALSE		
QT50_638	so maybe not all but pretty damn near all	it wasn’t all major roads	so maybe not all road projects are being scrapped but pretty damn near all	it wasn’t all major road projects who have been scrapped	Non-Contradiction	FALSE		
QT30_418	unfortunately we've got a just in time government	what we need to see for a just in time supply chain is some long term planning	unfortunately we've got a just in time government	what we need to see for a just in time supply chain is some long term planning	Non-Contradiction	FALSE		
QT30_403	if we're trying to employ people to come from abroad	from a seasonal worker prospective, if we're trying to employ people to come from abroad, why would you come abroad with temporary restrictions such as you can stay here for 2 months and help us out	we're trying to employ people to come from abroad	from a seasonal worker prospective you wouldn't come abroad with temporary restrictions such as you can stay here for 2 months and help us out	Self-Contradiction	FALSE		
US2016_24	I think most of us in America understand that people , not the government creates jobs	people like Hillary Clinton think you grow the economy by growing Washington	most of us in America understand that people , not the government creates jobs	people like Hillary Clinton think you grow the economy by growing Washington	Self-Contradiction	FALSE		
QT50_167	the rules are wrong	I'm not criticising her at all	the rules are wrong	Justin Welby is not criticising the Chancellor's wife at all	Non-Contradiction	TRUE		
QT50_192	But people have died	I don't care if someone had a beer after a long, hard day	people have died	AudienceMember 20220512QT31 doesn't care if someone had a beer after a long, hard day	Self-Contradiction	FALSE		
QT50_286	there are all sorts of cleaners working in offices etc, who are in exactly the same situation	Sometimes people make the mistake of imagining that everyone in the private sector is somehow rich	there are all sorts of cleaners working in offices etc, who are in exactly the same situation terrified about paying rent	sometimes people make the mistake of imagining that everyone in the private sector is somehow rich	Non-Contradiction	FALSE		
QT50_485	at least Bloomberg, those who know much more about this than me, assure me we are also ruling out some of the worst case scenarios that used to be in that list	we get into that far faster than they expected, we’re way ahead of schedule on that	at least Bloomberg, those who know much more about global warming than Stephanie Flanders, assure her we are also ruling out some of the worst case scenarios that used to be in that list	we get into that far faster than they expected, we’re way ahead of schedule on that	Non-Contradiction	FALSE		
QT30_301	It should be children as well	They are choosing bricks	the government should be spending the money on children as well	the government are choosing to spend the money on bricks	Non-Contradiction	FALSE		
