ID	locution1	locution2	proposition1	proposition2	locution1_corrected	locution2_corrected	preposition1_corrected	preposition2_corrected	label	prep_needed
QT30_368	it is a reserve cluster	in terms of carbon capture and storage in the Scottish Cluster, in the Acorn project, of course it was disappointing that it didn't achieve tier one status	the Scottish Cluster, in the Acorn project, is a reserve cluster	in terms of carbon capture and storage in the Scottish Cluster, in the Acorn project, of course it was disappointing that it didn't achieve tier one status					contradiction	False
QT50_521	whilst at the same time, it did interfere in that process when it came to the tarin strikes	the Government simultaneously claims, it can't interfere in this so-called independent process	at the same time the UK Government claimed it cannot interfere in an independent process, it did interfere in that process when it came to the train strikes	the UK Government simultaneously claims, it cannot interfere in this so-called independent process					contradiction	False
QT50_593	it's about as oven-ready as a frozen turkey you take out five minutes before Christmas Day	the whole point about, you know, this being oven-ready	the Brexit deal is about as oven-ready as a frozen turkey you take out five minutes before Christmas Day	there is a whole point about the Brexit deal being oven-ready					contradiction	False
QT50_591	coming in from outside the European Union, was subject to high tariffs and much greater regulation	there was a market across the European Union	the market coming in from outside the European Union, was subject to high tariffs and much greater regulation	there was a market across the European Union					non-contradiction	True
QT30_345	I live in a terraced house	The same is I would love to have an electric car	AudienceMember 20211111QT18 lives in a terraced house	the same is AudienceMember 20211111QT18 would love to have an electric car					non-contradiction	False
QT30_333	We're getting to that in 2024/25	In 2014, the International Energy Agency was saying the electric vehicles would be at the same cost as the combustion engine by 2050	we're getting to the electric vehicles being at the same cost as the combustion engine in 2024/25	in 2014, the International Energy Agency was saying the electric vehicles would be at the same cost as the combustion engine by 2050					contradiction	True
QT30_545	on this red, amber, green	I think we should be transitioning to that system	Devi Sridhar thinks we shouldn't be using the system of this red, amber, green	Devi Sridhar thinks we should be transitioning to the system of opening to people who are fully vaccinated and if they have a negative PCR test					non-contradiction	True
QT50_566	I'm not going to go there	you are desperate to drag this into the gutter	India Willoughby is not going to go to the gutter	Ella Whelan is desperate to drag this into the gutter					contradiction	False
QT30_70	all the businesses in the supply chain wonâ€™t get funding, the businesses impacted wonâ€™t get funding	in the rest of the UK if youâ€™re obliged by law to close youâ€™ll get a grant	all the businesses in the supply chain wonâ€™t get funding, the businesses impacted wonâ€™t get funding	in the rest of the UK if youâ€™re obliged by law to close youâ€™ll get a grant	all the businesses in the supply chain won't get funding, the businesses impacted won't get funding	in the rest of the UK if you're obliged by law to close you'll get a grant			contradiction	False
QT30_518	It needs to be in the context of the overall food strategy	I'm glad the Government is beginning to look at it	taking away adverts for junk food before 9 needs to be in the context of the overall food strategy	Caroline Lucas is glad the Government is beginning to look at taking away adverts for junk food before 9					non-contradiction	False
QT30_247	I do think the government should come up with an incentive scheme to pay landlords who support poor tenants or people who struggle with their rent	A landlord should have the right to use his property and let whoever he wants in there to rent	AUDIENCE MEMBER does think the government should come up with an incentive scheme to pay landlords who support poor tenants or people who struggle with their rent	a landlord should have the right to use his property and let whoever he wants in there to rent					non-contradiction	False
QT30_507	there are 20-30-year-olds who are getting the disease	The vaccination programme has really done a fantastic job in reducing deaths	there are 20-30-year-olds who are getting the disease	the vaccination programme has really done a fantastic job in reducing deaths					contradiction	False
QT50_250	you can't say he doesn't have political courage	I tend to disagree with him on this particular judgment call	you can't say Douglas Ross doesn't have political courage	Iain Anderson tenda to disagree with Douglas Ross on this particular judgment call					non-contradiction	False
QT50_426	there are countries that have similar outcomes	The sort of waiting lists that we have in this country for getting to see a consultant if youâ€™ve got suspected cancer or heart disease or diabetes, they are unheard of in large parts of the western world	there are countries that have similar outcomes	the sort of waiting lists that we have in this country for getting to see a consultant if youâ€™ve got suspected cancer or heart disease or diabetes are unheard of in large parts of the western world		The sort of waiting lists that we have in this country for getting to see a consultant if you've got suspected cancer or heart disease or diabetes, they are unheard of in large parts of the western world			non-contradiction	False
QT30_93	Iâ€™m not saying it will be straightforward	Iâ€™m not saying it is easy	Matt Hancock is not saying everybody's participation in vaccination will be straightforward	everybody's participation in vaccination is doable	I'm not saying it will be straightforward	I'm not saying it is easy			contradiction	True
QT30_441	I don't agree with the means	I absolutely agree with their aims	Munira Wilson doesn't agree with the means	Munira Wilson absolutely agrees with Insulate Britain's aims					non-contradiction	False
QT50_670	it's difficult	That's what we need to do	building more homes is difficult	building more houses is what we need to do					contradiction	False
QT50_513	they're sometimes not implemented at exactly the time that is suggested	pay review results are usually implemented	sometimes pay review results are not implemented at exactly the time that is suggested	pay review results are usually implemented					contradiction	False
QT30_279	It is not entirely an unknown	That's an unknown	the decrease is not entirely an unknown	what happens with the decrease is an unknown					non-contradiction	True
QT30_564	Sadly, it doesn't	optimism could heat our homes	sadly, optimism doesn't heat our homes	optimism could heat our homes					contradiction	False
QT50_464	it is because they don't feel they are being listened to	not because unions want to strike	the nurses are batting for strike action because they don't feel they are being listened to	the nurses are not batting for strike action because unions want to strike					non-contradiction	False
QT50_210	we saw some of the debate going on about the merits of a windfall tax	we have had the announcement	we saw some of the debate going on about the merits of a windfall tax	we have had the announcement of the windfall tax					non-contradiction	True
QT50_272	That's not right	they decided to get Owen Paterson off	getting Owen Paterson off at a meeting wasn't right	Boris Johnson, Charles Moore and others decided to get Owen Paterson off					contradiction	False
QT30_244	she should have anticipated that people would be interested in her story	I feel very sorry for Naomi	Naomi Osaka should have anticipated that people would be interested in her story	Tony Unknown feels very sorry for Naomi Osaka					contradiction	False
QT30_31	now the indirect effect of the lockdown, nobody can quantify	the lockdown being implemented when it was implemented was the correct time	nobody can quantify the indirect effect of the lockdown	the lockdown being implemented when it was implemented was the correct time					contradiction	False
QT50_537	we've justified it enough	we need to justify a pay rise	NHS staff have justified a pay rise enough	NHS staff need to justify a pay rise					contradiction	False
QT50_245	she won't be drawing conclusions	she will produce an dependent report and do everything she can with the evidence put before her	Sue Grey won't be drawing conclusions	Sue Grey will produce an dependent report and do everything she can with the evidence put before her					non-contradiction	False
QT30_428	some of what we've seen is actually not commanding the support of the public	there's room also for civil disobedience	some of what we've seen is actually not commanding the support of the public	there's room also for civil disobedience					non-contradiction	False
QT30_386	you didn't	That they thought it was the right thing	AudienceMember 20211014QT18 doesn't think Boris Johnsons' speech was the right thing	there is or isn't anyone who thought Boris Johnsons speech was the right thing					contradiction	True
QT30_91	to say the NHS will do it, well, the NHS can only do it if they get the support to do their job	the arguments are given that the NHS will be able to manage the roll-out	to say the NHS will do it, well, the NHS can only do it if they get the support to do their job	the arguments are given that the NHS will be able to manage the roll-out					contradiction	False
QT50_160	the reality is we cannot simply wait for Vladimir Putin to have an accounting with his god	I have complete sympathy with what was understood	the reality is we cannot simply wait for Vladimir Putin to have an accounting with his god	Dan Hodges has complete sympathy with what was understood					non-contradiction	False
QT30_438	it's important to say, I don't agree with the means at all	Absolutely	it's important to say, Munira Wilson doesn't agree with the means at all	Absolutely					non-contradiction	False
QT50_684	no community can have policing done to it	we would reintroduce the PCSOs, the community police officers	no community can have policing done to it	we would reintroduce the PCSOs, the community police officers					contradiction	False
QT30_505	Welsh supporters can't go	Denmark supporters can go	Welsh supporters can't go to the football game	Denmark supporters can go to the football game					non-contradiction	False
QT30_416	our deliveries are going down at exactly the wrong time when they need to go up	we are stock building now for Christmas	our deliveries are going down at exactly the wrong time when they need to go up	we are stock building now for Christmas					non-contradiction	False
QT30_355	they can't actually come to class	they've chosen to study in Scotland	people coming from all over the world have chosen to study in Scotland can't actually come to class	people coming from all over the world have chosen to study in Scotland					contradiction	False
QT30_382	Why aren't they getting it	we announced as we arrived in Manchester, Â£0.5 billion for exactly those people	the people who need it most are not getting money from the Government	the Government announced as they arrived in Manchester, Â£0.5 billion for those people who need it most		we announced as we arrived in Manchester, £0.5 billion for exactly those people			contradiction	True
QT50_304	That was uncosted	Â£400 billion	400Â£ for the pandemic was uncosted	the Government helped us with Â£400 billion during the pandemic		£400 billion			contradiction	True
QT50_282	you can't do that	that's what we have to do in our own lives and in our jobs	you can't get on with other people  in your own life and in your job	we have get on with each other in our own lives and in our jobs					contradiction	True
QT30_533	we know things could change	there's really good reason at the moment looking at the data as it is	we know things could change	there's really good reason at the moment looking at the data as it is					non-contradiction	False
QT30_243	Only 1 percent of them still are to this day	We said months ago everybody who comes into the country should be hotel-isolated	only 1 percent of people coming into the country are hotel-isolating to this day	the Labour Party said months ago everybody who comes into the country should be hotel-isolated					contradiction	False
QT30_484	we don't do it by picking juvenile fights not just with one country but with the entirety of the European Union	we are going to make progress	we don't make process by picking juvenile fights not just with one country but with the entirety of the European Union	we are going to make progress					contradiction	True
QT50_237	I'm not going to list them now	There are a lot of things that we did together which worked very, very well indeed	Robert Buckland is not going to list the things that worked well now	there are a lot of things that Robert Buckland and Boris Johnson did together which worked very, very well indeed					non-contradiction	False
QT50_462	we're not doing enough to help the social care sector	We focus a lot, rightly, on the NHS	we're not doing enough to help the social care sector	we focus a lot, rightly, on the NHS					contradiction	False
QT50_46	a lot of people would have done	a few people hadn't followed the rules earlier	a lot of people would have have followed the rules	a few people hadn't followed the rules earlier					contradiction	True
QT50_0	but that is what we have seen from this Prime Minister	No, I don't think anyone should be allowed to make up the rules as they go along	making up the rules as they go along is what we have seen from this Prime Minister	Thangam Debonnaire does not think anyone should be allowed to make up the rules as they go along					contradiction	False
QT30_559	towards the end of the shoot that got curtailed, we had another outbreak and I was quite surprised to learn that we werenâ€™t able to do testing and tracing, that the system had been stopped	we had an outbreak during the shoot over in Belfast when there was the test and trace system originally, the containment phase, and we were able to deal with that and we were able to carry on uninterrupted	towards the end of the shoot that got curtailed, we had another outbreak and Jed Mercurio was quite surprised to learn that we werenâ€™t able to do testing and tracing, that the system had been stopped	we had an outbreak during the shoot over in Belfast when there was the test and trace system originally, the containment phase, and we were able to deal with that and we were able to carry on uninterrupted	towards the end of the shoot that got curtailed, we had another outbreak and I was quite surprised to learn that we weren't able to do testing and tracing, that the system had been stopped				contradiction	False
QT50_370	Labour, the stance on Brexit, they blew it with that	there's not going to be any Tories at all in Scotland after the next election	Labour blew their position with their stance on Brexit	there's not going to be any Tories at all in Scotland after the next election					non-contradiction	False
QT30_113	secondly it contains the principle it should have a minimal impact on the every day lives of communities in Northern Ireland	Firstly, it was negotiated in order to avoid a border on the island of Ireland	secondly the protocoll contains the principle it should have a minimal impact on the every day lives of communities in Northern Ireland	firstly, the protocoll was negotiated in order to avoid a border on the island of Ireland					non-contradiction	False
QT30_222	when you add on the transportation costs actually our calculations are that it won't be so cheap at the end of it	it's very cheap to produce	when you add on the transportation costs actually our calculations are that it won't be so cheap at the end of it	it's very cheap to produce					contradiction	False
QT50_641	from Llanbedr, where Liz lives, down to Chepstow, where I live, and along the M4, weâ€™re not going to be breathing clean air	Yes, we would	from Llanbedr, where Liz Saville-Roberts lives, down to Chepstow, where David Davies lives, and along the M4, weâ€™re not going to be breathing clean air	we would breathe clean air	from Llanbedr, where Liz lives, down to Chepstow, where I live, and along the M4, we're not going to be breathing clean air				contradiction	False
QT50_466	the biggest, the biggest thing we did against growth was come out of the single market	the conversation is all about growth and building growth	the biggest thing we did against growth was come out of the single market	the conversation is all about growth and building growth					non-contradiction	False
QT30_229	it is just not going to happen	You're spending 50 per child	students catching up with Â£50 over two years is just not going to happen	the government is spending Â£50 per child					contradiction	True
QT50_589	Whereas it used to be decided by the European Union	That is now under our control	the ease of importing wine used to be decided by the European Union	making it easy to import wine is now under our control					non-contradiction	True
QT30_293	not in the best interests of the people who live here	because the reality is also that throughout all of the Brexit debate what was very clear was the fact of the about the was very much on an English agenda	the Brexit debate was not in the best interests of the people who live in Northern Ireland	the reality is also that throughout all of the Brexit debate it was very clear that it was very much on an English agenda					non-contradiction	True
QT30_274	he has to lead by example	The problem is he thinks he can still act like a journalist	Boris Johnson has to lead by example	the problem is Boris Johnson thinks he can still act like a journalist					non-contradiction	False
QT50_681	We have an inequality crisis	we talk about a cost of living crisis here	we have an inequality crisis not a cost of living crisis	we talk about a cost of living crisis here					contradiction	False
QT50_305	she didn't seem to take on board was that that goes hand-in-hand with reassurance	You want things to be different and thought of again in a different way	Liz Truss didn't seem to take on board was that shaking things up goes hand-in-hand with reassurance	you want things to be different and thought of again in a different way					contradiction	True
QT30_23	history is a construction	it is the history of this country	history is a construction	statues are the history of this country					contradiction	True
QT50_343	Now they're against it	the Labour Party were in favour of that, 6 months ago	now the Labour Party are against the national insurance levy	the Labour Party were in favour of the national insurance levy 6 months ago					contradiction	False
QT50_233	Robert, I have a lot of respect for you, and we worked together in your previous role	have to say, Robert, but how you could believe anything that Boris Johnson says at face value is beyond me at this point	Naomi Long has a lot of respect for Robert Buckland, and they worked together in his previous role	how Robert Buckland could believe anything that Boris Johnson says at face value is beyond Naomi Long at this point					non-contradiction	False
QT50_40	it also means if you don't ask the questions, you won't necessarily get the answers	There are some people that think these questions shouldn't be aired	not wanting to air the questions on people's decision to not get the vaccination also means if you don't ask the questions, you won't necessarily get the answers	there are some people that think these questions on people's decision to not get the vaccination shouldn't be aired					non-contradiction	False
QT50_110	They have failed	was be able to roll into Kyiv within 72 hours.	the Russians failed to roll into Kyiv within 72 hours	the Russians believed, as well as many others, they would be able to roll into Kyiv within 72 hours					contradiction	True
QT30_483	the public of both countries would like both leaders to be grown up	It is childish	the public of both countries would like both leaders to be grown up	Boris Johnson trying to be Churchill is childish					non-contradiction	True
QT50_554	The Government need to start tackling inflation first	obviously it's conditions also	the Government need to start tackling inflation first	obviously conditions are also eroding people's pay					contradiction	True
QT50_59	as soon as you develop symptoms of Coronavirus you have to have that data on a database	My understanding is once you sign up to the app there is not a lot of data	as soon as you develop symptoms of Coronavirus you have to have that data on a database	Afua Hirsch's understanding is once you sign up to the app there is not a lot of data					contradiction	False
QT30_225	consumers will make choice based on what's right for them, about sustainable eating locally	trade deals and finding ways to create markets, the pan transpacific market that was being developed, I think you will see more of that	consumers will make choice based on what's right for them, about sustainable eating locally	trade deals and finding ways to create markets, the pan transpacific market that was being developed, you will see more of that					non-contradiction	False
QT30_220	if it's the water that comes out of your tap or indeed the train that I took from Crewe to Euston today you don't have that choice	when you walk down the high street, and unfortunately for me there are many frozen pea purveyors and as a consumer you can go pretty much where you like	if it's the water that comes out of your tap or indeed the train from Crewe to Euston you don't have that choice to choose whatever you like	when you walk down the high street, and unfortunately there are many frozen pea purveyors and as a consumer you can go pretty much where you like					contradiction	False
QT50_209	I don't particularly have a cynical view	You're entitled to have a cynical view of it	Robert Buckland doesn't particularly have a cynical view	AudienceMember 20220609QT228 is entitled to have a cynical view of the government acts					contradiction	False
QT50_619	short of going over and throwing rocks at other countries in the G7 I can't see how we get there	A long time to give any examples of how weâ€™re going to get to the levels of growth that will see us become the fastest growing country in the G7	short of going over and throwing rocks at other countries in the G7 Anita Boateng can't see how we get there	Thangam Debbonaire has had a long time to give any examples of how weâ€™re going to get to the levels of growth that will see us become the fastest growing country in the G7		A long time to give any examples of how we're going to get to the levels of growth that will see us become the fastest growing country in the G7			contradiction	False
QT30_365	it's not cutting it	the online stuff, they're trying really hard	the online stuff is not cutting it	the online stuff, universities are trying really hard					contradiction	False
QT30_201	I love being part of Britain	I'm a proud Welshman	Robert Buckland loves being part of Britain	Robert Buckland is a proud Welshman					non-contradiction	False
QT30_262	We sold out our fishermen	Brexit was about taking back control	we sold out our fishermen	Brexit was about taking back control					contradiction	False
QT30_283	we don't know factually what got us here	Normal got us here	we don't know factually what got us here	normal got us here					contradiction	False
QT50_36	I have to consider the dignity of the individual. And their right to refuse something to be done to them	These are sound moral questions that imply that taking the vaccine is the altruistic thing to do	Tim Stanley has to consider the dignity of the individual and their right to refuse something to be done to them	these are sound moral questions that imply that taking the vaccine is the altruistic thing to do					contradiction	False
US2016_59	I am pro-life	very pro- choice	TRUMP is pro-life	TRUMP is very pro- choice					contradiction	False
QT30_329	But in the short term there is a cost	So in the long run it will be great	in the short term there is a cost	in the long run green technology will be great					contradiction	False
QT50_615	what we donâ€™t have is a real tangible plan	what weâ€™ve got right now is a lot of language that obviously no-one would disagree with	what we donâ€™t have is a real tangible plan	what weâ€™ve got right now is a lot of language that obviously no-one would disagree with	what we don't have is a real tangible plan	what we've got right now is a lot of language that obviously no-one would disagree with			non-contradiction	False
QT50_138	what are we going to do in the meantime	You talk about nuclear power stations a long time ahead	we going to do xxx in the meantime before nuclear power stations are created	Greg Hands talks about nuclear power stations a long time ahead					non-contradiction	False
QT50_662	the plans that the Government have set out today are tinkering at the edges	we have to do something like this	the plans that the Government have set out today are tinkering at the edges	we have to do something like Green Day proposed by the Government					contradiction	True
QT50_455	that is not enough	It is right to talk about women being able to get to work	talking about women being able to get to work and not being able to find childcare is not enough	it is right to talk about women being able to get to work					non-contradiction	False
QT50_87	I still feel that there is a lot of things that can be done by Russians inside Russia or even Russians outside Russia to put pressure and to call out, to call out this regime	when you get a level of fear, where people are even scared to talk to each other as happened at some points in the Soviet era	Bridget Kendall still feels that there is a lot of things that can be done by Russians inside Russia or even Russians outside Russia to put pressure and to call out this regime	when you get a level of fear, where people are even scared to talk to each other as happened at some points in the Soviet era					contradiction	False
QT30_268	It is going to be a tiny, tiny proportion of food that's going to be coming for Australia	the largest farm there is something like the size of the state of Israel	it is going to be a tiny, tiny proportion of food that's going to be coming for Australia	the largest farm in Australia is something like the size of the state of Israel					contradiction	False
QT50_149	the reality is we cannot simply wait for Vladimir Putin to have an accounting with his god	I have complete sympathy with what was understood	the reality is we cannot simply wait for Vladimir Putin to have an accounting with his god	Dan Hodges has complete sympathy with what was understood					non-contradiction	False
QT50_258	the youngsters who might benefit won't know it is them who will benefit	if there is a planning application for more homes you get all the people in the area turning up saying they don't want t	the youngsters who might benefit won't know it is them who will benefit	if there is a planning application for more homes you get all the people in the area turning up saying they don't want it					non-contradiction	False
QT50_144	I can't afford it	I want to go green	AudienceMember 20220407QT06 can't afford to go green	AudienceMember 20220407QT06 wants to go green					contradiction	False
QT50_64	not started building it at the beginning of April	If we would have done, we would have had the tests of the 100,000 in place by the beginning of April	if we would have planned ahead well enough we would not have started building tests at the beginning of April	If we would have planned ahead well enough, we would have had the tests of the 100,000 in place by the beginning of April					contradiction	True
QT30_557	the government has chosen to centralise and use a private company, Cerco, to take the lead on this	itâ€™s about having a functioning public health infrastructure that is able to deal with local outbreaks locally	the government has chosen to centralise and use a private company, Cerco, to take the lead on the public health infrastructure	itâ€™s about having a functioning public health infrastructure that is able to deal with local outbreaks locally		it's about having a functioning public health infrastructure that is able to deal with local outbreaks locally			contradiction	False
QT50_213	this is something that is going to happen	People say get back into Stormont now and sort out cost of living	huge cost being passed on to the consumer is something that is going to happen	people say get back into Stormont now and sort out cost of living					contradiction	True
QT30_417	of course it's a bigger pool to fish from	Europe has its own issues with HGV drivers	Europe is of course a bigger pool to fish HGV drivers from	Europe has its own issues with HGV drivers					contradiction	True
QT50_379	talking about the real meat of the matter	is probably ill-advised at best	"she used the word ""detest"" to avoid talking about the real meat of the matter"	"using the word ""detest"" is probably ill-advised at best"					contradiction	True
QT30_429	that's clearly not happening	the whole point of protest is to command the support of the public	the public are clearly not supporting the protest	the whole point of protest is to command the support of the public					contradiction	True
QT30_263	we are just about to sell out our farmers	Brexit was about taking back control	we are just about to sell out our farmers	Brexit was about taking back control					contradiction	False
QT30_399	it is a lot of people now don't want to cut up meat	Maybe it is the conditions	it is a lot of people now don't want to cut up meat	maybe it is the conditions					non-contradiction	False
QT30_253	We have a food bank that is absolutely flooded out with people who simply cannot afford to buy food for their children	I live in a quite well-off part of London and I'm okay	we have a food bank that is absolutely flooded out with people who simply cannot afford to buy food for their children	Jenni Murray lives in a quite well-off part of London and she is okay					contradiction	False
QT50_390	things haven't changed	the leadership of Sinn Fein are trying to say there is a momentum behind this	things haven't changed	the leadership of Sinn Fein are trying to say there is a momentum behind this					contradiction	False
QT30_18	It seems to me to be infantilising of Government ministers to try to pretend that could be the case	you treat people like adults	it seems to Alex Massie to be infantilising of Government ministers to try to pretend that could be the case	you treat people like adults					contradiction	False
QT30_64	a lot of people are still not doing it	people should wear face coverings on public transport	a lot of people are still not wearing masks on public transports	people should wear face coverings on public transport					contradiction	False
QT50_119	we can't fight Vladimir Putin with blankets	As a Ukrainian MP said to me this week, it's all very well sending us blankets	we can't fight Vladimir Putin with blankets	As a Ukrainian MP said to me this week, it's all very well sending us blankets					contradiction	False
QT30_421	I don't rule out anything	that was actually the solution	Grant Shapps does not rule out anything	giving low skilled worker visas to the HGV drivers is not actually the solution					contradiction	True
QT30_106	Weâ€™re not getting any of the balancing act right at all	1,104 people died today and schools are shut	we are not getting any of the balancing act right at all	1,104 people died today and schools are shut	We're not getting any of the balancing act right at all				contradiction	False
QT30_508	it's going to teenagers, and it will go round	The vaccination programme has really done a fantastic job in reducing deaths	the disease is going to teenagers, and it will go round	the vaccination programme has really done a fantastic job in reducing deaths					contradiction	True
QT30_195	it isn't at the moment	I want there to be a Labour Party that is good	the Labour Party isn't good and doesn't provide hope and inspiration for the people at the moment	Martin Unknown wants there to be a Labour Party that is good					contradiction	False
QT50_536	That hasn't even been done, remotely even looked into	In 2019 there was a manifesto pledged that they were going to build 14 new hospitals	building 14 new hospitals hasn't even been done, remotely even looked into	in 2019 there was a manifesto pledged that the NHS were going to build 14 new hospitals					contradiction	False
QT50_188	little Peter had something like 50 separate injuries on his body when he died	They were cleared of murder	little Peter had something like 50 separate injuries on his body when he died	Tracy Connelly, Stephen Barker and Jason Owen were cleared of murder					contradiction	False
QT50_456	that is not enough	not being able to find childcare	talking about women being able to get to work and not being able to find childcare is not enough	it is right to talk about women not being able to find childcare					non-contradiction	True
QT50_41	it's not just an error	partly because of the sort of error	Boris Johnson's errors are not just errors	whoever replaces Boris Johnson has now got an opposition which people kind of know about partly because of the sort of errors that Boris Johnson does					contradiction	False
QT30_267	any economic change is difficult	I do understand what you're saying	any economic change is difficult	Daniel Finkelstein does understand what Ian Blackford is saying					non-contradiction	False
QT30_290	it is also the case of tens of thousands of NHS frontline and care staff are also, still, a month after vaccine roll-out began, unvaccinated	I appreciate there are logistical issues	despite the logistical concerns there are tens of thousands of NHS thousands of NHS frontline and care staff are also, still, a month after vaccine roll-out began, unvaccinated	Rachel Clarke appreciates that there are logistical issues with the vaccine process					non-contradiction	False
QT30_73	But for this party to be caught up in something like this makes me sick.	I will always vote for the Labour party because I think itâ€™s the best coalition of the left for this country	for this party to be caught up in something like this makes Bonnie Greer sicks	Bonnie Greer will always vote for the Labour party because she think itâ€™s the best coalition of the left for this country		I will always vote for the Labour party because I think it's the best coalition of the left for this country			non-contradiction	False
QT30_316	the idea that you would do that under a live case is just -- it is just unacceptable	There may be an argument to say look again at this process	the idea that you would look again at the process under a live case is just unacceptable	there may be an argument to say look again at this process					contradiction	True
QT30_227	These are supposed to be protected groups	doctors as well as journalists	doctor and journalists are supposed to be protected groups	doctors as well as journalists have been under attack					contradiction	True
QT50_443	instead theyâ€™re this rotten, rotten government that we have to put up with	If it was in a business	instead theyâ€™re this rotten, rotten government that we have to put up with	it could be in a business	instead they're this rotten, rotten government that we have to put up with				non-contradiction	False
QT30_569	We need to put more into the longer tail	It is accessible	we need to put more vaccination investment into the longer tail of the UK population	people are not getting the vaccine because of accessibility					contradiction	True
QT30_76	there are systemic and institutional biases	youâ€™re not doing it intentionally	there are systemic and institutional biases	youâ€™re not doing it intentionally		you're not doing it intentionally			non-contradiction	False
