ID	locution 1	locution 2	proposition 1	proposition 2	Corrected locution 1	Corrected locution 2	Corrected proposition 1	Corrected proposition 2	label	prep_needed																			
QT50_165	this was a case of just firing and it actually wasn't the hire and fire sort of case as such	We are also, in terms of putting in place new measures on hire and fire	this was a case of just firing and it actually wasn't the hire and fire sort of case as such	the Government is also looking at P&O in terms of putting in place new measures on hire and fire					non-contradiction	 True																			
QT50_114	"working with the UK Government last week, and I've commended the Government on helping to get 50 
odd orphans out of Dnipro into Scotland"	in that desire to achieve consenus we must do more	"working with the UK Government last week Ian Blackford has commended the Government on helping to get 50 
odd orphans out of Dnipro into Scotland"	in that desire to achieve consensus we must do more					non-contradiction	 False																			
QT30_447	then actually GPs just carried on doing it remotely anyway	NHS England changed their guidance in May	despite the change in guidance GPs just carried on doing it remotely anyway	NHS England changed their guidance in May					non-contradition	 True																			
QT30_568	"recently, with the decline in COVID deaths, Alzheimer’s disease has once again taken that unfortunate 
top spot"	Alzheimer’s disease was a leading cause of death in the UK up until COVID took over	recently, with the decline in COVID deaths, Alzheimer’s disease has once again taken that unfortunate top spot	Alzheimer’s disease was a leading cause of death in the UK up until COVID took over					non-contradition	 False																			
QT50_328	including 12,000 in Bolton	We need to unlock the building that's around	unlocking the 12,000 buildings in Bolton is not happening	we need to unlock the building that's around					contradiction	 True																			
QT50_489	I'm taking it to Durham all by myself	I'm tempted to say Liverpool	Anne MceIvoy is taking Eurovision Song Contest  to Durham all by herself	Anne MceIvoy is tempted to say Liverpool should host Eurovision Song Contest					contradiction	 True																			
QT50_271	God help us if it rains again because we will lose that link along the estuary	we have been promised things time and time again about better transport link	we will lose that link along the estuary if it rains again	we have been promised things time and time again about better transport link					contradiction	 True																			
QT50_565	it is women who are being made to pay for this	the one kind of group we haven't mentioned so far is women	it is women who are being made to pay for this	the one kind of group we haven't mentioned so far is women					non-contradiction	 False																			
QT30_61	that’s just wrong, it’s wrong	Otherwise, unsurprisingly, young people…young black people in Britain will think that there has been no progress	for young black people in Britain to think that there has been no progress is just wrong	otherwise, unsurprisingly, young people…young black people in Britain will think that there has been no progress					contradiction	 True																			
QT50_154	"it's never actually explained to us what actions need to be taken or what sanctions have been put 
forward"	the news is actions need to be taken, sanctions have been put forward	it's never actually explained to us what actions need to be taken or what sanctions have been put forward	the news is actions need to be taken, sanctions have been put forward					contradiction	 False																			
QT50_193	Nothing	What happens	nothing happens	xxx is what happens					contradiction	 True																			
QT30_51	we really could be in a terrible situation	try and find a solution in the next two or three months	we really could be in a terrible situation in the next two or three months	the country needs to try and find a solution in the next two or three months					non-contradiction	 True																			
QT30_408	we need to solve the fundamental sickness in society that men have	we need to give money to the police	we need to solve the fundamental sickness in society that men have	we need to give money to the police					non-contradiction	 False																			
QT50_104	"when that goes up after tomorrow we will still have significantly lower energy prices than many other 
European countries"	the energy price cap	"when the energy price cap goes up after tomorrow we will still have significantly lower energy prices than many 
other European countries"	Maria Caulfield recognises many of the struggles that families in her constituency are facing with the energy price cap					non-contradiction	 True																			
QT50_484	something’s going on in there	they call themselves activists	something’s going on in there	those who glue themselves to roads call themselves activists					non-contradiction	 False																			
QT50_314	That's too late	Now we have to wait until 23rd November	23rd November is too late	now we have to wait until 23rd November					contradiction	 True																			
US2016_57	I just happen to believe that people are not stupid	the Alinsky Model, taking advantage of useful idiots	CARSON just happens to believe that people are not stupid	CLINTON takes into account the Alinsky Model, taking advantage of useful idiots					non-contradiction	 True																			
QT30_538	now we're having to do so	We haven't closed a single store, we haven't missed a single delivery	now we're having to close stores	we haven't closed a single store, we haven't missed a single delivery					contradition	 True																			
QT50_150	let's do it right now	okay, so it's in the past	let's do good decisions about homes' insulation right now	bad decisions about homes' insulation are in the past					non-contradiction	 True																			
QT50_194	"now that COVID is over we still seem to have a medical system where elderly patients can't get 
appointments"	we couldn't make the right decisions	now that COVID is over we still seem to have a medical system where elderly patients can't get appointments	we couldn't make the right decisions					non-contradiction	 False																			
QT30_54	that’s not what happened, Germany as an example	otherwise every country in the world would’ve done the same thing	that’s not what happened, Germany as an example	otherwise every country in the world would’ve done the same thing					non-contradiction	 False																			
QT50_20	but it is important we have strong opposition in other ways.	I think it has been really important we work together	it is important that Labour and Conservatives have strong opposition in other ways	it has been really important that Labour and Conservatives work together					contradiction	 True																			
QT50_430	It is just not possible	"we’re being told, our fifth education secretary in the last year, being told that they’re also going to have to make cuts in the education 
budget"	it is just not possible for cuts to be made in the education budget	we’re being told, our fifth education secretary in the last year, that they’re also going to have to make cuts in the education budget					contradiction	 True																			
QT50_33	not 20%	green levies are 12.5%	green levies are not 20%	green levies are 12.5%					contradiction	 True																			
QT30_40	"I come to the point that I made at the beginning, and I agree with Theo, to do and fulfil those demands 
what we need to be doing is making sure the economy is restarted in a proportionate and a sensible 
way"	I welcome the demand being put on the Government in terms of investment in the youth and social housing and things such as that	"Shuresh comes to the point that she made at the beginning, and she agrees with Theo, to do and fulfil those 
demands what we need to be doing is making sure the economy is restarted in a proportionate and a sensible 
way"	Suresh welcomes the demand being put on the Government in terms of investment in the youth and social housing and things such as that					contradiction	 True																			
QT30_570	I think fans absolutely should do	I think that was absolutely right	Robert Jenwick thinks fans absolutely should have more power	Robert Jenwick thinks that the government acting swiftly to the football pitch invasions was absolutely right					contradiction	 True																			
QT30_304	being in that situation is like nothing that I would wish on my worst enemy	I've been in a position where myself and my daughter were effectively homeless and it is a really horrible place to be	being in that situation is like nothing that Audience Member would wish on her worst enemy	Audience Member has been in a position where herself and her daughter were effectively homeless and it is a really horrible place to be					non-contradiction	 False																			
QT30_203	No offence, guys, but	I had the feeling that somebody, perhaps Andi, was going to tell us all we had to get up and hug each other	no offence, guys, but	Lisa Nandy had the feeling that somebody, perhaps Andi, was going to tell us all we had to get up and hug each other					non-contradiction	 False																			
QT50_19	it is about time that we looked at things in a very different way	we all kind of look on it in sadness, at these events from the comfort of our own homes	it is about time that we looked at things in a very different way	we all look on those in need in sadness, at these events from the comfort of our own homes					contradiction	 False																			
QT50_183	we do need to probably move on from it	I'm not saying that we can just forgive and forget	we do need to probably move on from it	AudienceMember 20220505QT21 is not saying that we can just forgive and forget					contradiction	 False																			
QT50_299	what about the question that was asked here	These are great initiatives	Paul Scully can or can not answer the question that was asked here	the national insurance freeze etc are great initiatives					non-contradiction	 True																			
QT50_186	much too slowly	the culture is changing	the culture is changing much too slowly	the culture is changing					contradiction	 True																			
QT50_230	Every single party in Stormont from both communities have voted against it and stood up against it	This week in parliament, just two days ago, the government introduced legislation which will grant amnesty to terrorists from the Troubles	"every single party in Stormont from both communities have voted against the legislation which will grant amnesty 
to terrorists from the Troubles and stood up against it"	this week in parliament, just two days ago, the government introduced legislation which will grant amnesty to terrorists from the Troubles					contradiction	 True																			
US2016_46	your—your president thinks	not global warming	OBAMA thinks the single greatest problem the world has is global warming	the single greatest problem the world has is nuclear armament and nuclear weapons					contradiction	 True																			
QT30_284	it would just be kind of representative of the decline	No, that's a long way off	a Labour defeat would just be kind of representative of the decline	no, the final nail in the coffin for the Labour party is a long way off					non-contradiction	 True																			
QT50_508	Farming is ten per cent of our carbon output yet we feed 65 per cent of the population	"we’re under this ludicrous idea that farms are being sold in Wales and Scotland and Ireland and England, and they’re being planted 
with trees"	farming is ten per cent of our carbon output yet we feed 65 per cent of the population	we’re under this ludicrous idea that farms are being sold in Wales and Scotland and Ireland and England, and they’re being planted with trees					non-contradiction	 True																			
QT50_240	that's what I am saying tonight	this is a difficult thing for me as a lifelong Conservative to be sitting here	that a party leader at UK level should resign is what Stephen Kerr is saying tonight	this is a difficult thing for Stephen Kerr as a lifelong Conservative to be sitting here					contradiction	 True																			
QT50_137	you haven't	I was thinking that maybe you'd come up with something	Greg Hands hasn't come up with something	Emily Thornberry was thinking that maybe Greg Hands would come up with something					contradiction	 False																			
QT30_130	your business can't open	You could share a home life with a teacher going back into nonventilated setting	your business can't open	you could share a home life with a teacher going back into nonventilated setting					non-contradiction	 False																			
QT30_37	But you don't accept the risk for people like key workers	what Suresh said about people accepting the risk is not the full story	you don't accept the risk for people like key workers	what Suresh said about people accepting the risk is not the full story					non-contradiction	 False																			
US2016_4	It would really help mine	5200 before tax won't cover rent	5200 before tax would really help my rent	5200 before tax won't cover rent					non-contradiction	 True																			
QT30_554	it shouldn’t take a brave young footballer to shame the government into action	the campaign that Marcus Rashford led was really inspirational	it shouldn’t take a brave young footballer to shame the government into action	the campaign that Marcus Rashford led was really inspirational					contradiction	 False																			
QT30_506	The vast majority of them have not got Covid	250,000 children missed school last week because of Covid-related stuff	the vast majority of the 250,000 isolating children have not got Covid-19	250,000 children missed school last week because of Covid-19 related stuff					non-contradiction	 False																			
US2016_52	Now you're for it	You were against same-sex marriage	now CLINTON is for same-sex marriage	CLINTON was against same-sex marriage					contradiction	 True																			
QT30_198	how is 48 per cent in the Brexit referendum a mandate to nothing	48 per cent is a mandate for a referendum	48 per cent in the Brexit referendum is a mandate to nothing	48 per cent is a mandate for a referendum					contradiction	 True																			
QT50_417	we’re committed to dealing with those	We absolutely recognise that there are backlogs	we’re committed to dealing with those issues of funding social care	we absolutely recognise that there are backlogs in funding social care					non-contradiction	 False																			
QT50_573	the Scottish Prison seem to be catching these people when they should	I'm not saying it is an issue of trans issue	the Scottish Prison seem to be catching trans sex offenders when they should	Unknown Speaker is not saying sex offenders being moved to female prisons is an issue of trans issue					non-contradiction	 False																			
QT30_378	the challenge for all of us is that the worst atrocities start somewhere	"I don't think there is any politician, I can't think of any, who haven't had to face threatening behaviour, who haven't been subject to 
intimidating threats"	the challenge for all of us is that the worst atrocities start somewhere	there is no any politician, who haven't had to face threatening behaviour, who haven't been subject to intimidating threats	the challenge for all of us is that the worst atrocities start somewhere	"I don't think there is any politician, I can't think of any, who haven't had to face threatening behaviour, who haven't been subject to 
intimidating threats"	the challenge for all of us is that the worst atrocities start somewhere	there is not any politician, who hasn't had to face threatening behaviour, who haven't been subject to intimidating threats	non-contradiction	 False																			
QT50_469	India, the third largest emitter	Narendra Modi of India, the third largest emitter, he is not attending	India is the third largest emitter of greenhouse gases	Narendra Modi of India is not attending COP27					non-contradiction	 True																			
QT50_146	"actually £9 billion set aside, a £200 discount on energy bills, £150 discount on council tax, additional 
funds to make sure the most vulnerable are able…give them assistance in paying their energy bills"	Not deal with it completely	"the package launched by the Chancellor of the Exchequer actually set aside £9 billion, a £200 discount on energy 
bills, £150 discount on council tax, additional funds to give the most vulnerable  assistance in paying their energy 
bills"	the package launched by the Chancellor of the Exchequer doesn't deal with the rise in bills completely					contradiction	 True																			
QT50_201	why is that not happening	they care	xxx is why social care infection control and testing fund being brought back is not happening	the government care					contradiction	 True																			
QT50_550	people expect that the Government take responsibility for the NHS	it's not the responsibility of Government	people expect that the Government take responsibility for the NHS	it's not the responsibility of Government to take account of recruitment and retention issues when considering the settlement that they put forward					contradiction	 False																			
QT50_55	more lately it seems it's been admitted that it was because of the lack of capacity	Originally it was said that it was a policy decision	more lately it seems it's been admitted that it was because of the lack of capacity	when the Government stopped community testing on the 12th of March it was originally said that it was a policy decision					non-contradiction	 True																			
QT30_239	wasn't good enough in a public health emergency	We were told to take our own advice	our own advice wasn't good enough in a public health emergency	we were told to take our own advice					contradiction	 True																			
QT30_276	no	Boris Johnson or any other politicians feel they can act like a journalist or act like a businessman or something like that	no, politicians cannot act like a journalist or a businessman	Boris Johnson or any other politicians feel they can act like a journalist or act like a businessman or something like that					contradiction	 True																			
QT50_445	"What I’m more concerned about is the fact that we have a Home Secretary who last week referred to 
refugees, people fleeing war conflict, as an invasion"	I just don’t care	"what AudienceMember 20221110QT26 is more concerned about than the low level stuff that MPs are doing is the 
fact that we have a Home Secretary who last week referred to refugees, people fleeing war conflict, as an invasion"	AudienceMember 20221110QT26 just doesn't care about the low level stuff that MPs are doing, like Matt Hancock being in the jungle					non-contradiction	 True																			
QT30_248	the ending of the eviction ban is premature	I have every sympathy with landlords	the ending of the eviction ban is premature	AUDIENCE MEMBER has every sympathy with landlords					non-contradiction	 False																			
QT30_84	Even that’s not going to solve the problem	It’s the only time I can remember in my lifetime though where the whole world is cooperating on a vaccine	even global vaccine co-operation is not going to solve the problem	this is the only time Marie van der Zyl can remember in her lifetime though where the whole world is cooperating on a vaccine					non-contradictiom	 False																			
QT30_59	it’s the people that get it wrong	The government have done a lot to try and make sure that we have racial equality	it’s the people that get racial equality wrong	the government has done a lot to try and make sure that we have racial equality					non-contradiction	 False																			
QT50_541	they take everything, move everything, sweep everything, and cap it	they have got all the opportunities when things like this happen	the NHS take everything, move everything, sweep everything, and cap it	the NHS got all the opportunities when things like attack on AudienceMember20230126QT08 happen					non-contradiction	 False																			
QT30_509	in terms of capacity, this isn't particularly abnormal for the NHS	the stats Victor pointed out we have very serious problems about waiting lists	in terms of capacity, this isn't particularly abnormal for the NHS	the stats 20210722QT09 pointed out we have very serious problems about waiting lists					non-contradiction	 False																			
QT50_61	t is also true to say, though, it is going to require oversight	the app is very much part of that	it is also true to say, though, the app is going to require oversight	the app is very much part of the track and trace strategy					non-contradiction	 True																			
QT50_28	"now in A&E, when I am doing my shifts, I am seeing the elderly coming in with electric burns from the 
same sort of heater"	that was a time of the past	"now in A&E, when Rosena Allin-Khan is doing her shifts, she is seeing the elderly coming in with electric burns 
from the same sort of heater"	time with the electric heaters was a time of the past					contradiction	 True																			
US2016_50	I did n't say that	women do n't deserve equal pay unless they do as good a job as men	TRUMP did n't say that	women do n't deserve equal pay unless they do as good a job as men					contradiction	 False																			
QT50_406	You only got appointed last night, hadn’t you	you should know	you only got appointed last night, didn’t you Lucy Frazer	you should know					non-contradiction	 False																			
QT50_322	"I know 5% for somebody earning over £150,000 is more to them than a penny for somebody earning a 
lot less"	I have dyscalculia which is mathematical dyslexia	"AudienceMember 20221006QT55 knows 5% for somebody earning over £150,000 is more to them than a penny 
for somebody earning a lot less"	AudienceMember 20221006QT55 has dyscalculia which is mathematical dyslexia					non-contradiction	 False																			
QT50_90	he has 18 months to declare what the assets are	His assets can be frozen	Usmanov has 18 months to declare what the assets are	Usmanov's assets can be frozen					non-contradiction	 False																			
QT50_163	it is important, she is paying tax on her UK income	Yes	importantly, Akshata Murthy is paying tax on her UK income	yes, Akshata Murthy is not paying tax on the vast majority of her income					non-contradiction	 True																			
QT50_197	when you don't have enough information and you've got to make a decision	If you have the time to sit down and analyse data	when you don't have enough information and you've got to make a decision	you could have the time to sit down and analyse data					non-contradiction	 True																			
QT30_288	we could have a different conversation in four weeks’ time	Right now we have to work as if this is the only vaccine that’s going to work	we could have a different conversation about Cornavirus vaccines in four weeks’ time	right now we have to work as if the Pfizer Coronavirus vaccine is the only vaccine that’s going to work					non-contradiction	 True																			
QT50_636	censoring books and changing words and banning books as well is very dangerous	social change is great	censoring books and changing words and banning books as well is very dangerous	social change is great					non-contradiction	 False																			
QT30_77	he made it impossible	You could see me on countless shows trying to advocate on behalf of Republican policies and what the President was doing	Donald Trump made it impossible to advocate on behalf of Republican policies and what he was doing	you could see Anthony Scaramucci on countless shows trying to advocate on behalf of Republican policies and what President Donald Trump was doing					contradiction	 True																			
QT30_405	I don't feel as a woman that either care about safety	right now there is a government inquiry and a Met inquiry	Rosie Jones doesn't feel as a woman that either the Met or Government inquiries care about safety	right now there is a government inquiry and a Met inquiry					non-contradiction	 True																			
QT50_246	a time we are trying all to forget	We just need to look back to that time in May to 20	we are trying all to forget May of 2020	we just need to look back to that time in May of 2020					non-contradiction	 False																			
QT50_335	sometimes where Labour had mixed messages	the aspirational note that the Conservatives have struck successfully for many years	Labour had sometimes mixed messages about house ownership	the Conservatives have struck successfully for many years the aspirational note on housing ownership					non-contradiction	 False																			
QT50_17	There was no plan, no plan	When	there was no plan, no plan	schemes will be put in place when xxx					non- contradiction	 True																			
QT30_334	I don't want to suffer right now with juice anxiety	I would love an electric car	AudienceMember 20211111QT19 doesn't want to suffer right now with juice anxiety	AudienceMember 20211111QT19 would love an electric car					contradiction	 False																			
QT30_446	neither of these guys are doing that	supporting the Police and Crime Bill would actually hope folks	neither of the politicians on the Question time panel are supporting the Police and Crime Bill	supporting the Police and Crime Bill would actually help folks					contradiction	 True																			
QT30_255	"there's something wrong where we tell people unless they pump their body full of a chemical, they are 
out of their job"	I'm not hesitant	"there's something wrong where we tell people unless they pump their body full of a chemical, they are out of their 
job"	AudienceMember 20210624QT12 is not vaccine hesitant					non-contradition	 True																			
US2016_19	more people do n't	Millions of people in this country agree with you	more people don't agree with HUCKABEE	Millions of people in this country agree with HUCKABEE					non-contradiction	 True																			
QT50_48	It was weeks before our government started to take this seriously	by then other countries were already implementing lockdown measures	it was weeks before our government started to take the infection of the Coronavirus spreading seriously	by February other countries were already implementing lockdown measures					non-contradictuon	 False																			
US2016_35	Mr. Trump , you 're calling for tax cuts for the wealthy	Secretary Clinton , you 're calling for a tax increase on the wealthiest Americans	TRUMP is calling for tax cuts for the wealthy	CLINTON is calling for a tax increase on the wealthiest Americans					contradiction	 True																			
QT50_266	"Boris has led us out of that and followed the will of the people in the country, got through that, and got 
us Brexit, and dealt with covid"	I wouldn't defend that	"Boris Johnson has led us out of that and followed the will of the people in the country, got through that, and got us 
Brexit, and dealt with covid"	AudienceMember 20220721QT06 wouldn't defend that Boris Johnson isn't a liar					non-contradition	 False																			
QT50_191	So why was the decision made?	you do not make the decision	xxx is why the decision was made	you do not make the decision					contradiction	 True																			
QT50_551	not hiding behind others	people expect that the Government take responsibility for the NHS	people don't expect Government to hide behind others	people expect that the Government take responsibility for the NHS					non-contradiction	 True																			
QT30_342	that is the sort of things people need to do	It is not sexy talking about insulating your loft	that is the sort of things people need to do	it is not sexy talking about insulating your loft					contradiction	 False																			
QT50_284	we are starving our public services	you have to have sufficient taxes to pay for them	we are starving our public services	you have to have sufficient taxes to pay for them					non-contradiction	 False																			
QT30_472	Don't pause it	The Home Office said they're on a pause	don't pause the Home Office	the Home Office said they're on a pause					contradiction	 False																			
QT50_122	more should be done to let the Russian people know what's being done in their name	it's okay giving Ukrainians defensive weapons	more should be done to let the Russian people know what's being done in their name	it's okay giving Ukrainians defensive weapons					non-contradiction	 False																			
QT30_180	"you're asking about our £600 million investment to catch up on all the delayed appointments and 
treatments within the NHS"	we're speaking about your party's manifesto that is not costed	"Keith Brown is asking about our £600 million investment to catch up on all the delayed appointments and treatments 
within the NHS"	we're speaking about the SNP's manifesto that is not costed					non-contradiction	 False																			
QT50_148	it also means diplomacy	that's going to mean sanctions	it also means diplomacy	that's going to mean sanctions					non-contradiction	 False																			
QT30_424	you know that it will need to go up if we're to deal with these problems	You promised that immigration would come down	the Conservative party knows that immigration will need to go up if we're to deal with shortage problems	the Conservative Party promised that immigration would come down					contradiction	 True																			
QT30_89	"you’re being asked can you do it given that these freezers, you know -70, are necessary to get this 
distributed"	We need people to believe and to take the vaccine	"Matt Hancock is being asked if he can distribute the vaccine given that these freezers are necessary to get it 
distributed"	to end the coronavirus epidemic we need people to believe and to take the vaccine					non-contradiction	 False																			
QT50_325	you're going to be paying more in other costs as well	any money you're saving in energy	you're going to be paying more in other costs as well	you're saving money in energy					non-contradiction	 True																			
QT50_217	Stormont is going to do anything	As a unionist I agree with most of what Emma said	Stormont is not going to do anything	as a unionist AudienceMember 20220609QT263 agrees with most of what Emma Little-Pengelly said					non-contradiction	 False																			
QT30_560	they’re not	people have got to be made to feel like it’s their country	people who live in the UK are not made to feel like it is their country	people have got to be made to feel like the UK is their country					contradiction	 True																			
QT50_49	clearly we are at 30,000 deaths	it is dangerous and that's certainly what our public health expert colleagues say to draw conclusions at this point	clearly we are at 30,000 deaths	it is dangerous and that's certainly what our public health expert colleagues say to draw conclusions at this point					non-contradiction	 False																			
QT30_504	The pictures were there	The Government is insisting rules were followed at the G7	the pictures of the G7 were there	the Government is insisting rules were followed at the G7					non-contradiction	 False																			
QT50_627	it’s a benevolent decision	it’s great that they did	removing words from children's books is not a benevolent decision	it’s great that the publishers removed words from children's books					contradiction	 True																			
US2016_17	I would n't do that	I 've been very nice to you , although I could probably maybe not be	TRUMP would n't do that	TRUMP has been very nice to KELLY , although TRUMP could probably maybe not be					non-contradiction	 True																			
QT30_62	"originally the government was suggesting face coverings were not necessary and might give a false 
cents of confidence"	Face covering matter	"originally the government was suggesting face coverings were not necessary and might give a false cents of 
confidence"	Face covering matter	originally the government was suggesting face coverings were not necessary and might give a false sense of confidence	Face coverings matter	originally the government was suggesting face coverings were not necessary and might give a false sense of confidence	Face coverings matter	contradiction	 False																			
QT50_291	The problem is that ordinary local people are being pushed out of their houses by second homeowners	One simple solution is to build more homes	the problem is that ordinary local people are being pushed out of their houses by second homeowners	one simple solution to the workforce being unable to afford to live in places with rising numbers of second homes is to build more homes					non-contradiction	 False																			
QT50_344	They want to still cite it now even though it is false	Bridget talked about all the money that oil and gas companies are making	the Labour Party want to still cite the money that oil and gas companies now even though it is false	Bridget Phillipson talked about all the money that oil and gas companies are making					non-contradiction	 True																			
QT50_664	we have to do it	it's going to be really difficult	we have to reach 2050 goal	the 2050 target is going to be really difficult					contradiction	 False																			
QT30_125	They're going to get angry about the fact that they are being denied the thing they voted for	people in Scotland are not simply just going to say oh well, we voted for it but they said no, so let's move on	people in Scotland are going to get angry about the fact that they are being denied the thing they voted for	people in Scotland are not simply just going to say oh well, we voted for independence but they said no, so let's move on					non-contradiction	 False																			
QT50_356	rather than the things that matter to people	We have seen during that referendum in 2014 and every day since our politics has been dominated by the constitution	"we have seen during the referendum in 2014 about Scottish independence and every day since our politics has 
not been dominated by the things that matter to people"	we have seen during the referendum in 2014 about Scottish independence and every day since our politics has been dominated by the constitution					non-contradiction	 True																			
QT50_686	There are no youth services	then you're worried about antisocial behaviour	there are no youth services	then you're worried about antisocial behaviour					non-contradiction	 False																			
QT30_541	there are still people suffering from long COVID, which is a really serious illness	There may be less people in hospital with COVID these days	there are still people suffering from long COVID, which is a really serious illness	there may be less people in hospital with COVID these days					non-contradiction	 False																			
