ID	locution 1	locution 2	proposition 1	proposition 2	label	prep_needed																			
QT50_202	It is now - this is driving tonight, it is £1.70, £1.80	2010 to 2014, we were paying about £1.30 a litre	It is now - this is driving tonight, it is £1.70, £1.80 per litre	2010 to 2014, we were paying about £1.30 a litre	contradiction	 False																			
QT30_260	it is just not going to go away	"We seem to think that just because we're fed up with COVID it has to go 
away now"	Covid19 is just not going to go away	we seem to think that just because we're fed up with COVID it has to go away now	contradiction	 True																			
QT50_372	rather than seeking more powers and divide the country all over again	To do all the things we could do right now	let's not seek more powers and divide the country all over again	let's use the power we have to do all the things we could do right now	non-contradiction	 True																			
QT50_403	it didn’t go up by as much as it had gone up under Blair and Brown	even when there was austerity under Cameron, it did go up	funding for the NHS didn’t go up by as much as it had gone up under Blair and Brown	even when there was austerity under Cameron, funding for the NHS did go up	non-contradiction	 True																			
QT50_171	and in fact unemployment is less than four per cent	ten per cent unemployment	in fact unemployment is less than four per cent	where people were predicting ten per cent unemployment	contradiction	 True																			
QT30_462	there could be a vaccine	I don't know if there's a vaccine that we could use	there could be a vaccine we could use for India	Anne-Marie Trevelyan doesn't know if there's a vaccine that we could use for India	contradiction	 False																			
QT50_594	that’s forgotten about, no one talks about it anymore	"Going back to the nurses, it was £350 million a week we were going to give 
to the NHS, according to Boris' bus"	a promise of giving £350 million a week to the NHS is forgotten about, no one talks about it anymore	going back to the nurses, it was £350 million a week we were going to give to the NHS, according to Boris' bus	contradiction	 False																			
QT50_182	did we need as many	Things like huge numbers of lateral flow tests, which were needed	we didn't need as many lateral flow tests	money was spent for things like huge numbers of lateral flow tests, which were needed	contradiction	 True																			
QT30_524	it's a bittersweet thing	"I don't want to get soppy about it because the death falling from the skies 
falling from an aeroplane are still real"	it's a bittersweet thing	Nelufar Hedayat doesn't want to get soppy about Afghanistan because the death falling from the skies falling from an aeroplane are still real	non-contradiction	 False																			
QT50_505	instead of how their policies impact real people	"In the middle we were talking about the activities of MPs talking among 
themselves"	we were not talking about how MPs' policies impact real people	in the middle we were talking about the activities of MPs talking among themselves	non-contradiction	 True																			
QT50_176	We have so much more homelessness in this country than we did 12 years ago	They have the ability to make lives better	we have so much more homelessness in this country than we did 12 years ago	the government have the ability to make lives better	contradiction	 True																			
QT50_398	I’m concerned that he’s more focused on his party than the actual country	It would be very hard for Rishi Sunak not to be moderately better	David Lammy is concerned that Rishi Sunak is more focused on his party than the actual country	it would be very hard for Rishi Sunak not to be moderately better	non-contradiction	 False																			
QT50_628	later say no, it was a woman who raped a woman	"we would engage in such legal disingenuousness as to suggest you could 
change the idea that a man rapes a woman"	later we say no, it was a woman who raped a woman	we would engage in such legal disingenuousness as to suggest you could change the idea that a man rapes a woman	non-contradiction	 False																			
QT50_329	I was down in Ebbsfleet where there is 15,000	We need to unlock the building that's around	Paul Scully was down in Ebbsfleet where there is 15,000 buildings which are not getting unlocked	we need to unlock the building that's around	contradiction	 True																			
QT50_300	not now	There is a time to get back to the 40%	now is not the time to go back to the 40% tax rate	there is a time to get back to the 40% tax rate	contradiction	 True																			
QT30_514	"the test of that apology and whether that apology carries weight is what are you going to do to turn 
around this absolutely awful record"	I'm sure people appreciate the apology that you have made	the test of Robert Buckland's apology and whether that apology carries weight is what are you going to do to turn around this absolutely awful record	Jonathan Ashworth is sure people appreciate the apology that Robert Buckland made	non-contradiction	 False																			
QT50_95	we need to be careful	there is a visa restriction and things like that	we need to be careful	there is a visa restriction and things like that	non-contradiction	 False																			
QT50_595	it is still possible to make Brexit work	we don't want to re-litigate the debates of the past	it is still possible to make Brexit work	Labour do not want to re-litigate the debates of the past	non-contradiction	 False																			
QT50_84	There are others for whom it will be a bigger deal	"there will be more people who might decide to come out and say how 
dismayed they are and outraged at what their government is doing as you 
just did"	there are others for whom coming out will be a bigger deal	"there will be more people who might decide to come out and say how dismayed they are and outraged at what their government is doing just as 
Konstantin just did"	non-contradiction	 False																			
QT30_256	"what will get the outcome which we want, which is that everybody gets vaccinated, everybody is 
protected"	I think the starting point with this issue isn't whose rights are more important	what will get the outcome which we want, which is that everybody gets vaccinated, everybody is protected	Sarah Jones thinks the starting point with compulsory vaccinations isn't whose rights are more important	non-contradiction	 False																			
QT50_501	we need a knowledge that we are doing our bit	we need to do more	we need a knowledge that we are doing our bit	we need to do more	non-contradiction	 False																			
QT50_349	possibly the next week	Possibly tomorrow	there's going to be a U-turn coming possibly the next week	there's going to be a U-turn coming possibly tomorrow	non-contradiction	 False																			
QT50_418	On an awful of the metrics the NHS is really, really successful	the NHS is very good at everything except saving lives	on an awful of the metrics the NHS is really, really successful	the NHS is very good at everything except saving lives	contradiction	 False																			
QT50_393	she’s in the pocket of the ERG	This is a serious office of state	Suella Braverman is in the pocket of the ERG	Home Secretary is a serious office of state	non-contradiction	 False																			
QT50_162	you hear about these stories about you're not paying tax	that's ridiculous	you hear about these stories about politicians not paying tax	not trusting politicians is ridiculous	contradiction	 True																			
US2016_39	I just want to get the answer here	I will let you respond	HOLT just wants to get the answer here	HOLT will let TRUMP respond	non-contradiction	 False																			
US2016_30	corporate is staying Manufacturing is leaving	They are not leaving Detroit	corporate is staying Manufacturing is leaving	Ford are not leaving Detroit	non-contradiction	 True																			
QT30_177	you are supporters of the SNP in government	not officially	the Scottish Greens are supporters of the SNP in government	the Scottish Greens have not officially hitched their wagon	contradiction	 True																			
QT50_76	we can't then have different interventions in different parts of the country	as we come out we have to be together to help simplify the messaging	we can also then have different interventions in different parts of the country	as we come out we have to be together to help simplify the messaging	non-contradiction	 False																			
QT50_295	"doesn't the planning regime need to be overhauled to stop the nonsense of development going on 
in the nimby-ism"	second homes are obviously a real bad issue in the south west	the planning regime needs to be overhauled to stop the nonsense of development going on in the nimby-ism	second homes are obviously a real bad issue in the south west	non-contradiction	 False																			
QT30_71	That’s what we should have	"What’s gone completely wrong in the last two or three years is that we’ve
got a Scottish government who generally are adversarial and negative about 
a whole range of things that might happen with the UK and Scotland working 
together"	the UK and Scotland is what we should have	"what’s gone completely wrong in the last two or three years is that we’ve got a Scottish government who generally are adversarial and negative about 
a whole range of things that might happen with the UK and Scotland working together"	contradiction	 True																			
QT30_245	there should be some form of compensation that can ease the transition in	"I understand and I have huge sympathy for landlords who are 
overwhelmingly decent people who are trying to support the people who 
are tenants to them"	there should be some form of compensation that can ease the transition in	"Peter Kyle understands and has huge sympathy for landlords who are overwhelmingly decent people who are trying to support the people who are 
tenants to them"	non-contradiction	 False																			
QT50_470	Russia, the fourth largest emitter	Putin from Russia, the fourth largest emitter, he is not attending either	Russia is the fourth largest emitter of greenhouse gases	Putin from Russia is not attending COP27 either	non-contradiction	 True																			
QT50_308	There would have still been arguments	"It strikes me as a budget that you could have done after Brexit in 2016 
and let a lot of things rip"	there would have still been arguments	"reducing the top rate of income tax for rich people strikes Anne McElvoy as a budget that you could have done after Brexit in 2016 and let a lot of 
things rip"	non-contradiction	 False																			
QT50_620	At the moment we have a government that’s swayed off course ten times in one day	politicians have to have a direction	at the moment we have a government that’s swayed off course ten times in one day	politicians have to have a direction	contradiction	 False																			
QT50_535	"The problem with that argument is that the service was in a poor shape before COVID and the 
lockdown"	notably COVID and lockdown and flu	the problem with arguing the NHS is struggling due to COVID and lockdown is that the service was in a poor shape before COVID and the lockdown	notably COVID and lockdown and flu	non-contradiction	 False																			
QT50_679	those policemen are tackling online fraud	they want visible policing	the 16,000 new policemen are tackling online fraud	people want visible policing	contradiction	 True																			
QT50_243	"The prime minister and his friends in government have civilian more than given the impression 
that the rules don't apply to them"	That's the rule of law	the prime minister Boris Johnson and his friends in government have civilian more than given the impression that the rules don't apply to them	that the rules apply to everybody whoever you are is the rule of law	contradiction	 False																			
US2016_3	I said nothing about sanders in this	Sanders has just been full of platitudes with no specifics	I said nothing about sanders in this	Sanders has just been full of platitudes with no specifics	contradiction	 False																			
QT30_46	clearly we’ve got to do that when it’s safe	"We know the detrimental impact it’s having on their wellbeing as well as on 
their educational development"	clearly we have got to get children back to school when it is safe	we know the detrimental impact it is having on childrens´ wellbeing as well as on childrens´ educational development	non-contradiction	 False																			
QT50_178	"the government is deciding to side with the oil and gas companies rather than those pensioners 
who are struggling to heat their homes"	political choices are difficult, Damian	the government is deciding to side with the oil and gas companies rather than those pensioners who are struggling to heat their homes	political choices are difficult, Damian Green	non-contradiction	 False																			
QT50_507	"we’re under this ludicrous idea that farms are being sold in Wales and Scotland and Ireland and 
England, and they’re being planted with trees"	Everyone here needs a farmer three times a day	we’re under this ludicrous idea that farms are being sold in Wales and Scotland and Ireland and England, and they’re being planted with trees	everyone here needs a farmer three times a day	non-contradiction	 False																			
QT50_265	What was it they didn't spot	I'm absolutely shocked that they kept this man in place for so long	Boris Johnson's party didn't spot something	Chris Bryant is absolutely shocked that they kept this man, Boris Johnson, in place for so long	non-contradiction	 False																			
QT50_369	you have to think about your livelihood	I would be for independence	you have to think about your livelihood	AudienceMember 20221027QT22 is for independence	non-contradiction	 False																			
QT50_207	we've all got long memories	I know it's a long time in politics	we've all got long memories	AudienceMember 20220609QT228 knows seven days is a long time in politics	non-contradition	 False																			
QT50_273	three weeks ago, they were voting to keep Boris in	a lot of the people are standing now for this candidate leadership	three weeks ago, the people who are standing now for this candidate leadership, were voting to keep Boris Johnson in	a lot of the people are standing now for this candidate leadership	non-contradiction	 True																			
QT30_311	I don’t earn too much	I have to give the money back now because I earn too much	James Allcock does not earn too much	James Allcock has to give the money back now because he earns too much	contradiction	 False																			
QT30_529	I value that he doesn't oppose things that shouldn't be opposed just for the sake of opposing them	I would love to see more from him on really going out and being in opposition	Deborah Frances-White values that Sir Keir Starmer doesn't oppose things that shouldn't be opposed just for the sake of opposing them	Deborah Frances-White would love to see more from Sir Keir Starmer on really going out and being in opposition	non-contradiction	 False																			
QT30_388	people don't seem to be hearing it	you can list the pollees	people don't seem to be hearing the pollees	Nadhim Zahawi can list the pollees	contradiction	 False																			
QT50_129	we will have to learn from this report as well	"over the course of the last few years we have invested heavily in 
midwifery staff"	we will have to learn from this report as well	over the course of the last few years we have invested heavily in midwifery staff	non-contradiction	 False																			
QT30_249	we don't know if restrictions will be fully lifted then or not	We have been talking about 21 June	we don't know if restrictions will be fully lifted on 21 June or not	we have been talking about 21 June	non-contradiction	 False																			
QT30_374	Scottish Government is continuing with that	"animal agriculture is the second biggest cause of climate change, before
transport"	Scottish Government is continuing ignoring animal agriculture	animal agriculture is the second biggest cause of climate change, before transport	contradiction	 False																			
QT30_377	not be separate from the people	"recognising that our politicians are there to serve the people and be 
accessible to the people"	recognising that our politicians are not there to be separate from the people	recognising that our politicians are there to serve the people and be accessible to the people	non-contradiction	 False																			
QT50_438	That there are employers out there that allow it is bad enough	"None of it is behaviour that anybody in this audience would be allowed to 
get away with in an actual place of work"	that there are employers out there that allow behaviour as that shown by Matt Hancock is bad enough	none of the behaviours Matt Hancock has shown is behaviour that anybody in this audience would be allowed to get away with in an actual place of work	contradiction	 True																			
QT30_254	"but I do feel my daughter, in the situation she lives in, as part of their job, the people who support 
her to live should be vaccinated"	I know it is very difficult to compel anyone to do anything	in the situation Rosemary Squire's daughter lives in, the people who support her to live should be vaccinated as part of their job	it is very difficult to compel anyone to do anything	 contradiction	 True																			
QT50_614	That’s what’s been happening in Wales	"it is entirely impossible to believe that that sort of facility, if it were in the 
South East of England, would’ve been allowed to die on its feet"	essential factories dying on its feet is what’s been happening in Wales	it is entirely impossible to believe that that sort of facility, if it were in the South East of England, would’ve been allowed to die on its feet	non-contradiction	 True																			
QT50_262	you take a house as three people	I have nothing against students	you take a house as three people	AudienceMember 20220707QT46 has nothing against students	non-contradition	 False																			
US2016_5	I wasn't surprised	I can't believe people were that dumb to clap for that	I wasn't surprised	I can't believe people were that dumb to clap for that	contradiction	 False																			
QT30_35	there could be a case for more target funding	it's not necessarily even about spending more money	there could be a case for more target funding	the apprenticeship levy is not necessarily even about spending more money	non-contradiction	 False																			
QT30_359	It's not the most pleasant of things	it's not particularly onerous	wearing a mask is not the most pleasant of things	wearing a mask is not particularly onerous	non-contradiction	 False																			
QT50_639	it wasn’t all major roads	"is the decision to scrap all major road projects, will it damage the Welsh 
economy, what do you think?"	it wasn’t all major road projects who have been scrapped	the decision to scrap all major road projects will or will not damage the Welsh economy	non-contradiction	 True																			
QT30_556	they’ve always insisted until this point that they were only going to pursue the NHS app	"Matt Hancock and Baroness Harding said today that they’ve backed both 
horses of the Google and the android model and the NHS app"	Matt Hancook and Baroness Harding have always insisted until this point that they were only going to pursue the NHS app	Matt Hancock and Baroness Harding said today that they have backed both horses of the Google and the android model and the NHS app	contradiction	 False																			
QT30_534	It's looking really positive and I think we should be quite cheerful about that	the idea of the NHS being overwhelmed is deeply frightening	the data is looking really positive and Kate Andrews thinks we should be quite cheerful about that	the idea of the NHS being overwhelmed is deeply frightening	non-contradiction	 False																			
QT50_70	we need those assurances that we will be kept safe	"I am as keen as everyone else to be able to get back to some semblance of 
normality, for my daughter to return to school"	we need those assurances that we will be kept safe	Afua Hirsch is as keen as everyone else to be able to get back to some semblance of normality, for her daughter to return to school	non-contradiction	 False																			
QT30_358	it's not particularly onerous	why on something as basic as wearing masks	wearing a mask is not particularly onerous	the UK Government against something as basic as wearing masks	non-contradiction	 False																			
QT50_357	they are trying to divide the country all over again	All of them could be acted on now	the nationalists are trying to divide the country all over again	all things that matter to people could be acted on now	non-contradiction	 True																			
QT30_561	it's hard to trust politicians at the best of times	the idea that we need complete honesty and complete trust	it's hard to trust politicians at the best of times	the idea that we need complete honesty and complete trust	contradiction	 False																			
QT50_578	you can't biologically change sex	You can live your life how you like	you can't biologically change sex	you can live your life how you like	non-contradiction	 False																			
QT50_660	so far what we've heard is pretty universal criticism of it	"the Government is pursuing this policy in the belief that it is popular with the 
electorate"	so far what we've heard is pretty universal criticism of the policy	the Government is pursuing this policy in the belief that it is popular with the electorate	contradiction	 False																			
QT30_412	I'm not aware of all the backhanders that go on	"It's a strange situation because we know that there are back-handers going 
on"	AudienceMember20210916QT06 is not aware of all the backhanders that go on	it's a strange situation because we know that there are back-handers going on	contradiction	 False																			
QT30_162	We won't do that if the country is divided by independence	"we'll need the skills and talents of everyone in this country to get through 
this recovery"	we won't recover if the country is divided by independence	we'll need the skills and talents of everyone in this country to get through this recovery	non-contradition	 True																			
QT30_496	No, it's not	everything the Government does is correct	no, everything the UK Government does is not correct	everything the UK Government does is correct	contradiction	 True																			
QT50_523	he's pointing out that there is a problem	he gets attacked by the BMA for running down hard working GPs	Wes Streeting is pointing out that there is a problem by saying that five million GP appointments are being missed a month	"Wes Streeting gets attacked by the BMA for running down hard working GPs for saying that there is a problem with five million GP appointments 
being missed a month"	non-contradiction	 False																			
QT50_142	that's slightly missing the picture	It is ridiculous that companies can make excessive profits	that's slightly missing the picture	it is ridiculous that companies can make excessive profits	non-contradiction	 False																			
QT30_478	What he's just done is to to do something similar to what happened in Syria in 2013/14	"President Biden believes by leaving he's ending the forever wars, ending the 
global war on terror"	what president Biden has just done is to to do something similar to what happened in Syria in 2013/14	president Biden believes by leaving he's ending the forever wars, ending the global war on terror	non-contradiction	 False																			
QT30_1	We have nearly doubled those and no more than half of those have ever been used by virus patients	People said we would run out of intensive care beds	the UK have nearly doubled available intensive care beds and no more than half of those have ever been used by Coranavirus patients	people said the UK would run out of intensive care beds	contradiction	 True																			
QT50_482	"we look at all the CO2 that’s coming out of Ukraine with all the bombs and everything, I mean, what
damage that actually is doing to the environment and accelerating"	We’ve talked about Russia	"we look at all the CO2 that’s coming out of Ukraine with all the bombs and everything, what damage that actually is doing to the environment and 
accelerating"	we’ve talked about Russia	non-contradiction	 False																			
QT30_2	"but I can see the psychological damage that potentially is happening to a whole generation of 
children."	I don't work in education,	Claire Cooper can see the psychological damage that potentially is happening to a whole generation of children	Claire Cooper doesn't work in education	non-contradiction	 False																			
QT50_685	then you're worried about antisocial behaviour	You have cut local services to the bone	then you're worried about antisocial behaviour	you have cut local services to the bone	non-contradiction	 False																			
QT30_146	that's not really good enough	they should suffer	Victor Adebowale's co-workers having secure jobs and income through the pandemic is not really good enough	they should suffer	non-contradiction	 False																			
US2016_12	this isn't a debate	No ones debating anything	this isn't a debate	No ones debating anything	non-contradiction	 False																			
QT30_555	we need to be testing, tracing and isolating every single case to keep people safe	the test and trace system clearly isn’t up and running properly	we need to be testing, tracing and isolating every single case to keep people safe	Munira Wilson's first concern is, the test and trace system clearly isn’t up and running properly	contradiction	 False																			
QT50_330	"I also know that there are more of you who voted Conservative than have voted for any other 
single party"	"I'm conscious that everything we're hearing from you is very critical of what 
the Government has done on Friday"	Fiona Bruce also knows that there are more of you who voted Conservative than have voted for any other single party	Fiona Bruce is conscious that everything we're hearing from Paul Scully is very critical of what the Government has done on Friday	non-contradiction	 False																			
QT30_234	It doesn't include all the funding that we put in to the laptops	He has done a fantastic job	Kevin Collins's calculation doesn't include all the funding that we put in to the laptops	Kevin Collins has done a fantastic job	non-contradiction	 True																			
QT50_157	for somebody like Putin? He told us he wasn't going to invade, and he did	talking is always good	talking does not work for somebody like Putin, he told us he wasn't going to invade, and he did	talking is always good	contradiction	 True																			
QT50_267	It's our country	We didn't	it's our country	we didn't get to have a confidence vote	non-contradiction	 False																			
QT50_290	it would be a reasonable idea	nobody is advocating that	capping rents would be a reasonable idea	nobody is advocating capping rents	contradiction	 True																			
QT50_555	one of my criticisms of this is that he doesn't actually have any solutions to it at all	lots of terrible mistakes were made	one of my criticisms of this is that Prince Harry doesn't actually have any solutions to it at all	lots of terrible mistakes were made	non-contradiction	 False																			
QT50_177	people need to look at their own local authorities	we keep talking about how much MPs get paid and everybody else	people need to look at their own local authorities	we keep talking about how much MPs get paid and everybody else	non-contradiction	 False																			
QT50_377	I don't think that's the case	I acknowledged this in my speech to the party conference at the weekend	John Swinney doesn't think it's the case that Scotland is more secure as part of the UK	"John Swinney acknowledged the argument that people felt there was more security being part of the UK in his speech to the party conference at the 
weekend"	non-contradiction	 True																			
QT50_575	you have to bend over backwards and to that spiel as a woman to say what you want to say	dress how you want to dress	you have to bend over backwards and to that spiel as a woman to say what you want to say	dress how you want to dress	non-contradiction	 False																			
QT50_621	I never understand how these missions can happen in real time in the real world	"he didn’t say anything that I don’t agree with in terms of ambition and a 
mission"	Rakie Ayola never understands how these missions can happen in real time in the real world	Keir Starmer didn’t say anything that Rakie Ayola doesn't agree with in terms of ambition and a mission	non-contradiction	 True																			
QT50_600	it is not the job of Government to tell businesses and workers what to do, or how to do their job	It's the role of Government to enable businesses and workers	it is not the job of Government to tell businesses and workers what to do, or how to do their job	it is the role of Government to enable businesses and workers	non-contradiction	 False																			
QT50_556	"the royals have been turned into this kind of hideous cartel where they're feeding each other to the 
wolves in order to advance their own interests"	being able to be a family	the royals have been turned into this kind of hideous cartel where they're feeding each other to the wolves in order to advance their own interests	the royals being able to be a family	non-contradiction	 False																			
QT50_8	"Or ensuring that Christmas lunches with small numbers of people that we have in hospitality 
settings can continue"	"Do we many a gathering, as people said, a large number of people, no 
masks on"	a Christmas party is ensuring that Christmas lunches with small numbers of people that we have in hospitality settings can continue	a Christmas party is a gathering, as people said, a large number of people, no masks on	contradiction	 False																			
QT50_488	you've got to check if they want it	Liverpool have got a pedigree for singing	one has got to check if Liverpool people want the Eurovision Song Contest	Liverpool have got a pedigree for singing	non-contradiction	 False																			
QT50_650	they're an even more vulnerable population	given that if we're talking about the welfare of these people who come here	undocumented people are an even more vulnerable population	we're talking about the welfare of these people who come here	non-contradiction	 False																			
QT50_680	That's not what's happening	"which sounds as if there's some sort of inevitable mechanism, an invisible 
hand that's driving inflation"	an invisible hand driving inflation is not what's happening	cost of living crisis sounds as if there's some sort of inevitable mechanism, an invisible hand that's driving inflation	contradiction	 True																			
QT30_305	"as complete amateurs, with no modelling, sticking our oar in to say what we think should happen 
without any idea whether that's an idea at the expense of people potentially dying"	"All that we can do in this situation is try our best to use the best knowledge 
that we have from the most knowledgeable people and make some sort of 
estimate about it"	"in the pandemic situation we shouldn't act as complete amateurs, with no modelling, sticking our oar in to say what we think should happen without 
any idea whether that's an idea at the expense of people potentially dying"	"all that we can do in the pandemic situation is try our best to use the best knowledge that we have from the most knowledgeable people and make 
some sort of estimate about it"	non-contradiction	 False																			
QT50_364	things were always going to change in a generation	the argument always comes to lots has changed since then	things were always going to change in a generation	the argument always comes to 'lots has changed since then'	non-contradiction	 False																			
QT50_510	"they just had to open the door, and accept the principle that they were going to have a conversation 
with the nurses about their pay"	They didn’t even have to reach a deal on pay to avert the strikes today	the Government just had to open the door, and accept the principle that they were going to have a conversation with the nurses about their pay	the Government didn’t even have to reach a deal on pay to avert the strikes today	non-contradiction	 False																			
QT50_156	"I'm very much with you in terms of the difficulties that people are having paying those high heating 
oil prices"	There is a competitive market out there	people are having difficulties paying those high heating oil prices	there is a competitive market out there	non-contradiction	 False																			
QT30_208	"the government does need to pause and think again with regard to the loosening of international 
travel"	"I don't think we ned to completely abandon the hope of trips abroad a little 
later in the year"	the government does need to pause and think again with regard to the loosening of international travel	Nick Thomas-Symonds doesn't think we need to completely abandon the hope of trips abroad a little later in the year	contradiction	 False																			
QT50_206	the Sue Gray Report hadn't come out	what was announced yesterday, with the Sue Gray Report	the Sue Gray Report hadn't come out	the government acted with what was announced yesterday, with the Sue Gray Report	non-contradiction	 False																			
QT50_367	The fact is more people voted for union-supporting parties and nationalist parties	"The Deputy First Minister was saying that the 2021 Scottish election, the 
SNP did the best"	the fact is more people voted for union-supporting parties and nationalist parties	the Deputy First Minister was saying that at the 2021 Scottish election, the SNP did the best	non-contradiction	 False																			
QT50_18	the public could actually take a greater role globally in how we can support people in need	"We seem to think that the government is responsible for solving all of these 
issues"	the public could actually take a greater role globally in how we can support people in need	we seem to think that the government is responsible for solving all of these issues	contradition	 False																			
QT30_297	the idea of a passport is ethically unacceptable	"I work in healthcare and I encourage every patient I meet to get their COVID 
vaccine"	the idea of a passport is ethically unacceptable	Audience Member8 works in healthcare and Audience Member8 encourages every patient they meet to get their COVID vaccine	non-contradiction	 False																			
US2016_2	Hillary actually has specifics, names names, etc	most of what she said has been fluff and targeted rhetoric	HillaryClinton actually has specifics, names names, etc	most of what Hillary Clinton said has been fluff and targeted rhetoric	contradiction 	 False																			
US2016_6	Trump is the only Billionaire	This fact is incorrect	Trump is the only Billionaire	this fact is incorrect	contradiction	 False																			
QT30_246	It is also important that landlords can take control where it is necessary to do so	we didn't want anyone to be thrown out of their houses during this period	it is also important that landlords can take control where it is necessary to do so	we didn't want anyone to be thrown out of their houses during this period	non-contradiction	 False																			
QT50_107	they need more sanctions on Russia	I'm feeling more optimistic	the Ukrainians need more sanctions on Russia	Zanny Minton Beddoes is feeling more optimistic	non-contradition	 False																			
QT50_671	despite people's objections	"the Government tried to introduce the policy where it would be easier to 
build house"	people objected to the Government policy to make it easier to build homes	the Government tried to introduce the policy where it would be easier to build homes	contradiction	 True																			
QT30_150	"there's this presentation that is just topsy-turvy that somehow England's greedily sitting on all these 
vaccines"	"that is a cheap vaccine, and the UK has actually invested huge amounts of 
money in helping vaccine rollout round the world"	there's this presentation that is just topsy-turvy that somehow England's greedily sitting on all these vaccines	AstraZeneca is a cheap vaccine, and the UK has actually invested huge amounts of money in helping vaccine rollout round the world	contradiction	 True																			
QT50_25	I can't wait to see her go against Priti Patel in the despatch box	Yvette is obviously a loss to the home affairs economy	Thangham Debonnaire can't wait to see Yvette Cooper go against Priti Patel in the despatch box	Yvette is obviously a loss to the home affairs economy	non-contradiction	 False																			
US2016_27	That is not how we grow the economy	trumped-up trickle-down , because that 's exactly what it would be	That is not how we grow the economy	trumped-up trickle-down , because that 's exactly what it would be	non-contradiction	 False																			
QT50_278	that comes at a price	To the lady's point here about the tax rises, and that's great	the tax cuts come at a price	to the lady's point here about the tax rises, and that's great	non-contradiction	 False																			
QT30_467	that's how some people have expressed it	A terrible thing to say	life becoming not worth living is how some people have expressed it	"making people's lives so miserable by trapping them indoors all day denying them contact with people making their life become not worth living is a 
terrible thing to say"	non-contradiction	 True																			
QT30_531	a full public inquiry there should be	"therefore I can well understand, Robert, why you are fighting shy of a full 
public inquiry"	a full public inquiry there should be	therefore John Bercow, can well understand why Robert Jenrick is fighting shy of a full public inquiry	contradiction	 False																			
QT50_387	we will not get better until Boris Johnson is gone	Our country deserves better	we will not get better until Boris Johnson is gone	our country deserves better	non-contradiction	 False																			
QT50_32	it's not it's yours	A philosophy which sees Government money as the Government's	the money is not the Goverment's, it's yours	the Labor philosophy is a philosophy which sees Government money as the Government's	contradiction	 True																			
QT30_191	the system we're in makes life often worse generation after generation for working-class people	"they're up against extremely powerful people with a private education, with 
inherited money, for whom life will always get better"	the system we're in makes life often worse generation after generation for working-class people	the working class is up against extremely powerful people with a private education, with inherited money, for whom life will always get better	non-contradiction	 False																			
US2016_25	income inequality remains significant , and nearly half of Americans are living paycheck to paycheck	"There 's been a record six straight years of job growth , and new census 
numbers show incomes have increased at a record rate after years of 
stagnation"	income inequality remains significant , and nearly half of Americans are living paycheck to paycheck	There 's been a record six straight years of job growth , and new census numbers show incomes have increased at a record rate after years of stagnation	non-contradiction	 False																			
