ID	locution1	locution1 corrected version	locution2	Locution2 corrected version	proposition1	preposition1 corrected version	proposition2	preposition2 corrected version	label	prep_needed
QT50_388	not about rubbing a line off a map where all the protections of the Good Friday Agreement are there no matter what your position, whether you're British or Irish		on this island, it is about how you phrased it, it is about a new Ireland		the break-up of the union is not about rubbing a line off a map where all the protections of the Good Friday Agreement are there no matter what your position, whether you're British or Irish		on this island it is about a new Ireland		Contradiction	TRUE
US2016_63	now it turns out it might be 1,800		The other day , we were deporting 800 people		now it turns out USA might be deporting 1,800 people		the other day USA were deporting 800 people		Contradiction	FALSE
QT30_325	There's plenty more to be done, clearly		I'm optimistic		there's plenty more to be done, clearly		Paul Scully is optimistic		Non-contradiction	FALSE
QT30_119	Unfortunately that is what happened now and we’re dealing with the worst time that we’ve been through the whole way through the pandemic		at the onset of the pandemic, when we were predicting what could be the worst scenario and explaining that to the public, and the public would rightly feel this is not going to happen again		unfortunately that is what happened now and we’re dealing with the worst time that we’ve been through the whole way through the pandemic		at the onset of the pandemic, when we were predicting what could be the worst scenario and explaining that to the public, and the public would rightly feel this is not going to happen again		Contradiction	FALSE
QT30_36	participation rates among those from more disadvantaged backgrounds has fallen by a third		Since it was introduced in 2017, it was meant to get more young people, particularly from disadvantaged backgrounds, into apprenticeships to give them better life chances		participation rates in apprenticeship program among those from more disadvantaged backgrounds have fallen by a third		Since apprenticeship levy was introduced in 2017, it was meant to get more young people, particularly from disadvantaged backgrounds, into apprenticeships to give them better life chances		Contradiction	FALSE
QT30_306	that's a distraction from what's going on		which they keep referring to as a huge success		the acceleration of the vassal programme is a distraction from what's going on		the acceleration of the vassal programme they keep referring to as a huge success		Non-contradiction	TRUE
QT50_483	we can do more		this country, we did do our bit for climate change		we can do more		in this country we have done our bit for climate change		Contradiction	FALSE
QT30_362	frankly that's wrong		the answer to this is women thinking about how they change their behaviour		frankly the answer being that women need to think about how they change their behaviour is wrong		the answer to women having to worry about their safety is women thinking about how they change their behaviour		Contradiction	TRUE
QT50_118	we know that people are going to food banks		you talk about food banks		we know that people are going to food banks		you talk about food banks		Non-contradiction	FALSE
QT30_425	the flipside of it is that wages are going up		there are lots of problems with it		the flipside of worker shortages is that wages are going up		there are lots of problems with worker shortages		Contradiction	TRUE
QT30_315	clearly, there was a case to be answered		The perspective that is looked on in politicians, I don't think, actually, is often worked through at what cost they're doing some parts of their job		clearly, there was a case to be answered		the perspective that is looked on in politicians is not often worked through at what cost they're doing some parts of their job		Non-contradiction	FALSE
US2016_51	it's people		Our economy isn't money		USA's economy is people		USA's economy isn't money		Non-contradiction	TRUE
QT50_203	actually, I don't care what you call it		whilst you can call it a windfall tax		actually, Robert Buckland doesn't care what you call it		you can call it a windfall tax		Contradiction	FALSE
QT30_495	the Government have decided to reduce the percentage as well		it would have reduced anyway due to the pandemic		the Government have decided to reduce the GDP percentage for UK foreign aid spending as well		UK foreign aid spending would have reduced anyway due to the pandemic		Non-contradiction	FALSE
QT30_448	that's not going to solve the problem		it's important that people can see their GP face to face		seeing GPs face to face is not going to solve the problem		it's important that people can see their GP face to face		Contradiction	TRUE
QT50_34	More than just The Yellow Card		the data I believe you are talking about is The Yellow Card reporting scheme		Robin Shattock is talking about the data from more than just The Yellow Card		the data Robin Shattock is talking about is The Yellow Card reporting scheme		Contradiction	TRUE
QT50_657	they're granting coal mines		At the same time, they're saying they're doing such a wonderful job		the Government are granting coal mines		At the same time, the Government are saying they're doing such a wonderful job		Contradiction	FALSE
QT30_226	when you travel across the world most people are pretty similar in terms of what they want out of their lives		we get caught up on religion and beliefs and skin colour and our differences		when you travel across the world most people are pretty similar in terms of what they want out of their lives		we get caught up on religion and beliefs and skin colour and our differences		Contradiction	FALSE
QT30_463	We do need to do a lot more		I'm pleased that the Government have done something		we do need to do a lot more		John Ashworth is pleased that the Government have done something		Contradiction	FALSE
QT30_464	We have to do this to protect thousands upon thousands of people dying every day in India		we are trying to convince ourselves as a nation we have to do this to protect ourselves		the UK have to help India to protect thousands upon thousands of people dying every day in India		we are trying to convince ourselves as a nation that we have to not help India to protect ourselves		Contradiction	FALSE
QT30_457	at the moment the UK Government has not yet committed to sending vaccines to India		It is both the morally right thing to do, and also a self-interested thing to do to make sure that we get this parallel roll-out		at the moment the UK Government has not yet committed to sending vaccines to India		it is both the morally right thing to do, and also a self-interested thing to do to make sure that we get this parallel roll-out		Contradiction	FALSE
QT50_563	There are those who don't support it		I know the majority of people according to polling support the teachers strike		there are those who don't support the teachers' strike		Fiona Bruce knows the majority of people according to polling support the teachers strike		Contradiction	FALSE
QT30_131	We haven't had those things and we don't have a sight of what that would look like		clarity, funding, support for workers and businesses, that would make all of this easier to sustain		we haven't had those things and we don't have a sight of what that would look like		clarity, funding, support for workers and businesses, that would make all of this easier to sustain		Contradiction	FALSE
QT30_350	the biggest difference is getting the vaccine		to demonstrate that taking sensible small steps, like wearing masks in crowded places, can have a big difference		the biggest difference is made by getting the vaccine		we do have an example to demonstrate that taking sensible small steps, like wearing masks in crowded places, can have a big difference		Contradiction	FALSE
QT30_175	this is a problem that I have with the SNP approach of setting targets and putting their hopes in things like carbon capture		we need to actually be practical about our obligations under the climate…under the Paris Agreement		this is a problem that Lorna Slater has with the SNP approach of setting targets and putting their hopes in things like carbon capture		we need to actually be practical about our obligations under the Paris Agreement		Contradiction	FALSE
QT50_208	we wouldn't have had an announcement since the 6th June		we hadn't announced it today		we wouldn't have had an announcement since the 6th June		we hadn't announced it today		Non-contradiction	FALSE
QT30_317	there is a case that Boris Johnson was thinking about his own skin		The last thing I wanted to say to Tim was about this being a case of Boris Johnson showing decency		there is a case that Boris Johnson was thinking about his own skin		Caroline Lucas wanted to say to Tim Stanley about this being a case of Boris Johnson showing decency		Contradiction	FALSE
QT50_264	I would do the Downing Street parties again		I know things went wrong		Boris Johnson would do the Downing Street parties again		Boris Johnson knows things went wrong		Contradiction	FALSE
QT30_486	I happen to think it is the most colossal foreign Policy blunder in the post-war period		In December 2019 people said they wanted to get Brexit done,		Brexit is the most colossal foreign Policy blunder in the post-war period		in December 2019 people said they wanted to get Brexit done		Contradiction	FALSE
QT50_221	It also presents us with opportunities		That was in order that Northern Ireland would be as insulated from the difficulties that Brexit was going to create in terms of trade friction		the Northern Ireland Protocol also presents us with opportunities		the Northern Ireland Protocol having been designed by Robert Buckland's own government as a soft landing zone for Brexit was in order that Northern Ireland would be as insulated from the difficulties that Brexit was going to create in terms of trade friction		Contradiction	FALSE
US2016_49	I never said that		women are pigs , slobs and dogs , and pregnancy is an inconvenience to employers		TRUMP never said that	Trump never said that	women are pigs , slobs and dogs , and pregnancy is an inconvenience to employers		Contradiction	FALSE
QT50_361	the way out of it is for Scotland to be independent		to rectify the tax cuts there will have to be colossal reductions in public expenditure which will have a devastating impact on poverty and equality in our society		the way out of colossal reductions in public expenditure that will have a devastating impact on poverty and equality in our society it is for Scotland to be independent		to rectify the tax cuts there will have to be colossal reductions in public expenditure which will have a devastating impact on poverty and equality in our society		Non-contradiction	FALSE
QT50_151	if we hadn't cut it, if the Government hadn't cut it.		nine million homes would have been insulated		if we hadn't cut it, if the Government hadn't cut it.		nine million homes would have been insulated		Non-contradiction	FALSE
QT30_470	the social, cultural, historical values bring forward a very different way of society working		a Western white version of democracy		the social, cultural, historical values bring forward a very different way of society working		we entered Afghanistan with a Western white version of democracy		Non-contradiction	TRUE
QT30_50	when we look back on this, 10,000 deaths is too many		They have done better in terms of their death toll		when we look back on this, 10,000 deaths is too many		Germany has done better in terms of their death toll		Non-contradiction	TRUE
QT50_567	You're making it sound like a lifestyle		it could be a genuine trans person born that way		Ella Whelan is making trans-reality sound like a lifestyle		Isla Bryson could be a genuine trans person born that way		Contradiction	FALSE
QT30_348	the emerging markets are asking for an annual review		we agreed on a review of that now every two years		the emerging markets are asking for an annual review		we agreed on a review of the commitments now every two years		Contradiction	FALSE
QT30_513	there's no deterrent there if it's a 2, 3, 4% of cases		It's a deterrent		there's no deterrent there if it's a 2, 3, 4% of cases		the new crime bill the Government has announced is a deterrent		Contradiction	FALSE
QT50_222	the British government have been found wanting in that regard		you have two people willing to negotiate with each other in a credible fashion		the British government have been found wanting in regard of negotiating in a credible fashion		you have two people willing to negotiate with each other in a credible fashion		Non-contradiction	TRUE
QT50_647	so that we can show the world that we are a compassionate nation		where is that large scale resettlement programme to provide meaningful safe and legal routes		with a large scale resettlement programme we can show the world that we are a compassionate nation		there is no large scale resettlement programme to provide meaningful safe and legal routes		Contradiction	TRUE
QT50_289	strikes are so damaging to students		100% support pay rises for teachers		strikes are so damaging to students		AudienceMember 20220721QT27 100% supports pay rises for teachers		Non-contradiction	FALSE
QT30_178	I don't hear you talking about people		I'm struck by the various areas that you say for investment		Shelly Unknown doesn't hear Douglas Ross talking about people		Shelly Unknown is struck by the various areas that Douglas Ross says for investment		Non-contradiction	FALSE
QT30_13	we do need to have something which is economically sustainable		recognise the costs of this		we do need to have something which is economically sustainable in supporting people being able to afford what they need in life		we need to recognise the costs of people being able to afford what they need in life		Non-contradiction	TRUE
QT50_317	let's see the action on it		To give the Government credit, in this announcement on Friday, they said they would make house building easier		let's see the action on it		to give the Government credit, in this announcement on Friday, they said they would make house building easier		Non-contradiction	FALSE
QT30_155	apart from of course in the referendum about whether we should leave the EU, which there was a high turnout		I've been concerned following Welsh politics for many years at the low turnout in elections and the lack of political engagement		the referendum about whether we should leave the EU had a high turnout		Claire Fox has been concerned following Welsh politics for many years at the low turnout in elections and the lack of political engagement		Contradiction	FALSE
QT30_566	the majority of the population unfortunately would probably assume that in some way or another, politicians are there not only to represent themselves, but, and you know, the population, but also to go that little bit too far you know		I don't expect politicians to be -- to behave badly		the majority of the population unfortunately would probably assume that in some way or another, politicians are there not only to represent themselves, but, and you know, the population, but also to go that little bit too far you know		AudienceMember 20210916QT07 doesn't expect politicians to behave badly		Contradiction	FALSE
QT30_488	The next day opening up in England is 17 May		The government said it would be driven by data not dates		the next day opening up in England is 17 May		the government said it would be driven by data not dates		Contradiction	FALSE
US2016_44	It 's lies	It’s lies	have a good time , folks	have a good time, folks	it's lies that TRUMP wishes a good time having nuclear war	it's lies that Trump wishes a good time having nuclear war	have a good time having nuclear war		Contradiction	TRUE
QT50_219	It's a trading issue		I don't agree with the premise that the Protocol is an identity issue		the protocol is a trading issue		John Finucane does not agree with the premise that the Protocol is an identity issue		Non-contradiction	FALSE
QT30_296	there's a sting in the tail for workers here, particularly in terms of hospitality and getting people back in		I have lots of empathy with business owners who would like this to enable their customers to feel safe		there's a sting in the tail for workers here, particularly in terms of hospitality and getting people back in		Jo Grady has lots of empathy with business owners who would like this to enable their customers to feel safe		Non-contradiction	FALSE
QT50_216	I think it's too little too late in some instances		I actually welcome the package of measures that have been brought forward		Naomi Long thinks the government package of measures is too little too late in some instances		Naomi Long actually welcomes the package of measures that have been brought forward by the government		Contradiction	FALSE
QT30_493	it is something that is becoming a bit of a dog's dinner		Northern Ireland wasn't my biggest concern when I voted to leave the EU		Northern Ireland is something that is becoming a bit of a dog's dinner		Northern Ireland wasn't AudienceMember20210805QT03's biggest concern when he voted to leave the EU		Non-contradiction	FALSE
QT50_238	we go back to the same tittle-tattle again		listening to the panel tonight, I thought that this was going to be such a good and positive outcome to a lot of things		we go back to the same tittle-tattle again		listening to the panel tonight, AudienceMember 20220609QT283 thought that this was going to be such a good and positive outcome to a lot of things		Contradiction	FALSE
QT30_367	in the North East of Scotland		Not in the North East		the Conservative Government in London that is investing £16 billion in the transition fund to move us into this new renewables future in the North East of Scotland		the Conservative Government in London is not investing £16 billion in the transition fund to move us into this new renewables in the North East		Contradiction	FALSE
QT50_496	most politicians are actually quite good people		we may not like their personalities a lot of the time		most politicians are actually quite good people		we may not like the politicians' personalities a lot of the time		Contradiction	FALSE
QT50_439	I don’t behave like that		that means me too		Emily Thornberry doesn't behave like people in the current government		Erica Peas sees Emily Thornberry through the lens of this current government		Contradiction	TRUE
QT30_145	it is difficult		We'd love to be giving more money		giving more money is difficult		we'd love to be giving more money		Contradiction	FALSE
QT30_11	even if you are told to self-isolate		you have to leave home to do that		even if you are told to self-isolate		you have to leave home to make sure your child is safe		Contradiction	FALSE
QT30_156	it's quite divisive		you isolate them as a special group		isolating nurses as a special group is quite divisive		you isolate nurses as a special group		Non-contradiction	FALSE
QT50_303	After the financial crisis, 13 years ago, 14 years, interest rates have been at zero for all these years and we've had flatlining of growth		At the time of the financial crisis, before then, we had growth of about 2.5% a year as a country		after the financial crisis, 13 years ago, 14 years, interest rates have been at zero for all these years and we've had flatlining of growth		at the time of the financial crisis, before then, we had growth of about 2.5% a year as a country		Contradiction	FALSE
QT50_347	But we had to help		I understand that		but we had to help		Douglas Ross understands that bill levels will go up to unaffordable for many		Contradiction	TRUE
QT50_24	I was able to push the then actual Secretary of State for housing to make a commitment to 3.5 billion for cladding removal		It was shadow housing secretary it was hard to get the government to acknowledge the damage done on cladding		Thangam Debonnaire was able to push the then actual Secretary of State for housing to make a commitment to 3.5 billion for cladding removal		as shadow housing secretary it was hard to get the government to acknowledge the damage done on cladding		Contradiction	FALSE
QT50_368	We would do just fine		Scotland couldn't make it as a country, a small country of 6 million people within Europe		Scotland would do just fine		Scotland couldn't make it as a country, a small country of 6 million people within Europe		Contradiction	FALSE
QT50_527	if they’ve got to safe country first, they don't need to come from France to the UK		if you've got to a safe country, we would let people in who have a genuine fear of persecution, if they can get here		if Iranians got to a safe country first, they don't need to come from France to the UK		if you've got to a safe country, we would let people in who have a genuine fear of persecution, if they can get here		Contradiction	FALSE
QT30_519	It does matter		it's target isn't ambitious or it is a long way off		the target does matter		it's target isn't ambitious or it is a long way off		Non-contradiction	FALSE
QT50_123	I don't know how		surely we can do something about that		AudienceMember 20220331QT31 doesn't know how to stop Vladimir Putin from controlling social media		surely we can do something about Vladimir Putin controlling social media		Contradiction	FALSE
QT50_74	when this comes to ambulance workers, community trust workers, hospital workers you are obviously here as the face of that		you are talking about the people in your office		when this comes to ambulance workers, community trust workers, hospital workers Chris Hopson is obviously here as the face of that		Chris Hopson is talking about the people in his office		Contradiction	FALSE
QT30_200	they don't worry in general about this		People worry about media bias, they worry about low turnout		people don't worry in general about voter fraud		people worry about media bias, they worry about low turnout		Non-contradiction	TRUE
QT50_625	the government decided to make an example of her		she should absolutely have been able to come back here and be tried for the crimes she is said to have committed that mean the government have taken her citizenship away		the government decided to make an example of Shamima Begum		Shamima Begum should absolutely have been able to come back here and be tried for the crimes she is said to have committed that mean the government have taken her citizenship away		Contradiction	FALSE
QT30_346	If I used the train		I can't get there for £30 on a flight		AudienceMember 20211111QT18 used the train		AudienceMember 20211111QT18 can't get there for £30 on a flight		Non-contradiction	FALSE
QT30_357	we are not allowed to teach people in larger groups yet, even with social distancing		unlike in England		in Scotland we are not allowed to teach people in larger groups yet, even with social distancing		in England it is allowed to teach people in larger groups		Contradiction	FALSE
QT50_665	why have they quadrupled		A big problem		xxx is why have they quadrupled		China's carbon emissions quadrupling is a big problem		Non-contradiction	TRUE
QT30_473	I'm not denying things haven't improved in many areas over 20 years		Rory made a dig about me not thinking things haven't improved		Mehdi Hasan is not denying things haven't improved in many areas over 20 years		Rory Stewart made a dig about Mehdi Hasan not thinking things in Afghanistan haven't improved		Contradiction	FALSE
QT30_194	I don't feel the same way anymore		I could be proud to vote for		Rose Unknown doesn't feel the same way anymore about voting for the Labour Party		Rose Unknown could be proud to vote for the social justice that the Labour Party was founded on		Contradiction	TRUE
QT30_0	we have 13,000 and never more than half have been in use		About eight weeks ago people said we would run out of the ventilators		the UK has 13,000 ventilators and never more than half have been in use		about eight weeks ago people said the UK would run out of the ventilators		Contradiction	FALSE
QT50_461	we only invest 1.7%		he wants to invest in research and development		we only invest 1.7%		Keir Starmer wants to invest in research and development		Contradiction	FALSE
QT50_249	all we're seeing is just the sort of tit for tat chat		Are you fade to represent the people of the nation	Are you afraid to represent the people of the nation	all we're seeing is just the sort of tit for tat chat		you are fade to represent the people of the nation	you are afraid to represent the people of the nation	Non-contradiction	FALSE
QT30_266	we can't walk away from this		I want to applaud them for what they do day in, day out		we can't walk away from police corruption		Ian Blackford wants to applaud them for what they do day in, day out		Contradiction	TRUE
QT30_360	yes, we need an education shift		they should get everything thrown at them that we can throw at them in this country		yes, we need an education shift		these men should get everything thrown at them that we can throw at them in this country		Contradiction	TRUE
QT50_436	which is obviously going to be a big challenge		not just talk about the pay rise		the pay rise issue is obviously going to be a big challenge		Stephanie Flanders hopes the government doesn't just talk about the pay rise		Non-contradiction	TRUE
QT50_386	she apologised		She was		Angela Rayner apologised		Angela Rayner was wrong		Non-contradiction	TRUE
US2016_58	how do you justify ending a life just because it begins violently, through no fault of the baby		you favor a rape and incest exception to abortion bans		RUBIO can't justify ending a life just because it begins violently, through no fault of the baby	Rubio can't justify ending a life just because it begins violently, through no fault of the baby	RUBIO favors a rape and incest exception to abortion bans	Rubio favors a rape and incest exception to abortion bans	Contradiction	FALSE
QT30_477	it was brilliant		it was a disaster		it was brilliant		it was a disaster		Contradiction	FALSE
QT50_14	Peter talked about the value of testing before people get on a plane		Labour's point is about PCR tests		Peter Openshaw talked about the value of testing before people get on a plane		Labour's point is about PCR tests		Non-contradiction	FALSE
QT30_502	it's not been severed		for those who are vaccinated, the link between hospitalisations and deaths has been reduced		it's not been severed		for those who are vaccinated, the link between hospitalisations and deaths has been reduced		Contradiction	FALSE
US2016_23	In fact , Wisconsin added barely half that and ranked 35th in the country in job growth	In fact, Wisconsin added barely half that and ranked 35th in the country in job growth	Governor Walker , when you ran for governor of Wisconsin back in 2010 , you promised that you would create 250,000 jobs in your first term , first four years	Governor Walker, when you ran for governor of Wisconsin back in 2010, you promised that you would create 250,000 jobs in your first term, first four years	In fact , Wisconsin added barely half that and ranked 35th in the country in job growth	In fact, Wisconsin added barely half that and ranked 35th in the country in job growth	when WALKER ran for governor of Wisconsin back in 2010 , WALKER promised that WALKER would create 250,000 jobs in WALKER's first term , first four years	when Walker ran for governor of Wisconsin back in 2010, Walker promised that Walker would create 250,000 jobs in Walker's first term, first four years	Contradiction	FALSE
QT30_127	we've known for a long time the virus is spread very quickly with the movement of people and between people		I do understand the balancing act, it is a delicate balancing act between the economy and health		we've known for a long time the virus is spread very quickly with the movement of people and between people		Audience Member understands the balancing act, it is a delicate balancing act between the economy and health		Non-contradiction	FALSE
US2016_43	Wrong		if there were nuclear war in East Asia , well , you know , that 's fine	if there were nuclear war in East Asia, well, you know, that's fine	if there were nuclear war in East Asia, that's not fine		if there were nuclear war in East Asia, that 's fine	if there were nuclear war in East Asia, that's fine	Contradiction	FALSE
QT50_374	you want us to open that all up again		We come straight through COVID and have been plunged into an economic crisis where people are risking their jobs, homes and livelihoods		Nicola Sturgeon wants us to open the conversation about Scottish independence all up again		we come straight through COVID and have been plunged into an economic crisis where people are risking their jobs, homes and livelihoods		Non-contradiction	TRUE
QT50_128	they were happening right there and then		they dismiss it as these were problems that were happening in the past		the problems were happening right there and then		the management of the trust dismiss reported problems as these were problems that were happening in the past		Contradiction	TRUE
QT50_499	I get it		people don’t understand that		Lucy Frazer gets the dissatisfaction		people don’t understand that you're doing the job to try and help		Contradiction	TRUE
QT50_338	I haven't heard him say how much it is going to be and how he'll pay for it		it is impossible to quantify		Fiona Bruce hasn't heard Keir Starmer say how much it is going to be and how he'll pay for it		it is impossible to quantify		Non-contradiction	FALSE
QT30_286	are not relevant to politics		When he's interviewed he's asked about his clothes, ties, glasses		clothes are not relevant to politics		when Jeremy Corban is interviewed he's asked about his clothes, ties, glasses		Contradiction	TRUE
QT50_458	That's not where we are		I campaigned for that		UK is not in the Union anymore		Bridget Phillipson campaigned for the UK staying in the Union		Contradiction	TRUE
QT30_344	that choice is taken away from me		I want to drive to be green		that choice is taken away from AudienceMember 20211111QT18		AudienceMember 20211111QT18 wants to drive to be green		Contradiction	FALSE
QT50_131	He didn't do so		it is the perceived wisdom that when a Prime Minister comes back from such a conference they come to Parliament and make a statement		Boris Johnson didn't give a conference after the NATO summit		it is the perceived wisdom that when a Prime Minister comes back from such a conference they come to Parliament and make a statement		Contradiction	FALSE
QT50_581	At the moment, that is not allowed		it's happened before		at the moment, being given a humanitarian visa and coming to the UK to complete the application is not allowed		safe and legal routes have worked before		Contradiction	FALSE
QT50_281	no he hasn't the Northern Ireland protocol hasn't started yet		everyone keeps saying Boris Johnson got Brexit done		no Boris Johnson hasn't got Brexit done, the Northern Ireland protocol hasn't started yet		everyone keeps saying Boris Johnson got Brexit done		Contradiction	FALSE
QT50_401	you asked quite a lot of other questions as well		not because this isn’t worth talking about		you asked quite a lot of other questions as well		the topic is worth talking about		Non-contradiction	FALSE
QT50_673	the Conservatives are doing		we have to, as I say, look to the future and not just to short termism		the Conservatives are only thinking short-term		we have to look to the future and not just to short termism		Contradiction	TRUE
QT30_406	It is hard to see how it will be resolved		It really needs resolving and resolving as soon as possible		it is hard to see how the Prince Andrew situation will be resolved		the Prince Andrew situation really needs resolving and resolving as soon as possible		Contradiction	FALSE
QT50_180	Some of them are better than others		I would say insulated		some MPs are better than others		Westminster is insulated		Contradiction	TRUE
QT50_449	I couldn’t care less		Matt Hancock wants to do something		AudienceMember 20221110QT27 couldn’t care less that Matt Hancock wants to do something		Matt Hancock wants to do something		Contradiction	TRUE
QT50_65	we need to be assured a process has been undergone before we get to the stage of being able to have information about that		It may be a price worth paying		we need to be assured a process has been undergone before we get to the stage of being able to have information about that		the lack of data protection may be a price worth paying		Contradiction	TRUE
QT30_221	nationalisation of trains isn't all it's cracked up to be		it's a beneficial thing		nationalisation of trains isn't all it's cracked up to be		flexible season tickets is a beneficial thing		Contradiction	TRUE
QT50_646	the asylum system is broken		for a whole variety of reasons		the asylum system is broken		the public want answers to the migrant housing crisis for a whole variety of reasons		Non-contradiction	TRUE
QT50_480	it is the only one we’ve got		you can understand why there is so much disillusion with the process		the COP process is the only one we’ve got		you can understand why there is so much disillusion with the COP process		Non-contradiction	FALSE
QT30_16	you can't just allow that mistakes will be make		you allow that mistakes will be made in a fiercely complicated, unprecedented set of situations		you can't just allow that mistakes will be make		you allow that mistakes will be made in a fiercely complicated, unprecedented set of situations		Contradiction	FALSE
QT50_270	look what's happened in Ukraine		The Prime Minister last year said we we were not going to see tanks rolling across Europe again		look what's happened in Ukraine in terms of armed conflicts		the Prime Minister last year said we we were not going to see tanks rolling across Europe again		Contradiction	FALSE
QT50_471	hugely flawed though it is		that this COP process, hugely flawed though it is, is the only game in town when it comes to having a place where countries of the global south and countries of the global north can come together on some level of equality		COP is hugely flawed		the COP process is the only game in town when it comes to having a place where countries of the global south and countries of the global north can come together on some level of equality		Contradiction	TRUE
QT30_364	I've come here from the Netherlands		I've paid my dues		Audience Member 20211028QT11 has come here from the Netherlands		Audience Member 20211028QT11 has paid her dues		Non-contradiction	FALSE
QT50_404	at the same time, people were getting older and people were getting fatter and they needed more healthcare		it didn’t go up by as much as it had gone up under Blair and Brown		at the same time, people were getting older and people were getting fatter and they needed more healthcare		funding for the NHS didn’t go up by as much as it had gone up under Blair and Brown		Contradiction	TRUE
QT30_549	in a sense you are the obvious person		I’m not trying to pigeon-hole you here		in a sense Rosie Jones is the obvious person to ask if we are now treating people with more respect and equality		Fiona Bruce is not trying to pigeon-hole Rosie Jones here		Contradiction	FALSE
QT50_394	Rishi Sunak moved Conservative constituencies up the list		last year, or two years ago, the town fund put towns in…580 towns in order of their greatest need		Rishi Sunak moved Conservative constituencies up the list		last year, or two years ago, the town fund put 580 towns in order of their greatest need		Contradiction	FALSE
QT50_353	I do believe there is a majority against the status quo		There's not a majority in this country that supports independence		there is a majority against the status quo		there's not a majority in this country that supports independence		Contradiction	FALSE
QT50_634	it’s pretty trivial compared to the absolutely appalling words in songs which I think are quite mainstream on the radio at the moment		have a discussion about whether Augustus Gloop should be fat or enormous		discussing whether Augustus Gloop should be fat or enormous is pretty trivial compared to the absolutely appalling words in songs which David Davies thinks are quite mainstream on the radio at the moment		one can have a discussion about whether Augustus Gloop should be fat or enormous		Contradiction	FALSE
US2016_32	big league		Bigly		big league		bigly		Non-contradiction	FALSE
QT30_298	we also need to see the balance that Nigel's referred to		The reality is we're going to vaccinate our population		we also need to see the balance that Nigel's referred to		the reality is the UK are going to vaccinate our population		Non-contradiction	FALSE
QT50_126	yet they imposed those laws on everyone else		They knew it was fine, they were young, they were healthy, they were not worried		yet politicians imposed those laws on everyone else		politicians knew going to parties was fine, they were young, they were healthy, they were not worried		Contradiction	TRUE
QT30_449	which I think is wrong when people are saying that you can get in…supposed to be able to see the GP face to face		it all has to be done via the phone		having to consult with your GP via phone is wrong when people are saying that you are supposed to be able to see the GP face to face		consultations with the one GP in our practice all have to be done via the phone		Contradiction	FALSE
QT50_562	That's a nonsense		We get this narrative in this country that we're all in it together		the narrative we get in this country that we're all in it together is nonsense		we get this narrative in this country that we're all in it together		Contradiction	FALSE
QT50_553	everyone wants to talk about it		they don't want to hear any more about it		everyone wants to talk about Harry's autobiography		no one wants to hear any more about Harry's autobiography		Contradiction	FALSE
