ID	locution1	locution2	proposition1	proposition2	Corrected locution1	Corrected locution2	Corrected proposition1	Corrected Proposition 2	label	prep_needed																			
QT30_565	Can you imagine any minister saying that about terrorism	the Government has a serious violence strategy	"you cannot imagine any minister saying that it is not of the highest priority and that police forces need flexibility in order to 
decide whether it is a priory about terrorism"	the Government has a serious violence strategy					non-contradiction	False																			
QT50_597	we couldn't afford to lose any of those nurses out of the system	We've seen a complete exodus of European nurses	the UK couldn't afford to lose any of those nurses out of the system	the UK has seen a complete exodus of European nurses  					contradiction	False																			
QT30_143	I don't think there's been racism of the coverage of Megan	I'm making a broader point	Dan Hodges doesn't think there has been racism of the coverage of Megan	Dan Hodges is making a broader point					non-contradiction   False	False																			
QT30_21	there didnâ€™t seem to be that sense of order	we all owe it to each other to respect the rule of law	in Bristol there didnâ€™t seem to be that sense of order	we all owe it to each other to respect the rule of law	there didn't seem to be that sense of order	we all owe it to each other to respect the rule of law	in Bristol there didn't seem to be that sense of order	we all owe it to each other to respect the rule of law	contradiction	 False																			
QT30_58	there were huge amounts of peaceful protests on the streets as well	there was violence	there were huge amounts of peaceful protests on the streets as well	there was violence					non-contradictio	False																			
QT50_644	letâ€™s walk before we run	we need to be ambitious for climate change	on climate change issues let us walk before we run	we need to be ambitious for climate change 	let's walk before we run	we need to be ambitious for climate change	on climate change issues let us walk before we run	we need to be ambitious for climate change 	non-contradiction	True																			
QT50_100	Long term though, after this immediate crisis we have got to stop living in this country on a day-to-day, week-by-week, coping with the latest crisis	That's going to be a crisis	"long term though, after this immediate crisis we have got to stop living in this country on a 
day-to-day, week-by-week, coping with the latest crisis"	that's going to be a crisis    					non-contradiction	False																			
QT30_231	you are offer 50	He asked for 700 per student	the government are offering Â£50 per student	Kevin Collins asked for Â£700 per student	you are offering 50	He asked for 700 per student	the government are offering £50 per student	Kevin Collins asked for £700 per student	contradiction   	FALSE																			
QT50_675	It's the local government that tend to put a spanner in the works	every national government pretty much does	it's the local government that tend to put a spanner in the works	every national government pretty much does					non-contradiction	False																			
QT30_525	That clearly was completely and utterly wrong	that the Afghan government had the resilience to hold out	the intelligence we had about the capabilities of both the government and the taliban clearly was completely and utterly wrong	"the government appears to have been relying on intelligence up to now that said that the Afghan government 
had the resilience to hold out  "					non-contradiction	True																			
QT50_399	Iâ€™m thinking of you, Michael Gove	"he wanted them to be, to paraphrase an American president, spitting 
out of the tent rather than spitting in"	Michael Gove was spitting in	Rishi Sunak wanted those in office to be spitting out of the tent rather than spitting in	I'm thinking of you, Michael Gove	"he wanted them to be, to paraphrase an American president, spitting out of the 
tent rather than spitting in"	Michael Gove was spitting in	"Rishi Sunak wanted those in office to be spitting out of the 
tent rather than spitting in"	contradiction	True																			
QT30_393	these sectors are worth a lot to our economy	We have seen a daffodil harvest that didn't happen	these sectors are worth a lot to our economy	we have seen a daffodil harvest that didn't happen					non-contradiction	False																			
QT50_534	he's not saying it	Many people have asked him, to try and get him to say it	Rishi Sunak is not saying that the NHS is in crisis	many people have asked Rishi Sunak, to try and get him to say that the NHS is in crisis					contradiction   	True																			
QT30_63	they suggested when it came to enclosed spaces such as public transport, face coverings are faced	"originally the government was suggesting face coverings were not 
necessary and might give a false cents of confidence"	the government suggested when it came to enclosed spaces such as public transport, face coverings are faced	originally the government was suggesting face coverings were not necessary and might give a false cents of confidence	"they suggested when it came to enclosed spaces such as public 
transport, face coverings are faced"	"originally the government was suggesting face coverings were not necessary and 
might give a false sense of confidence"	"the government suggested when it came to enclosed spaces 
such as public transport, face coverings are faced"	"originally the government was suggesting face coverings were not 
necessary and might give a false sense of confidence"	contradiction	 False																			
QT50_276	there are too many of them offering tax cuts which are unfunded	"you have got quite a lot of interesting, young candidates, pushing forward 
quite bold new ideas"	there are too many of the candidates in the leadership race offering tax cuts which are unfunded	you have got quite a lot of interesting, young candidates, pushing forward quite bold new ideas in the leadership race					non-contradiction	True																			
QT50_570	it has been quite at times a toxic debate in Scotland	it is important to say that	the Equality Act debate has been quite at times a toxic debate in Scotland	"it is important to say that you are able to have a deliberation between single sex basis under the provisions 
within the Equality Act"					non-contradiction	True																			
QT30_516	it remains one of the most heinous crimes	It's hyper bolly to say rape has been decriminalised	rape remains one of the most heinous crimes	it's hyper bolly to say rape has been decriminalised 					contradiction	True																			
QT30_174	eventually we'll have to stop	"there are things we can do to address the effects of taking those hydrocarbons 
out of the ground"	eventually we'll have to stop taking hydrocarbons out of the ground	there are things we can do to address the effects of taking those hydrocarbons out of the ground					non-contradiction	True																			
QT50_354	not saying fully ungovernable	It has become less governable	the Conservative Party is not fully ungovernable	the Conservative Party has become less governable					non-contradiction	False																			
QT30_182	you do now support the four per cent	there hasn't been a pay review	Douglas Ross does now support the four per cent pay increase	there hasn't been a pay review					non-contradiction	False																			
QT30_277	I'd rather the world go vegan	we have to face that	Benjamin Zephaniah would rather the world go vegan	we have to face the viruses					non-contradiction	False																			
QT30_257	I'm not sure this is the way to do it	That's what we're aiming for	Sarah Jones is not sure this is the way to do it	everybody getting the vaccination is what we're aiming for					contradiction	True																			
QT50_411	we donâ€™t have all the facilities that an A&E Department would have	we have to ensure that the patient is stable	we donâ€™t have all the facilities that an A&E Department would have	we have to ensure that the patient is stable	we don't have all the facilities that an A&E Department would have	we have to ensure that the patient is stable	"we don't have all the facilities that an A&E 
Department would have"	we have to ensure that the patient is stable	contradiction	False																			
QT50_170	the underlying point is a perfectly fair one	you're being slightly unfair to George	the underlying point is a perfectly fair one	you're being slightly unfair to George Eustice					contradiction	False																			
QT30_370	the Scottish Government can be doing more	"The UK government should be doing more in terms of that carbon capture 
project in the North East"	the Scottish Government can be doing more in terms of that carbon capture project in the North East	the UK government should be doing more in terms of that carbon capture project in the North East 					non-contradiction	False																			
QT50_145	now the Government has gone back to the British Geological Survey and asked them to look again at it	"fracking was something that you yourself said had no place really in the British 
economy"	the Government has now gone back to the British Geological Survey and asked them to look again at fracking	fracking was something that Greg Hands himself said had no place really in the British economy					non-contradiction	False																			
US2016_29	I don't buy that	"he really believes that the more you help wealthy people , the better off we 'll be 
and that everything will work out from there"	CLINTON doesn't buy that	"TRUMP really believes that the more you help wealthy people , the better off we 'll be and that 
everything will work out from there"					 contradiction 	True																			
QT30_289	thatâ€™s assuming everybody comes in for their first shot and for their second shot and you are not playing catch-up	"If you start vaccinating in January, given that it takes 5 to 6 weeks to get immunity, 
and you did a million people a week, we wouldnâ€™t get that 10 million 
vaccinated until way into April"	thatâ€™s assuming everybody comes in for their first shot and for their second shot and you are not playing catch-up	"if the UK government starts vaccinating in January, given that it takes 5 to 6 weeks to get immunity, 
and you did a million people a week, we wouldnâ€™t get that 10 million vaccinated until way into April"	"that's assuming everybody comes in for their first shot and for their 
second shot and you are not playing catch-up"	"If you start vaccinating in January, given that it takes 5 to 6 weeks to get immunity, 
and you did a million people a week, we wouldn't get that 10 million vaccinated 
until way into April"	"that's assuming everybody comes in for their first shot 
and for their second shot and you are not playing catch-up"	"if the UK government starts vaccinating in January, given that it takes 
5 to 6 weeks to get immunity, and you did a million people a week, 
we wouldn't get that 10 million vaccinated until way into April"	non-contradiction	 False																			
QT50_72	there will always be employers who are not responsible and willing to put their workers at risk	taking the right steps and investing and caring about protecting their workforce	there will always be employers who are not responsible and willing to put their workers at risk	there will be employers taking the right steps and investing and caring about protecting their workforce    					non-contradiction	 False																			
QT50_175	we don't see this in the rest of Europe	We have so much more homelessness in this country than we did 12 years ago	we don't see this in the rest of Europe	we have so much more homelessness in this country than we did 12 years ago					non-contradiction 	 False																			
QT50_427	have had similar spending as a percentage of GDP, but actually have better outcomes	there are countries that have similar outcomes	some countries have had similar spending as a percentage of GDP, but actually have better outcomes	there are countries that have similar outcomes      non-contradiction   True					non-contradiction   	 False																			
US2016_31	Sure does	"Does he understand that screaming at a woman in front of 100 million people 
makes him look like a fucking asshole"	sure TRUMP does understand	"TRUMP does not understand that screaming at a woman in front of 100 million people makes him look like a fucking 
asshole"					contradiction	 True																			
QT50_560	she wants money	What she is saying saying is not tribute so much	AudienceMember 20230209QT01 wants money	what AudienceMember 20230209QT01 is saying saying is not tribute					non-contradiction	 False																			
QT30_233	when he makes those calculations doesn't include the academy, the national Academy that the government set up	He has done a fantastic job	when Kevin Collins makes those calculations, he doesn't include the national Academy that the government set up	Kevin Collins has done a fantastic job					non-contradiction	 False																			
QT50_337	There are a number of people who have got fixed rates	We're seeing the markets and that's what the mortgages are reacting to	there are a number of people who have got fixed rates	we're seeing the markets and that's what the mortgages are reacting to					non-contradiction	 False																			
QT50_302	suddenly you say we can't help anymore	it was one of the best in the world	suddenly you say we can't help anymore	the Government reaction was one of the best in the world    					contradiction 	 True																			
QT50_447	to give him more and more attention just seems to be really counterproductive	if he does it, he does it	to give Matt Hancock more and more attention just seems to be really counterproductive	if Matt Hancock does I'm a Celebrity, he does it					non-contradiction   	 True																			
QT30_5	but that exercise, Signus, did identify very years ago the problems that would be faced by this country in the event of a global pandemic	The test, track and trace it is great we have this technology	"the track and trace exercise did identify meny years ago the problems that 
would be faced by this country in the event of a global pandemic"	the test, track and trace it is great we have this technology					non-contradiction	 True																			
QT30_396	they have to go home in order to reapply, in order to come back	they could switch to being able to work in the abattoirs	the temporary workers have to go home in order to reapply for a visa, in order to come back	the temporary workers could switch to being able to work in the abattoirs					non-contradiction  	 True																			
QT50_214	we need to get this addressed	we don't get this addressed	we need to get the issue of Northern Ireland Protocol addressed	we don't get the Northern Ireland Protocol addressed					contradiction   	 False																			
QT50_301	the crisis hasn't stopped	the pandemic finished in February	the crisis hasn't stopped	the pandemic finished in February					contradiction	 False																			
QT50_651	now we've got governments that are trying to rip up those obligations	We helped write the refugee convention	now we've got governments that are trying to rip up those obligations on human rights and refugees	Oxfam helped write the refugee convention					non-contradiction	 True																			
QT50_296	We have got empty properties in Paignton	Every bit of land they are	we have got empty properties in Paignton	they are using every bit of land					non-contradiction   	 False																			
QT30_232	in the Netherlands it is 200	He is talking about Â£310 per pupil	in the Netherlands there is Â£200 per pupil	Kevin Collins is talking about Â£310 per pupil   	in the Netherlands it is 200	He is talking about £310 per pupil	in the Netherlands there is £200 per pupil	Kevin Collins is talking about £310 per pupil	non-contradiction	 False																			
QT50_552	I should do	currently I don't have the right to strike	AudienceMember 20230126QT23 should have the right to strike	currently AudienceMember 20230126QT23 doesn't have the right to strike					contradiction	 False																			
QT50_472	what heâ€™s doing is greenlighting yet more oil and gas	we had Rishi Sunak claiming that heâ€™s going to go faster	what Rishi Sunak is doing is greenlighting yet more oil and gas	we had Rishi Sunak claiming that heâ€™s going to go faster	what he's doing is greenlighting yet more oil and gas	we had Rishi Sunak claiming that he's going to go faster	"what Rishi Sunak is doing is greenlighting yet more oil and 
gas"	we had Rishi Sunak claiming that he's going to go faster	non-contradiction	 False																			
QT50_540	despite how it feels to so many of us	"there are actually more doctors and more nurses now than there were 
let's say in 2019"	there is greater NHS staffing despite how it feels to so many of us	there are actually more doctors and more nurses now than there were let's say in 2019					non-contradiction	 False																			
QT30_312	While the packages are better than nothing, theyâ€™re not enough	all the packages from the chancellor are fine	while the packages from the chancellor are better than nothing, theyâ€™re not enough	all the packages from the chancellor are fine 	While the packages are better than nothing, they're not enough	all the packages from the chancellor are fine	"while the packages from the chancellor are better than 
nothing, they're not enough"	all the packages from the chancellor are fine	non-contradiction	 False																			
QT30_510	we know on a day-to-day basis unfortunately for many people it doesn't	they are buying into the idea that's what Britain looks like	we know on a day-to-day basis unfortunately for many people it doesn't back to normal	the government is buying into the idea that's what Britain looks like					non-contradiction	 True																			
QT30_281	I don't disagree	I have been fighting against some of the excessive limitations about this	"David Davis doesn't disagree that Boris Johnson's non-action was 
a missed opportunity to set the standard for social distancing"	David Davis has been fighting against some of the excessive limitations about social distancing     					non-contradiction	 True																			
US2016_48	We can not be the policemen of the world	as far as Japan is concerned , I want to help all of our allies	USA can not be the policemen of the world	as far as Japan is concerned , TRUMP wants to help all of USA's allies					non-contradiction   	 False																			
QT30_48	"itâ€™s a huge effort and it takes a lot of work to get children back to school safely with the social distancing 
requirements"	we could sort this out pretty quickly actually	"getting children back to school is a huge effort and it takes a lot of work to get children 
back to school safely with the social distancing requirements"	we could sort out children going back to school pretty quickly actually	"it's a huge effort and it takes a lot of work to get children back to school 
safely with the social distancing requirements"	we could sort this out pretty quickly actually	"getting children back to school is a huge effort and it takes a 
lot of work to get children back to school safely with the 
social distancing requirements"	we could sort out children going back to school pretty quickly actually	contradiction	 False																			
QT30_90	The NHS relies on subcontractors to do the job of rolling it out	the NHS will do it	the NHS relies on subcontractors to do the job of rolling it out	the arguments are given that the NHS will do the roll-out					contradiction  	 False																			
QT50_79	Inside Russia, and inside Moscow, people close to him, not everyone may think it is a good idea	they're lining up behind the Russian president	inside Russia, and inside Moscow, people close to him, not everyone may think invading Ukraine is a good idea	they're lining up behind the Russian president					non-contradiction	 True																			
QT50_42	it's all truth what he is telling us	He may be drip, drip, dripping	it's all truth what Boris Johnson is telling us	Boris Johnson may be drip, drip, dripping					non-contradiction 	 True																			
QT50_298	Bridget has the right point	I'd love to know where the Labour growth recipe comes from	Bridget Phillipson has the right point	Anne McElvoy would love to know where the Labour growth recipe comes from					non-contradiction 	 True																			
QT30_302	I do watch athletics quite a lot	I don't watch a lot of sport	Jenni Murray watches athletics quite a lot	Jenni Murray doesn't watch a lot of sport					contradiction   	 False																			
QT50_2	We followed the guidance	My parents both had COVID	we followed the guidance	My parents both had COVID					non-contradiction   	 False																			
QT30_520	of course, it would be better if it were sooner	It does matter	of course, it would be better if the target were sooner	the target does matter					non-contradiction	 True																			
QT50_678	young people can't get on the property ladder	"Those who happen to have wealth are seeing their wealth accumulate at 
greater rates than we've seen in history"	young people can't get on the property ladder	those who happen to have wealth are seeing their wealth accumulate at greater rates than we've seen in history					non-contradiction 	 False																			
QT30_300	The barrier to them throwing themselves into all of this activity is the government itself	The young people are hungry for this	the barrier to young people throwing themselves into all of this activity is the government itself	the young people are hungry for more money to be put into their education					non-contradiction 	 True																			
QT50_629	20 years later say, no, actually that was a man	a woman was born on January 21	20 years later we say, no, actually that was a man who was born on 21 January	a woman was born on January 21					contradiction  	 False																			
QT30_133	if you run a business, a pub or a restaurant, you can't be, you know, speedily changing decisions in a matter of days	Nothing ends before next Wednesday	if you run a business, a pub or a restaurant, you can't be, you know, speedily changing decisions in a matter of days	nothing ends before next Wednesday					non-contradiction 	 False																			
QT30_166	I know that people will make the case that things have happened since then	"whether we spend it debating an issue that in reality was resolved almost 
seven years ago"	"Ryan Unknown knows that people will make the case that things have happened 
since the issue of independence was dicussed seven years ago"	whether we spend it debating the issue of independence that in reality was resolved almost seven years ago					"non-contradiction
"	 True																			
QT30_373	has the UK government ignored it	"animal agriculture is the second biggest cause of climate change,
 before transport"	the UK government has ignored animal agriculture	animal agriculture is the second biggest cause of climate change, before transport					non-contradiction	 True																			
QT30_540	we still must be careful	we have to go forward	we still must be careful	we have to go forward					non-contradiction 	 False																			
QT30_552	But what we have seen is that local authority, when they have been able to go about track and trace, have actually been doing far better than the Serco and others on who the government is spending 12 billion.	This lack of resilience has made it increasingly difficult.	"what we have seen is that local authority, when they have been able to go about track and trace, 
have actually been doing far better than the Serco and others on who the government is spending 12 billion"	the lack of resilience has made it increasingly difficult					non-contradiction	 False																			
QT30_42	The Labour Party should have built more houses and so should this Government build considerably more houses that people can actually afford to live in	"for that entire period, they had stopped councils being able to borrow
money in order to build council housing"	"the Labour Party should have built more houses and so should this Government build considerably more 
houses that people can actually afford to live in"	"for that entire period, from 2012 to 2018, the Government has stopped councils being able to borrow money in
order to build council housing"					contradiction	 True																			
QT50_502	itâ€™s hugely under attack by this government	peaceful protest is massively important	peaceful protest is hugely under attack by this government	peaceful protest is massively important	it's hugely under attack by this government	peaceful protest is massively important	peaceful protest is hugely under attack by this government	peaceful protest is massively important	contradiction	 True																			
QT30_287	that doesnâ€™t mean it is going to be the only vaccine	it is the first evidence that it is a vaccine vaccine-preventible disease	the existence of the Pfizer vaccine doesnâ€™t mean it is going to be the only Coronavirus vaccine	the Pfizer vacine is the first evidence that Coronavirus is a vaccine preventible disease	that doesn't mean it is going to be the only vaccine	the Pfizer vacine is the first evidence that Coronavirus is a vaccine preventible disease	"the existence of the Pfizer vaccine doesn't mean it is going to 
be the only Coronavirus vaccine"	"the Pfizer vacine is the first evidence that Coronavirus is a 
vaccine preventible disease"																					
QT50_412	now my life as I knew it is unrecognisable	I was completely fit and healthy before	now my life as I knew it is unrecognisable	AudienceMember 20221027QT23 was completely fit and healthy before she had long-COVID					non-contradiction 	 True																			
QT50_604	it's not so fine if you're at the beginning of your career	It was fine if you're like me	remote working is not so fine if you're at the beginning of your career	remote working was fine if you're like Jacob Rees-Mogg					non-contradiction	 False																			
QT50_174	We know value brands aren't as good for us	we've got the government saying value brands	we know value brands aren't as good for us	we've got the government saying value brands					non-contradiction 	 False																			
QT50_622	in this instance, I think the law has been used in such a way, by this government, whereby there will be citizens in the future, if you think of Jewish citizens who hold Israeli citizenship, others who hold dual citizenship, who may well find that this government, or a government in the future, can use this law against them again	I want the law to make sure that it safeguards citizens without fear or favour	"in Shamima Begum's case the law has been used in such a way, by this government, whereby there will 
be citizens in the future, if you think of Jewish citizens who hold Israeli citizenship, others who hold dual citizenship, 
who may well find that this government, or a government in the future, can use this law against them again"	Liz Saville-Roberts wants the law to make sure that it safeguards citizens without fear or favour					contradiction	 True																			
QT30_153	there has always been a little bit of the idea that those young peoplefor the purposes of everything else, they're treated as not being adults	I work with teenagers so I know how smart they can be	"there has always been a little bit of the idea that those young people for the purposes of everything else, 
they're treated as not being adults"	Claire Fox work with teenagers so I know how smart they can be					non-contradiction	 False																			
QT30_285	Jeremy Corbyn was really demonised	I'm not taking issue with what was just said	Jeremy Corbyn was really demonised	Benjamin Zephaniah is not taking issue with what was just said					non-contradiction 	 False																			
QT50_586	I find it incredibly disappointing as a lifelong Conservative voter to hear Jacob saying all this stuff.	that means, deregulating	"audience member 20230112QT23 finds it incredibly disappointing as a lifelong Conservative voter to hear Jacob saying 
deregulation is best for the consumer"	putting the consumers needs first means, deregulating					contradiction	 True																			
QT50_228	All of the things that Boris Johnson and his government have shown they cannot deliver	The way forward is going to be statecraft, diligence, and graft	statecraft, diligence, and graft are what Boris Johnson and his government have shown they cannot deliver	the way forward is going to be statecraft, diligence, and graft					contradiction	 True																			
QT30_548	Technology is changing very, very quickly	We have done a disservice by saying it takes ten years to make a vaccine	technology is changing very, very quickly	we have done a disservice by saying it takes ten years to make a vaccine					non-contradiction	 False																			
QT50_141	that's different to the long-term strategy that we've launched today with renewables, nuclear, and making sure we're not increasing our imports of oil and gas	these are the important things that we've announced to help people with bills	"the Chancellor of the Exchequer's really important package is different to the long-term strategy that we've launched 
today with renewables, nuclear, and making sure we're not increasing our imports of oil and gas"	"the Â£200 discount on energy bills, Â£150 discount on council tax, and the additional funds are the important things that 
we've announced to help people with bills"					non-contradiction	 True																			
QT50_172	there is far more that the government could be doing to step in and help people	The government would like to tell you that there is nothing more that they can do	there is far more that the government could be doing to step in and help people than just lowering bus fares	the government would like to tell you that there is nothing more that they can do than lower bus fares					contradiction	 False																			
QT50_105	But really not that much	So a little bit of it has been helped	it hasn't really helped that much	a little bit of it has been helped					non-contradiction	 False																			
QT50_648	I wouldn't give a damn about going to Rwanda	we constantly keep hearing sound bites from this Government about Rwanda	AudienceMember 20230427QT07 wouldn't give a damn about going to Rwanda	we constantly keep hearing sound bites from this Government about Rwanda					non-contradiction	 False																			
QT50_78	even people who are supposed to be really called	When this whole invasion was announced by Mr Putin, he called in his top echelon	even people who are supposed to be really called	when this whole invasion was announced by Mr Putin, he called in his top echelon					non-contradiction	 False																			
QT30_103	"I think youâ€™ll find, Nadhim, there is a willingness across the population and across businesses to do whatever you 
need, whatever is required to accelerate and deliver this vaccine"	We heard before the show that good people are involved	"there is a willingness across the population and across businesses to do whatever you need, whatever is
 required to accelerate and deliver this vaccine"	we heard before the show that good people are involved with the vaccine roll-out	"I think you'll find, Nadhim, there is a willingness across the population 
and across businesses to do whatever you need, whatever is required
to accelerate and deliver this vaccine"	We heard before the show that good people are involved	"there is a willingness across the population and across 
businesses to do whatever you need, whatever is required 
to accelerate and deliver this vaccine"	"we heard before the show that good people are involved with the 
vaccine roll-out"	non-contradiction	 False																			
QT50_225	Something crucial changed	we didn't want it to go ahead in that way	something crucial changed	we didn't want it to go ahead in that way					non-contradiction	 False																			
QT50_68	there are some really strict Parliamentary oversight procedures to ensure that that data is being held properly	"there are circumstances in which you do use data, for example, fighting 
crime and preventing terrorism"	there are some really strict Parliamentary oversight procedures to ensure that that data is being held properly	there are circumstances in which you do use data, for example, fighting crime and preventing terrorism					non-contradiction	 False																			
QT50_181	not all of the money spent during COVID was spent wisely	"I read somewhere Â£170 billion was spent on COVID measures, like Â£5,000 
per person"	not all of the money spent during COVID was spent wisely	"AudienceMember 20220505QT15 read somewhere Â£170 billion was spent on COVID measures, like Â£5,000 
per person"	not all of the money spent during COVID was spent wisely	"I read somewhere £170 billion was spent on COVID measures, 
like £5,000 per person"	not all of the money spent during COVID was spent wisely	"AudienceMember 20220505QT15 read somewhere £170 billion 
was spent on COVID measures, like £5,000 per person"	non-contradiction	 False																			
QT30_397	the only way that you fix this problem is to improve conditions in the industry	the Government could take some steps right now that would ease the problem	the only way that you fix the food production problem is to improve conditions in the industry	the Government could take some steps right now that would ease the food production problem					non-contradiction	 False																			
QT30_432	the more restrictions we put, it's like where does it end	I don't support that	the more restrictions we put, it's like where do the restrictions end	AudienceMember 20210930QT27 doesn't support protesting on the M25    					non-contradiction	 True																			
QT50_348	people are living in terror about more, the mortgage costs going up	people are living in terror about the energy costs	people are living in terror about more, the mortgage costs going up	people are living in terror about the energy costs        					non-contradiction	 False																			
QT30_501	I'm not sure we should be replicating	we're re-enacting the situation that George found himself at the end of his life	AudienceMember 20210805QT28 is not sure we should be replicating	we are re-enacting the situation that George found himself at the end of his life					contradiction      	 False																			
QT50_511	they failed to do that	"they just had to open the door, and accept the principle that they were going to
have a conversation with the nurses about their pay"	the Government failed to do open the door to discussion on the pay with nurses on strike	"the Government just had to open the door, and accept the principle that they were going to have a conversation with 
the nurses about their pay"					contradiction	 True																			
QT30_109	Weâ€™ve had so many months when this has been potentially on the cards	"we havenâ€™t seen put into place the e-learning thatâ€™s necessary for those 
children so that they really can be receiving the kind of educational input they need"	we have had so many months when the school closure has been potentially on the cards	"we havenâ€™t seen put into place the e-learning thatâ€™s necessary for those children so that they really can be 
receiving the kind of educational input they need at home"	We've had so many months when this has been potentially on the cards	"we haven't seen put into place the e-learning that's necessary for those 
children so that they really can be receiving the kind of educational input they need"	"we have had so many 
months when the school 
closure has been potentially 
on the cards"	"we haven't seen put into place the e-learning that's 
necessary for those children so that they really can 
be receiving the kind of educational input they need at home"	non-contradiction	 False																			
QT50_373	you didn't support the independence	you wanted Nicola Sturgeon to steer us through the pandemic	you didn't support the independence	you wanted Nicola Sturgeon to steer us through the pandemic					non-contradiction	 False																			
QT30_363	instead that money is going to projects in England	"We were sincerely hoping that the UK government would invest the billion pounds
that had been promised"	instead the money that UK government has promised to the Acorn Project is going to projects in England	"we were sincerely hoping that the UK government would invest in the Acorn Project the billion pounds that had been 
promised"					contradiction	 False																			
QT50_460	Keir Starmer can be business friendly	business did not see Jeremy Corbyn as being business friendly	Keir Starmer can be business friendly	business did not see Jeremy Corbyn as being business friendly					non-contradiction	 False																			
QT30_217	in this case, in the railways, it just hasn't worked	privatisation is a positive thing	in this case, in the railways, privatisation just hasn't worked	privatisation is a positive thing					contradiction	 False																			
US2016_54	Now, suddenly, last week, you're against it	You supported his trade deal dozen of times	now, suddenly, last week, CLINTON is against Obama's trade deal	CLINTON supported Obama's trade deal dozen of times					non-contradiction	 True																			
